API_MemberId,API_MemberReference,API_PartyId,API_CrmIdentifier,API_OrganisationName,API_Salutation,API_FirstName,API_MiddleName,API_LastName,API_EmailAddress,API_Telephone,API_Fax,API_AddressId,API_AddressName,API_Line1,API_Line2,API_Line3,API_City,API_StateOrProvince,API_CountryName,API_Postcode
44874,73298,112604,D9420890-3EBF-4DBA-94A6-82212B26EFD7,DAY3TESTMEMBER,null,null,null,null,Test3@Test3.com,7000000003,8000000003,null,DAY3NAME,DAY3LINE1,DAY3LINE2,DAY3LINE3,DAY3CITY,DAY3COUNTRY,INDIA,900003
44873,73297,112603,C18DE539-04F7-44AD-B4DA-DD0F25F6C874,MEMBER 02SEP1450,null,null,null,null,null,null,null,null,MEMBER 02SEP1450 ADDNAME,MEMBER 02SEP1450 L1,MEMBER 02SEP1450 L2,NULL,RIPON,NORTH YORKSHIRE,UNITED KINGDOM,Y1 1YY
44872,73296,112602,ACA2E5FA-7A30-4DAB-95CF-A1D43229F979,MEMBER 01SEP1033,null,null,null,null,Joe@MEssing.com,+445588556,+44557788996,null,MEMBER 01SEP1033ADDNAME,MEMBER 01SEP1033L1,MEMBER 01SEP1033L2,NULL,EDINBURGH,FIFE,UNITED KINGDOM,E1 1EE
44871,73295,112599,D0903A1B-7698-4D69-B53D-AB7DA152C792,MYMEMBER,null,null,null,null,MyMember@MyMember.com,8989898989,987889786,null,MYMEMBERADDRESSNAME,MYMEMBER_LINE1,MYMEMBER_LINE2,MYMEMBER_LINE3,MYMEMBER_CITY,MYMEMBER_STATE,INDIA,909090
44870,73294,112598,D2813AB6-FB95-44FD-8B1E-8D486AFF7A95,NEWMEM 27AUG1415,null,null,null,null,There@elsewhere.com,+445511225,+4488554226,null,NEWMEM 27AUG1415 ADDNAME,NEWMEM 27AUG1415 L1,NEWMEM 27AUG1415 L2,NULL,LEEDS,WEST YORKSHORE,UNITED KINGDOM,L1 LSA
44869,73293,112595,2982C290-6FA3-4844-ABEC-1ADA50E5F828,MEMCREATED 26AUG1421,null,null,null,null,there@here.com,+445588996,+44115577885,null,MEMCREATED 26AUG1421 ADDNAME,MEMCREATED 26AUG1421 L1,MEMCREATED 26AUG1421 L2,NULL,DERBY,DERBYSHIRE,UNITED KINGDOM,D1 1DD
44868,73292,112594,FFFEBB30-296F-439F-A803-3DFE14B95F68,MEM 26 AUG 1259,null,null,null,null,null,null,null,null,MEM 26 AUG 1259 AN,MEM 26 AUG 1259 L1,MEM 26 AUG 1259 L2,NULL,BHAM,NULL,UNITED KINGDOM,B37 7 HG
44867,73291,112593,B4A64FE8-4119-40E5-8C20-CF787CA71948,MEMBER 26AUG1154,null,null,null,null,ai@o.com,+44771144558,+44558899662,null,MEMBER 26AUG1154 ADDNAME,MEMBER 26AUG1154 L1,MEMBER 26AUG1154 L2,NULL,BIRMINGHAM,WEST MIDS,UNITED KINGDOM,B37 7HG
44866,73290,112591,56D45452-B8E3-451A-A226-932086EB47A5,SURAJ MEMBER,null,null,null,null,test1@adro1.com,9089090909,null,null,MTAADDRESSNAME,MTALINE1,MTALINE2,MTALINE3,MTACITY,MTASTATE,INDIA,411033
44865,73289,112590,745BA2F0-509E-4D87-9F89-5C5076950F2D,DAY3_MEMBERFORRISKNAME,null,null,null,null,day2@email.com,9000000002,2000000002,null,DAY2_ADDESSNAME,DAY2_LINE1,DAY2_LINE2,DAY2_LINE3,DAY2_CITY,DAY2_STATE,INDIA,200000
44864,73288,112392,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,AMP TEST BROKER,null,null,null,null,null,null,null,null,10 WHITECHAPEL,NULL,NULL,NULL,LONDON,NULL,UNITED KINGDOM,NULL
44863,73287,112588,91F58FCC-7621-42CD-AB14-2F5EDCBC66D2,UPDATEDMEMBER_27082020,null,null,null,null,mem@mem.mem,452-125,333-444,null,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,NULL,LONDON,NULL,UNITED KINGDOM,34A PD
44862,73286,112587,3D0419BE-8EFF-41B5-B88D-38EE22B3D760,AUTOMEMBER_052015_190820,null,null,null,null,mem@mem.mem,452-125,333-444,null,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,NULL,LONDON,NULL,UNITED KINGDOM,34A PD
44861,73285,112586,F157A9CD-0001-40EA-898B-E8C73D6D6427,AUTOMEMBER_050444_190820,null,null,null,null,mem@mem.mem,452-125,333-444,null,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,NULL,LONDON,NULL,UNITED KINGDOM,34A PD
44860,73284,112585,A9DB5A23-7DF7-49F1-93FE-3FC55E43FC91,AUTOMEMBER_045239_190820,null,null,null,null,mem@mem.mem,452-125,333-444,null,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,NULL,LONDON,NULL,UNITED KINGDOM,34A PD
44859,73283,112584,B2E873EB-6E47-49BF-ABCA-331A2D0F33EA,AUTOMEMBER_034201_190820,null,null,null,null,mem@mem.mem,452-125,333-444,null,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,NULL,LONDON,NULL,UNITED KINGDOM,34A PD
44858,73282,112578,644FA70B-3E27-4137-8D1C-BAF7AE985C2D,MEMBER 17AUG2240,null,null,null,null,are@you.cpm,+44558866885,+442211552258,null,MEMBER 17AUG2240 ADDNAME,MEMBER 17AUG2240L1,MEMBER 17AUG2240L2,MEMBER 17AUG2240L3,BIRMINGHAM,WEST MIDS,UNITED KINGDOM,B37 7HG
44857,73281,112577,0490B947-C436-4315-87C6-70464A0A005E,ARVIND SMOKINGHOT,null,null,null,null,null,null,null,null,ARVIND SMOKINGHOT,ARVIND SMOKINGHOT,ARVIND SMOKINGHOT,NULL,BHAM,NULL,UNITED KINGDOM, B37 7HG
44856,73280,112576,00000000-0000-0000-0000-000000000000,MEMBER 17AUG1415,null,null,null,null,there@here.com,+44885511552,+44552288996,null,MEMBER 17AUG1415 ADDNAME,MEMBER 17AUG1415L1,MEMBER 17AUG1415L2,NULL,BIRMINGHAM,WEST MIDS,UNITED KINGDOM,B37 7HG
