SQL_MemberId,SQL_MemberReference,SQL_PartyId,SQL_CrmIdentifier,SQL_OrganisationName,SQL_Salutation,SQL_FirstName,SQL_MiddleName,SQL_LastName,SQL_EmailAddress,SQL_Telephone,SQL_Fax,SQL_AddressId,SQL_AddressName,SQL_Line1,SQL_Line2,SQL_Line3,SQL_City,SQL_StateOrProvince,SQL_CountryName,SQL_Postcode
44895,73319,112654,FD951E27-7E32-4A5B-8E56-78B4EA459007,REVISEDMEMBER NAME1044630,null,null,null,null,null,null,null,113069,STARTMEMBER NAME1044630 ADDNAME,STARTMEMBER NAME1044630 L1,STARTMEMBER NAME1044630 L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,2134342
44894,73318,112652,6E0367F3-6D15-4687-94C3-D7771E456BCC,UPDATED MEMBER NAME,null,null,null,null,null,null,null,113067,MEMBER FORMTARENEWALS ADDNAME,MEMBER FORMTARENEWALS L1,MEMBER FORMTARENEWALS L2,null,BIRMINGHAM,null,UNITED KINGDOM,B37 7HG
44893,73317,112649,3BAD2FF4-2870-441B-B986-6242C959E930,MEMBERFOR RENEWALONE,null,null,null,null,null,null,null,113064,MEMBERFOR RENEWALONE ADDNAME,MEMBERFOR RENEWALONE L1,MEMBERFOR RENEWALONE L2,null,BIRMINGHAM,null,UNITED KINGDOM,B37 7HG
44892,73316,112645,5271874F-2CCC-41B0-B735-DEB5F7E5E4DE,MEMBER FOR1044616 ,null,null,null,null,null,null,null,113060,MEMBER FOR1044616  ADDNAME,MEMBER FOR1044616 L1,MEMBER FOR1044616 L2,null,BIRMINGHAM,null,UNITED KINGDOM,B37 7HG
44891,73315,112644,D270456E-3B1F-4736-8900-838BAB8E7A6C,MEMBER FOR1044615,null,null,null,null,a.o.com,+44558855226,+44552211885,113059,MEMBER FOR1044615ADDNAME,MEMBER FOR1044615 L1`,MEMBER FOR1044615 L2,null,BIRMINGHAM,null,UNITED KINGDOM,B37 7HG
44890,73314,112642,E1162E2B-5634-4EE4-BBCF-5DD5B79329B6,MEMBER FOR1044614,null,null,null,null,null,null,null,113057,MEMBER FOR1044614 ADDNAME,MEMBER FOR1044614 L1,MEMBER FOR1044614 L2,null,BIRMINGHAM,null,UNITED KINGDOM,B37 7HG
44889,73313,112640,810FBFEB-BF0D-4C04-9351-E768C52EE5A0,MEMBER FOR1044613,null,null,null,null,null,null,null,113055,MEMBER FOR1044613 ADDNAME,MEMBER FOR1044613 L1,MEMBER FOR1044613 L2,null,BIRMINHAM,null,UNITED KINGDOM,B37 7HG
44888,73312,112634,E99DF00E-315B-4554-909A-233673A06432,MEMBER FOR155071,null,null,null,null,null,null,null,113049,MEMBER FOR155071 ADDNAME,MEMBER FOR155071 L1,MEMBER FOR155071 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
44887,73311,112632,DD5458C0-A762-4655-98BF-C29866FB8B02,PAULSNEWMEMBER,null,null,null,null,null,null,null,113047,3,null,null,null,A PLACE,null,AFGHANISTAN,NULL
44886,73310,112630,0264486D-1CBE-4D7E-978F-65FE276542CB,PAUL PRODUCTIONS,null,null,null,null,null,087843875785474539,null,113045,23 RAINBOW DRIVE,SOMEWHERE,OVER THE,RAINBOW,NOAH CITY,Noah State,ISRAEL,NH
44885,73309,112629,9CB6267D-53A5-4A8B-A70B-73DF34761F90,BOB,null,null,null,null,null,null,null,113044,23,null,null,null,BIRMINGHAM,null,ALGERIA,NULL
44884,73308,112626,05D73F48-FC40-40C3-9606-FB0464EB4D0A,FIRSTUPDATE MEMBER,null,null,null,null,null,null,null,113041,ORIGINALNAME MEMBER ADD NAME,ORIGINALNAME MEMBER L1,ORIGINALNAME MEMBER L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,565464
44883,73307,112623,BA8569C0-F2C7-4704-99F0-49054C51CCF2,NEWMEMBER FOR155070,null,null,null,null,null,null,null,113038,NEWMEMBER FOR155070 ADD NAME,NEWMEMBER FOR155070 L1,NEWMEMBER FOR155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,324554
44882,73306,112622,620D0B0D-ED19-43F6-8141-5DACD4307C5F,NEWMEMBER FORAPI,null,null,null,null,null,null,null,113037,NEWMEMBER FORAPI ADDNAME,NEWMEMBER FORAPI L1,NEWMEMBER FORAPI L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
44881,73305,112620,D1782C2F-4877-4C8E-B317-17E15AA48079,NEW MEMBERFINAL,null,null,null,null,null,null,null,113035,NEW MEMBERWORK ADD NAME,NEW MEMBERWORK L1,NEW MEMBERWORK L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
44880,73304,112618,02F16FF0-9987-4B6E-84CE-5E022CD3BD29,NEW4 SAFETY,null,null,null,null,null,null,null,113033,NEW4 SAFETY ADD NAME,NEW4 SAFETY L1,NEW4 SAFETY L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
44879,73303,112616,5D880F95-44FE-461E-BC1F-ABB80AD6E839,DAY0_MEMBERBYREF,null,null,null,null,daywise@memberbyref.com,+19839829829,null,113031,LPK 201,E STREET,GRETA ROAD,EASTERN SITE,NY,NYC,UNITED STATES OF AMERICA,9029
44878,73302,112614,5DB82152-590B-41F0-92FB-33DF77097668,DAY3_MEMBER,null,null,null,null,day0@day0.com,900000000,800000000,113029,DAY0_ADDRESSNAME,DAY0_LINE1,DAY0_LINE2,DAY0_LINE3,DAY0_CITY,Day0_State,INDIA,100000
44877,73301,112613,CB62B85D-EC5E-4330-A182-F042A8E75AC6,NORISKMEMBER,null,null,null,null,NoRiskMember@NoRiskMember.com,908765789,908765789,113028,NORISKMEMBERADDRESS,NORISKMEMBERL1,NORISKMEMBERL2,NORISKMEMBERL3,NORISKMEMBERCITY,NoRiskMemberState,UNITED ARAB EMIRATES,87655789
44876,73300,112612,9B330E04-9640-4C4A-B795-4E89E72160B6,DAY3APIMEMBER,null,null,null,null,Day3apimember@api.com,7000000003,8000000003,113027,DAY3NAME,DAY3APILINE1,DAY3APILINE2,DAY3APILINE3,DAY3APICITY,Day3APICountryState,INDIA,900003
44875,73299,112605,B7D56988-B75A-418B-8DEB-B3C7CA004E3D,MEMBER 07SEPT1150,null,null,null,null,null,null,null,113020,MEMBER 07SEPT1150 ADDNAME,MEMBER 07SEPT1150L1,MEMBER 07SEPT1150L2,null,LANCASTER,null,UNITED KINGDOM,LA1 1LA
44874,73298,112604,D9420890-3EBF-4DBA-94A6-82212B26EFD7,DAY3TESTMEMBER,null,null,null,null,Test3@Test3.com,7000000003,8000000003,113019,DAY3NAME,DAY3LINE1,DAY3LINE2,DAY3LINE3,DAY3CITY,Day3Country,INDIA,900003
44873,73297,112603,C18DE539-04F7-44AD-B4DA-DD0F25F6C874,MEMBER 02SEP1450,null,null,null,null,null,null,null,113018,MEMBER 02SEP1450 ADDNAME,MEMBER 02SEP1450 L1,MEMBER 02SEP1450 L2,null,RIPON,North Yorkshire,UNITED KINGDOM,Y1 1YY
44872,73296,112602,ACA2E5FA-7A30-4DAB-95CF-A1D43229F979,MEMBER 01SEP1033,null,null,null,null,Joe@MEssing.com,+445588556,+44557788996,113017,MEMBER 01SEP1033ADDNAME,MEMBER 01SEP1033L1,MEMBER 01SEP1033L2,null,EDINBURGH,Fife,UNITED KINGDOM,E1 1EE
44871,73295,112599,D0903A1B-7698-4D69-B53D-AB7DA152C792,MYMEMBER,null,null,null,null,MyMember@MyMember.com,8989898989,987889786,113014,MYMEMBERADDRESSNAME,MYMEMBER_LINE1,MYMEMBER_LINE2,MYMEMBER_LINE3,MYMEMBER_CITY,MyMember_State,INDIA,909090
44870,73294,112598,D2813AB6-FB95-44FD-8B1E-8D486AFF7A95,NEWMEM 27AUG1415,null,null,null,null,There@elsewhere.com,+445511225,+4488554226,113013,NEWMEM 27AUG1415 ADDNAME,NEWMEM 27AUG1415 L1,NEWMEM 27AUG1415 L2,null,LEEDS,West Yorkshore,UNITED KINGDOM,L1 LSA
44869,73293,112595,2982C290-6FA3-4844-ABEC-1ADA50E5F828,MEMCREATED 26AUG1421,null,null,null,null,there@here.com,+445588996,+44115577885,113010,MEMCREATED 26AUG1421 ADDNAME,MEMCREATED 26AUG1421 L1,MEMCREATED 26AUG1421 L2,null,DERBY,Derbyshire,UNITED KINGDOM,D1 1DD
44868,73292,112594,FFFEBB30-296F-439F-A803-3DFE14B95F68,MEM 26 AUG 1259,null,null,null,null,null,null,null,113009,MEM 26 AUG 1259 AN,MEM 26 AUG 1259 L1,MEM 26 AUG 1259 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
44867,73291,112593,B4A64FE8-4119-40E5-8C20-CF787CA71948,MEMBER 26AUG1154,null,null,null,null,ai@o.com,+44771144558,+44558899662,113008,MEMBER 26AUG1154 ADDNAME,MEMBER 26AUG1154 L1,MEMBER 26AUG1154 L2,null,BIRMINGHAM,West Mids,UNITED KINGDOM,B37 7HG
44866,73290,112591,56D45452-B8E3-451A-A226-932086EB47A5,SURAJ MEMBER,null,null,null,null,test1@adro1.com,9089090909,null,113006,MTAADDRESSNAME,MTALINE1,MTALINE2,MTALINE3,MTACITY,MTAState,INDIA,411033
44865,73289,112590,745BA2F0-509E-4D87-9F89-5C5076950F2D,DAY3_MEMBERFORRISKNAME,null,null,null,null,day2@email.com,9000000002,2000000002,113005,DAY2_ADDESSNAME,DAY2_LINE1,DAY2_LINE2,DAY2_LINE3,DAY2_CITY,Day2_State,INDIA,200000
44864,73288,112392,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,AMP TEST BROKER,null,null,null,null,null,null,null,112807,10 WHITECHAPEL,null,null,null,LONDON,null,UNITED KINGDOM,NULL
44863,73287,112588,91F58FCC-7621-42CD-AB14-2F5EDCBC66D2,UPDATEDMEMBER_27082020,null,null,null,null,mem@mem.mem,452-125,333-444,113003,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,null,LONDON,null,UNITED KINGDOM,34A PD
44862,73286,112587,3D0419BE-8EFF-41B5-B88D-38EE22B3D760,AUTOMEMBER_052015_190820,null,null,null,null,mem@mem.mem,452-125,333-444,113002,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,null,LONDON,null,UNITED KINGDOM,34A PD
44861,73285,112586,F157A9CD-0001-40EA-898B-E8C73D6D6427,AUTOMEMBER_050444_190820,null,null,null,null,mem@mem.mem,452-125,333-444,113001,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,null,LONDON,null,UNITED KINGDOM,34A PD
44860,73284,112585,A9DB5A23-7DF7-49F1-93FE-3FC55E43FC91,AUTOMEMBER_045239_190820,null,null,null,null,mem@mem.mem,452-125,333-444,113000,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,null,LONDON,null,UNITED KINGDOM,34A PD
44859,73283,112584,B2E873EB-6E47-49BF-ABCA-331A2D0F33EA,AUTOMEMBER_034201_190820,null,null,null,null,mem@mem.mem,452-125,333-444,112999,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 2,null,LONDON,null,UNITED KINGDOM,34A PD
44858,73282,112578,644FA70B-3E27-4137-8D1C-BAF7AE985C2D,MEMBER 17AUG2240,null,null,null,null,are@you.cpm,+44558866885,+442211552258,112993,MEMBER 17AUG2240 ADDNAME,MEMBER 17AUG2240L1,MEMBER 17AUG2240L2,MEMBER 17AUG2240L3,BIRMINGHAM,West Mids,UNITED KINGDOM,B37 7HG
44857,73281,112577,0490B947-C436-4315-87C6-70464A0A005E,ARVIND SMOKINGHOT,null,null,null,null,null,null,null,112992,ARVIND SMOKINGHOT,ARVIND SMOKINGHOT,ARVIND SMOKINGHOT,null,BHAM,null,UNITED KINGDOM, B37 7HG
44856,73280,112576,00000000-0000-0000-0000-000000000000,MEMBER 17AUG1415,null,null,null,null,there@here.com,+44885511552,+44552288996,112991,MEMBER 17AUG1415 ADDNAME,MEMBER 17AUG1415L1,MEMBER 17AUG1415L2,null,BIRMINGHAM,West Mids,UNITED KINGDOM,B37 7HG
