API_ApplicationRiskId,API_Id,API_RiskReference,API_MemberId,API_MemberReference,API_MemberName,API_ApplicationId,API_ApplicationReference,API_ApplicationType,API_EmailAddress,API_VesselId,API_ImoNumber,API_VesselName,API_VesselType,API_CallSign,API_GrossTonnage,API_YearBuilt,API_FlagCountryCode,API_FlagCountryName,API_PortOfRegistryCode,API_PortOfRegistryName,API_RiskCategoryName,API_EngineHorsePower,API_TrademarkEngineModelNumber
150817,130177,682635,44903,73327,Test2Member Altered,76168,1044643,Policy,Janie.Welsh@shipownersclub.com,130177,4565541,Riskfor Test2,YACHT CHARTER 13+ PAX,gf54,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150816,130177,682635,44903,73327,Test2Member Created,76167,1044643,Quote,Janie.Welsh@shipownersclub.com,130177,4565541,Riskfor Test2,YACHT CHARTER 13+ PAX,gf54,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150815,130176,682634,44902,73326,Test1Member Updated,76166,1044642,Policy,Janie.Welsh@shipownersclub.com,130176,5435339,Test1 Policy1Risk,YACHT CHARTER 13+ PAX,6467tryhrt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150814,130176,682634,44902,73326,Test1Member Updated,76165,1044642,Quote,Janie.Welsh@shipownersclub.com,130176,5435339,Test1 Policy1Risk,YACHT CHARTER 13+ PAX,6467tryhrt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150813,130176,682634,44902,73326,Test1Member Updated,76163,1044640,Policy,Janie.Welsh@shipownersclub.com,130176,5435339,Test1 Policy1Risk,YACHT CHARTER 13+ PAX,6467tryhrt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150812,130176,682634,44902,73326,Test1Member Created,76162,1044640,Quote,Janie.Welsh@shipownersclub.com,130176,5435339,Test1 Policy1Risk,YACHT CHARTER 13+ PAX,6467tryhrt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150811,130174,682632,44900,73324,Member For1044636,76161,1044636,Policy,Janie.Welsh@shipownersclub.com,130174,5767079,Risk For1044636,YACHT CHARTER 13+ PAX,jhvhj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150810,130173,682631,44899,73323,Member For1044635,76160,1044635,Policy,Janie.Welsh@shipownersclub.com,130173,7587590,Risk For1044635,YACHT CHARTER 13+ PAX,gjj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150809,130172,682630,44898,73322,Member For1044634,76159,1044634,Policy,Janie.Welsh@shipownersclub.com,130172,6757863,Risk For1044634,YACHT CHARTER 13+ PAX,jh,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150808,130171,682629,44897,73321,Member For1044633,76158,1044633,Policy,Janie.Welsh@shipownersclub.com,130171,7987697,Rsk For1044633,YACHT CHARTER 13+ PAX,fgf,2500,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150807,130175,682633,44901,73325,Member for PartyCheck,76157,1044639,Policy,Janie.Welsh@shipownersclub.com,130175,6458716,RiskFor Party,YACHT CHARTER 13+ PAX,gy,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150806,130175,682633,44901,73325,Member for PartyCheck,76156,1044639,Quote,Janie.Welsh@shipownersclub.com,130175,6458716,RiskFor Party,YACHT CHARTER 13+ PAX,gy,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150805,130175,682633,44901,73325,Member for PartyCheck,76155,1044638,Policy,Janie.Welsh@shipownersclub.com,130175,6458716,RiskFor Party,YACHT CHARTER 13+ PAX,gy,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150804,130175,682633,44901,73325,Member for PartyCheck,76154,1044638,Quote,Janie.Welsh@shipownersclub.com,130175,6458716,RiskFor Party,YACHT CHARTER 13+ PAX,gy,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150799,130140,682598,44888,73312,Member For155071,76151,1044637,Quote,Janie.Welsh@shipownersclub.com,130140,null,Risk 2 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150798,130139,682597,44888,73312,Member For155071,76151,1044637,Quote,Janie.Welsh@shipownersclub.com,130139,null,Risk 1 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150797,130140,682598,44888,73312,Member For155071,76150,1044606,Policy,Janie.Welsh@shipownersclub.com,130140,null,Risk 2 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150796,130139,682597,44888,73312,Member For155071,76150,1044606,Policy,Janie.Welsh@shipownersclub.com,130139,null,Risk 1 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150795,130174,682632,44900,73324,Member For1044636,76149,1044636,Quote,Janie.Welsh@shipownersclub.com,130174,5767079,Risk For1044636,YACHT CHARTER 13+ PAX,jhvhj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150794,130173,682631,44899,73323,Member For1044635,76148,1044635,Quote,Janie.Welsh@shipownersclub.com,130173,7587590,Risk For1044635,YACHT CHARTER 13+ PAX,gjj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150793,130172,682630,44898,73322,Member For1044634,76147,1044634,Quote,Janie.Welsh@shipownersclub.com,130172,6757863,Risk For1044634,YACHT CHARTER 13+ PAX,jh,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150792,130171,682629,44897,73321,Member For1044633,76146,1044633,Quote,Janie.Welsh@shipownersclub.com,130171,7987697,Rsk For1044633,YACHT CHARTER 13+ PAX,fgf,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150791,130170,682628,44896,73320,NewMember For1044632,76145,1044632,Policy,Janie.Welsh@shipownersclub.com,130170,9790086,Any NewVessel,YACHT CHARTER 13+ PAX,67678,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150790,130170,682628,44896,73320,NewMember For1044632,76144,1044632,Quote,Janie.Welsh@shipownersclub.com,130170,9790086,Any NewVessel,YACHT CHARTER 13+ PAX,67678,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150789,130150,682608,44889,73313,Member For1044613,76143,1044631,Policy,Janie.Welsh@shipownersclub.com,130150,3465457,Moribund the Burgermeister,YACHT CHARTER 13+ PAX,ddd,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150788,130151,682609,44889,73313,Member For1044613,76143,1044631,Policy,Janie.Welsh@shipownersclub.com,130151,7835636,Major Tom,YACHT CHARTER 13+ PAX,eee,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150787,130150,682608,44889,73313,Member For1044613,76142,1044631,Quote,Janie.Welsh@shipownersclub.com,130150,3465457,Starman,YACHT CHARTER 13+ PAX,ddd,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150786,130151,682609,44889,73313,Member For1044613,76142,1044631,Quote,Janie.Welsh@shipownersclub.com,130151,7835636,Major Tom,YACHT CHARTER 13+ PAX,eee,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150785,130169,682627,44895,73319,RevisedMember Name1044630,76141,1044630,Policy,Janie.Welsh@shipownersclub.com,130169,5475676,Risk 2 Name1044630,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150784,130168,682626,44895,73319,RevisedMember Name1044630,76141,1044630,Policy,Janie.Welsh@shipownersclub.com,130168,2353243,Risk 1 Name1044630,YACHT CHARTER 13+ PAX,ttt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150783,130169,682627,44895,73319,StartMember Name1044630,76140,1044630,Quote,Janie.Welsh@shipownersclub.com,130169,5475676,Risk 2 Name1044630,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150782,130168,682626,44895,73319,StartMember Name1044630,76140,1044630,Quote,Janie.Welsh@shipownersclub.com,130168,2353243,Risk 1 Name1044630,YACHT CHARTER 13+ PAX,ttt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150781,130153,682611,44891,73315,Member For1044615,76139,1044629,Policy,Janie.Welsh@shipownersclub.com,130153,4643537,Risk 1 1044615,YACHT CHARTER 13+ PAX,ggg,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150780,130153,682611,44891,73315,Member For1044615,76138,1044629,Quote,Janie.Welsh@shipownersclub.com,130153,4643537,Risk 1 1044615,YACHT CHARTER 13+ PAX,ggg,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150779,130167,682625,44894,73318,Updated Member Name,76137,1044628,Policy,Janie.Welsh@shipownersclub.com,130167,2354089,Risk 2 For1044628,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150778,130166,682624,44894,73318,Updated Member Name,76137,1044628,Policy,Janie.Welsh@shipownersclub.com,130166,3454355,Risk 1 For1044628,YACHT CHARTER 13+ PAX,ttt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150777,130167,682625,44894,73318,Member ForMTARenewals,76136,1044628,Quote,Janie.Welsh@shipownersclub.com,130167,2354089,Risk 2 For1044628,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150776,130166,682624,44894,73318,Member ForMTARenewals,76136,1044628,Quote,Janie.Welsh@shipownersclub.com,130166,3454355,Risk 1 For1044628,YACHT CHARTER 13+ PAX,ttt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150775,130161,682619,44893,73317,MemberFor RenewalOne,76135,1044627,Policy,Janie.Welsh@shipownersclub.com,130161,2432415,Risk 2 For1044620,YACHT CHARTER 13+ PAX,ooo,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150774,130160,682618,44893,73317,MemberFor RenewalOne,76135,1044627,Policy,Janie.Welsh@shipownersclub.com,130160,2349010,Risk 1 For1044620,YACHT CHARTER 13+ PAX,nnn,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150773,130163,682621,44893,73317,MemberFor RenewalOne,76134,1044626,Policy,Janie.Welsh@shipownersclub.com,130163,3458923,Risk 2 For1044621,YACHT CHARTER 13+ PAX,qqq,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150772,130162,682620,44893,73317,MemberFor RenewalOne,76134,1044626,Policy,Janie.Welsh@shipownersclub.com,130162,3458727,Risk 1 For1044621,YACHT CHARTER 13+ PAX,ppp,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150767,130160,682618,44893,73317,MemberFor RenewalOne,76131,1044627,Quote,Janie.Welsh@shipownersclub.com,130160,2349010,Risk 1 For1044620,YACHT CHARTER 13+ PAX,nnn,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150766,130161,682619,44893,73317,MemberFor RenewalOne,76131,1044627,Quote,Janie.Welsh@shipownersclub.com,130161,2432415,Risk 2 For1044620,YACHT CHARTER 13+ PAX,ooo,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150765,130162,682620,44893,73317,MemberFor RenewalOne,76130,1044626,Quote,Janie.Welsh@shipownersclub.com,130162,3458727,Risk 1 For1044621,YACHT CHARTER 13+ PAX,ppp,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150764,130163,682621,44893,73317,MemberFor RenewalOne,76130,1044626,Quote,Janie.Welsh@shipownersclub.com,130163,3458923,Risk 2 For1044621,YACHT CHARTER 13+ PAX,qqq,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150763,130165,682623,44893,73317,MemberFor RenewalOne,76129,1044625,Quote,Janie.Welsh@shipownersclub.com,130165,2342933,Risk 1 For1044623,YACHT CHARTER 13+ PAX,sss,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150762,130164,682622,44893,73317,MemberFor RenewalOne,76128,1044624,Quote,Janie.Welsh@shipownersclub.com,130164,2342323,Risk 1 For1044622,YACHT CHARTER 13+ PAX,rrr,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150761,130165,682623,44893,73317,MemberFor RenewalOne,76127,1044623,Policy,Janie.Welsh@shipownersclub.com,130165,2342933,Risk 1 For1044623,YACHT CHARTER 13+ PAX,sss,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150760,130165,682623,44893,73317,MemberFor RenewalOne,76126,1044623,Quote,Janie.Welsh@shipownersclub.com,130165,2342933,Risk 1 For1044623,YACHT CHARTER 13+ PAX,sss,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150759,130164,682622,44893,73317,MemberFor RenewalOne,76125,1044622,Policy,Janie.Welsh@shipownersclub.com,130164,2342323,Risk 1 For1044622,YACHT CHARTER 13+ PAX,rrr,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150758,130164,682622,44893,73317,MemberFor RenewalOne,76124,1044622,Quote,Janie.Welsh@shipownersclub.com,130164,2342323,Risk 1 For1044622,YACHT CHARTER 13+ PAX,rrr,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150757,130163,682621,44893,73317,MemberFor RenewalOne,76123,1044621,Policy,Janie.Welsh@shipownersclub.com,130163,3458923,Risk 2 For1044621,YACHT CHARTER 13+ PAX,qqq,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150756,130162,682620,44893,73317,MemberFor RenewalOne,76123,1044621,Policy,Janie.Welsh@shipownersclub.com,130162,3458727,Risk 1 For1044621,YACHT CHARTER 13+ PAX,ppp,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150755,130163,682621,44893,73317,MemberFor RenewalOne,76122,1044621,Quote,Janie.Welsh@shipownersclub.com,130163,3458923,Risk 2 For1044621,YACHT CHARTER 13+ PAX,qqq,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150754,130162,682620,44893,73317,MemberFor RenewalOne,76122,1044621,Quote,Janie.Welsh@shipownersclub.com,130162,3458727,Risk 1 For1044621,YACHT CHARTER 13+ PAX,ppp,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150753,130161,682619,44893,73317,MemberFor RenewalOne,76121,1044620,Policy,Janie.Welsh@shipownersclub.com,130161,2432415,Risk 2 For1044620,YACHT CHARTER 13+ PAX,ooo,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150752,130160,682618,44893,73317,MemberFor RenewalOne,76121,1044620,Policy,Janie.Welsh@shipownersclub.com,130160,2349010,Risk 1 For1044620,YACHT CHARTER 13+ PAX,nnn,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150751,130161,682619,44893,73317,MemberFor RenewalOne,76120,1044620,Quote,Janie.Welsh@shipownersclub.com,130161,2432415,Risk 2 For1044620,YACHT CHARTER 13+ PAX,ooo,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150750,130160,682618,44893,73317,MemberFor RenewalOne,76120,1044620,Quote,Janie.Welsh@shipownersclub.com,130160,2349010,Risk 1 For1044620,YACHT CHARTER 13+ PAX,nnn,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150749,130159,682617,44892,73316,Member For1044616 ,76119,1044619,Policy,Janie.Welsh@shipownersclub.com,130159,2365349,Risk 2 For1044619,YACHT CHARTER 13+ PAX,mmm,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150748,130158,682616,44892,73316,Member For1044616 ,76119,1044619,Policy,Janie.Welsh@shipownersclub.com,130158,2358906,Risk 1 For1044619,YACHT CHARTER 13+ PAX,lll,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150747,130159,682617,44892,73316,Member For1044616 ,76118,1044619,Quote,Janie.Welsh@shipownersclub.com,130159,2365349,Risk 2 For1044619,YACHT CHARTER 13+ PAX,mmm,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150746,130158,682616,44892,73316,Member For1044616 ,76118,1044619,Quote,Janie.Welsh@shipownersclub.com,130158,2358906,Risk 1 For1044619,YACHT CHARTER 13+ PAX,lll,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150745,130157,682615,44892,73316,Member For1044616 ,76117,1044618,Policy,Janie.Welsh@shipownersclub.com,130157,8340298,Risk 1 For1044618,YACHT CHARTER 13+ PAX,kkk,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150744,130157,682615,44892,73316,Member For1044616 ,76116,1044618,Quote,Janie.Welsh@shipownersclub.com,130157,8340298,Risk 1 For1044618,YACHT CHARTER 13+ PAX,kkk,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150743,130156,682614,44892,73316,Member For1044616 ,76115,1044617,Policy,Janie.Welsh@shipownersclub.com,130156,8297518,Updated Happy Risk,YACHT CHARTER 13+ PAX,jjj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150742,130156,682614,44892,73316,Member For1044616 ,76114,1044617,Quote,Janie.Welsh@shipownersclub.com,130156,8297518,Risk 1 For1044617,YACHT CHARTER 13+ PAX,jjj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150741,130155,682613,44892,73316,Member For1044616 ,76113,1044616,Policy,Janie.Welsh@shipownersclub.com,130155,5373921,Risk2 For1044616 ,YACHT CHARTER 13+ PAX,iii,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150740,130154,682612,44892,73316,Member For1044616 ,76113,1044616,Policy,Janie.Welsh@shipownersclub.com,130154,9784386,Risk 1 For1044616 ,YACHT CHARTER 13+ PAX,hhh,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150739,130155,682613,44892,73316,Member For1044616 ,76112,1044616,Quote,Janie.Welsh@shipownersclub.com,130155,5373921,Risk2 For1044616 ,YACHT CHARTER 13+ PAX,iii,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150738,130154,682612,44892,73316,Member For1044616 ,76112,1044616,Quote,Janie.Welsh@shipownersclub.com,130154,9784386,Risk 1 For1044616 ,YACHT CHARTER 13+ PAX,hhh,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150737,130153,682611,44891,73315,Member For1044615,76111,1044615,Policy,Janie.Welsh@shipownersclub.com,130153,4643537,Risk 1 1044615,YACHT CHARTER 13+ PAX,ggg,2500,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150736,130153,682611,44891,73315,Member For1044615,76110,1044615,Quote,Janie.Welsh@shipownersclub.com,130153,4643537,Risk 1 1044615,YACHT CHARTER 13+ PAX,ggg,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150735,130152,682610,44890,73314,Member For1044614,76109,1044614,Policy,Janie.Welsh@shipownersclub.com,130152,6245212,Risk 1 1044614,YACHT CHARTER 13+ PAX,fff,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150734,130152,682610,44890,73314,Member For1044614,76108,1044614,Quote,Janie.Welsh@shipownersclub.com,130152,6245212,Risk 1 1044614,YACHT CHARTER 13+ PAX,fff,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150733,130151,682609,44889,73313,Member For1044613,76107,1044613,Policy,Janie.Welsh@shipownersclub.com,130151,7835636,Yossarian,YACHT CHARTER 13+ PAX,eee,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150732,130150,682608,44889,73313,Member For1044613,76107,1044613,Policy,Janie.Welsh@shipownersclub.com,130150,3465457,Starman,YACHT CHARTER 13+ PAX,ddd,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150731,130151,682609,44889,73313,Member For1044613,76106,1044613,Quote,Janie.Welsh@shipownersclub.com,130151,7835636,Risk 2 For1044613,YACHT CHARTER 13+ PAX,eee,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150730,130150,682608,44889,73313,Member For1044613,76106,1044613,Quote,Janie.Welsh@shipownersclub.com,130150,3465457,Risk 1 For1044613,YACHT CHARTER 13+ PAX,ddd,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150729,130149,682607,44888,73312,Member For155071,76105,1044612,Policy,Janie.Welsh@shipownersclub.com,130149,6546343,Risk 2 For1044612,YACHT CHARTER 13+ PAX,ccc,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150728,130148,682606,44888,73312,Member For155071,76105,1044612,Policy,Janie.Welsh@shipownersclub.com,130148,5239814,Risk 1 For1044612,YACHT CHARTER MAX 12 PAX,bbb,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150727,130149,682607,44888,73312,Member For155071,76104,1044612,Quote,Janie.Welsh@shipownersclub.com,130149,6546343,Risk 2 For1044612,YACHT CHARTER 13+ PAX,ccc,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150726,130148,682606,44888,73312,Member For155071,76104,1044612,Quote,Janie.Welsh@shipownersclub.com,130148,5239814,Risk 1 For1044612,YACHT CHARTER MAX 12 PAX,bbb,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150725,130147,682605,44888,73312,Member For155071,76103,1044611,Quote,Janie.Welsh@shipownersclub.com,130147,4698702,Risk 2 1044611,YACHT CHARTER 13+ PAX,aaa,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150724,130146,682604,44888,73312,Member For155071,76103,1044611,Quote,Janie.Welsh@shipownersclub.com,130146,null,Risk 1 1044611,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150723,130145,682603,44888,73312,Member For155071,76102,1044610,Quote,Janie.Welsh@shipownersclub.com,130145,null,Risk 1044610,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
