SQL_ApplicationRiskId,SQL_Id,SQL_RiskReference,SQL_MemberId,SQL_MemberReference,SQL_MemberName,SQL_ApplicationId,SQL_ApplicationReference,SQL_ApplicationType,SQL_EmailAddress,SQL_VesselId,SQL_ImoNumber,SQL_VesselName,SQL_VesselType,SQL_CallSign,SQL_GrossTonnage,SQL_YearBuilt,SQL_FlagCountryCode,SQL_FlagCountryName,SQL_PortOfRegistryCode,SQL_PortOfRegistryName,SQL_RiskCategoryName,SQL_EngineHorsePower,SQL_TrademarkEngineModelNumber
150749,130159,682617,44892,73316,Member For1044616 ,76119,1044619,Policy,Janie.Welsh@shipownersclub.com,130159,2365349,Risk 2 For1044619,YACHT CHARTER 13+ PAX,mmm,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150748,130158,682616,44892,73316,Member For1044616 ,76119,1044619,Policy,Janie.Welsh@shipownersclub.com,130158,2358906,Risk 1 For1044619,YACHT CHARTER 13+ PAX,lll,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150747,130159,682617,44892,73316,Member For1044616 ,76118,1044619,Quote,Janie.Welsh@shipownersclub.com,130159,2365349,Risk 2 For1044619,YACHT CHARTER 13+ PAX,mmm,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150746,130158,682616,44892,73316,Member For1044616 ,76118,1044619,Quote,Janie.Welsh@shipownersclub.com,130158,2358906,Risk 1 For1044619,YACHT CHARTER 13+ PAX,lll,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150745,130157,682615,44892,73316,Member For1044616 ,76117,1044618,Policy,Janie.Welsh@shipownersclub.com,130157,8340298,Risk 1 For1044618,YACHT CHARTER 13+ PAX,kkk,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150744,130157,682615,44892,73316,Member For1044616 ,76116,1044618,Quote,Janie.Welsh@shipownersclub.com,130157,8340298,Risk 1 For1044618,YACHT CHARTER 13+ PAX,kkk,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150743,130156,682614,44892,73316,Member For1044616 ,76115,1044617,Policy,Janie.Welsh@shipownersclub.com,130156,8297518,Updated Happy Risk,YACHT CHARTER 13+ PAX,jjj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150742,130156,682614,44892,73316,Member For1044616 ,76114,1044617,Quote,Janie.Welsh@shipownersclub.com,130156,8297518,Updated Happy Risk,YACHT CHARTER 13+ PAX,jjj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150741,130155,682613,44892,73316,Member For1044616 ,76113,1044616,Policy,Janie.Welsh@shipownersclub.com,130155,5373921,Risk2 For1044616 ,YACHT CHARTER 13+ PAX,iii,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150740,130154,682612,44892,73316,Member For1044616 ,76113,1044616,Policy,Janie.Welsh@shipownersclub.com,130154,9784386,Risk 1 For1044616 ,YACHT CHARTER 13+ PAX,hhh,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150739,130155,682613,44892,73316,Member For1044616 ,76112,1044616,Quote,Janie.Welsh@shipownersclub.com,130155,5373921,Risk2 For1044616 ,YACHT CHARTER 13+ PAX,iii,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150738,130154,682612,44892,73316,Member For1044616 ,76112,1044616,Quote,Janie.Welsh@shipownersclub.com,130154,9784386,Risk 1 For1044616 ,YACHT CHARTER 13+ PAX,hhh,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150737,130153,682611,44891,73315,Member For1044615,76111,1044615,Policy,Janie.Welsh@shipownersclub.com,130153,4643537,Risk 1 1044615,YACHT CHARTER 13+ PAX,ggg,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150736,130153,682611,44891,73315,Member For1044615,76110,1044615,Quote,Janie.Welsh@shipownersclub.com,130153,4643537,Risk 1 1044615,YACHT CHARTER 13+ PAX,ggg,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150735,130152,682610,44890,73314,Member For1044614,76109,1044614,Policy,Janie.Welsh@shipownersclub.com,130152,6245212,Risk 1 1044614,YACHT CHARTER 13+ PAX,fff,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150734,130152,682610,44890,73314,Member For1044614,76108,1044614,Quote,Janie.Welsh@shipownersclub.com,130152,6245212,Risk 1 1044614,YACHT CHARTER 13+ PAX,fff,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150733,130151,682609,44889,73313,Member For1044613,76107,1044613,Policy,Janie.Welsh@shipownersclub.com,130151,7835636,Major Tom,YACHT CHARTER 13+ PAX,eee,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150732,130150,682608,44889,73313,Member For1044613,76107,1044613,Policy,Janie.Welsh@shipownersclub.com,130150,3465457,Moribund the Burgermeister,YACHT CHARTER 13+ PAX,ddd,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150731,130151,682609,44889,73313,Member For1044613,76106,1044613,Quote,Janie.Welsh@shipownersclub.com,130151,7835636,Major Tom,YACHT CHARTER 13+ PAX,eee,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150730,130150,682608,44889,73313,Member For1044613,76106,1044613,Quote,Janie.Welsh@shipownersclub.com,130150,3465457,Moribund the Burgermeister,YACHT CHARTER 13+ PAX,ddd,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150729,130149,682607,44888,73312,Member For155071,76105,1044612,Policy,Janie.Welsh@shipownersclub.com,130149,6546343,Risk 2 For1044612,YACHT CHARTER 13+ PAX,ccc,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150728,130148,682606,44888,73312,Member For155071,76105,1044612,Policy,Janie.Welsh@shipownersclub.com,130148,5239814,Risk 1 For1044612,YACHT CHARTER MAX 12 PAX,bbb,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150727,130149,682607,44888,73312,Member For155071,76104,1044612,Quote,Janie.Welsh@shipownersclub.com,130149,6546343,Risk 2 For1044612,YACHT CHARTER 13+ PAX,ccc,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150726,130148,682606,44888,73312,Member For155071,76104,1044612,Quote,Janie.Welsh@shipownersclub.com,130148,5239814,Risk 1 For1044612,YACHT CHARTER MAX 12 PAX,bbb,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150725,130147,682605,44888,73312,Member For155071,76103,1044611,Quote,Janie.Welsh@shipownersclub.com,130147,4698702,Risk 2 1044611,YACHT CHARTER 13+ PAX,aaa,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150724,130146,682604,44888,73312,Member For155071,76103,1044611,Quote,Janie.Welsh@shipownersclub.com,130146,null,Risk 1 1044611,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150723,130145,682603,44888,73312,Member For155071,76102,1044610,Quote,Janie.Welsh@shipownersclub.com,130145,null,Risk 1044610,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150722,130144,682602,44888,73312,Member For155071,76101,1044609,Quote,Janie.Welsh@shipownersclub.com,130144,null,Risk 2 1044609,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150721,130143,682601,44888,73312,Member For155071,76101,1044609,Quote,Janie.Welsh@shipownersclub.com,130143,null,Risk 1 1044609,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150720,130142,682600,44888,73312,Member For155071,76100,1044608,Quote,Janie.Welsh@shipownersclub.com,130142,null,Risk For1044608,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150719,130141,682599,44888,73312,Member For155071,76099,1044607,Quote,Janie.Welsh@shipownersclub.com,130141,null,Risk 1044607,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150718,130140,682598,44888,73312,Member For155071,76098,1044606,Quote,Janie.Welsh@shipownersclub.com,130140,null,Risk 2 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150717,130139,682597,44888,73312,Member For155071,76098,1044606,Quote,Janie.Welsh@shipownersclub.com,130139,null,Risk 1 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150716,130138,682596,44887,73311,PaulsNewMember,76097,1044605,Quote,Janie.Welsh@shipownersclub.com,130138,null,notaboat,GENERAL BARGE,null,123,2003,ALD,ALAND ISLANDS,A G,A GUARDA,BARGES,null,null
150715,130137,682595,44887,73311,PaulsNewMember,76096,1044604,Quote,Janie.Welsh@shipownersclub.com,130137,null,omgitstheblob,DREDGING (FISHING),null,123,2003,ALD,ALAND ISLANDS,A G,A GUARDA,FISHING VESSELS,null,null
150714,130136,682594,44887,73311,PaulsNewMember,76095,1044603,Quote,Janie.Welsh@shipownersclub.com,130136,null,itsathing,DREDGING (FISHING),null,123,2003,AFG,AFGHANISTAN,A G,A GUARDA,FISHING VESSELS,null,null
150713,130135,682593,44886,73310,Paul Productions,76094,1044602,Policy,Janie.Welsh@shipownersclub.com,130135,null,Ark,TANK,null,1,2000,VGB,BRITISH VIRGIN ISLANDS,ABE,ABERDEEN,BARGES,null,null
150712,130135,682593,44886,73310,Paul Productions,76093,1044602,Quote,Janie.Welsh@shipownersclub.com,130135,null,Ark,TANK,null,1,2000,VGB,BRITISH VIRGIN ISLANDS,ABE,ABERDEEN,BARGES,null,null
150711,130134,682592,44884,73308,FirstUpdate Member,76091,1044600,Policy,Janie.Welsh@shipownersclub.com,130134,7655464,Case1 Risk2,YACHT CHARTER 13+ PAX,c1r2,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150710,130133,682591,44884,73308,FirstUpdate Member,76091,1044600,Policy,Janie.Welsh@shipownersclub.com,130133,2345789,Case1 Risk1,YACHT CHARTER 13+ PAX,C1r1,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150707,130134,682592,44884,73308,FirstUpdate Member,76089,1044599,Policy,Janie.Welsh@shipownersclub.com,130134,7655464,Case1 Risk2,YACHT CHARTER 13+ PAX,c1r2,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150706,130133,682591,44884,73308,FirstUpdate Member,76089,1044599,Policy,Janie.Welsh@shipownersclub.com,130133,2345789,Case1 Risk1,YACHT CHARTER 13+ PAX,C1r1,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150705,130134,682592,44884,73308,FirstUpdate Member,76088,1044599,Quote,Janie.Welsh@shipownersclub.com,130134,7655464,Case1 Risk2,YACHT CHARTER 13+ PAX,c1r2,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150704,130133,682591,44884,73308,FirstUpdate Member,76088,1044599,Quote,Janie.Welsh@shipownersclub.com,130133,2345789,Case1 Risk1,YACHT CHARTER 13+ PAX,C1r1,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150703,130132,682590,44884,73308,FirstUpdate Member,76087,1044598,Policy,Janie.Welsh@shipownersclub.com,130132,3454238,SecondPol Risk,YACHT CHARTER 13+ PAX,2pr,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150702,130132,682590,44884,73308,FirstUpdate Member,76086,1044598,Quote,Janie.Welsh@shipownersclub.com,130132,3454238,SecondPol Risk,YACHT CHARTER 13+ PAX,2pr,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150701,130131,682589,44884,73308,FirstUpdate Member,76085,1044597,Policy,Janie.Welsh@shipownersclub.com,130131,8793598,Risk2 ForMember,YACHT CHARTER 13+ PAX,po2,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150700,130130,682588,44884,73308,FirstUpdate Member,76085,1044597,Policy,Janie.Welsh@shipownersclub.com,130130,4363498,Risk1 ForMember,YACHT CHARTER 13+ PAX,ep1,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150699,130131,682589,44884,73308,FirstUpdate Member,76084,1044597,Quote,Janie.Welsh@shipownersclub.com,130131,8793598,Risk2 ForMember,YACHT CHARTER 13+ PAX,po2,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
