API_ApplicationRiskId,API_RiskVesselId,API_RiskReference,API_MemberId,API_Reference,API_OrganisationName,API_ApplicationID,API_ApplicationReference,API_Discriminator,API_EmailAddress,API_ImoNumber,API_VesselName,API_VesselType,API_CallSign,API_GrossTonnage,API_YearBuilt,API_FlagCountryCode,API_FlagCountryName,API_PortOfRegistryCode,API_PortOfRegistryName,API_RiskCategoryName,API_EngineHorsePower,API_TrademarkEngineModelNumber
150684,130124,682582,44882,73306,NewMember ForAPI,76072,1044591,Policy,Janie.Welsh@shipownersclub.com,null,Risk2,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150684,130124,682582,44882,73306,NewMember ForAPI,76072,1044591,Policy,Janie.Welsh@shipownersclub.com,null,Risk2,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150684,130124,682582,44882,73306,NewMember ForAPI,76072,1044591,Policy,Janie.Welsh@shipownersclub.com,null,Risk2,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150664,130113,682571,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R1,YACHT CHARTER 13+ PAX,null,3333,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150664,130113,682571,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R1,YACHT CHARTER 13+ PAX,null,3333,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150664,130113,682571,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R1,YACHT CHARTER 13+ PAX,null,3333,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150664,130113,682571,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R1,YACHT CHARTER 13+ PAX,null,3333,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150664,130113,682571,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R1,YACHT CHARTER 13+ PAX,null,3333,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150664,130113,682571,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R1,YACHT CHARTER 13+ PAX,null,3333,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150664,130113,682571,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R1,YACHT CHARTER 13+ PAX,null,3333,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150664,130113,682571,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R1,YACHT CHARTER 13+ PAX,null,3333,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150654,130107,682565,44879,73303,Day0_MemberByRef,76051,1044576,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150652,130106,682564,44878,73302,Day3_Member,76049,1044575,Policy,Janie.Welsh@shipownersclub.com,null,MTAVessel,DREDGING (FISHING),1000,200,2020,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150640,130101,682559,44876,73300,Day3APIMember,76031,1044562,Policy,Janie.Welsh@shipownersclub.com,null,MyAPIRisk1,FISH FARM VESSELS,123123123,100,2020,UMI,AMERICAN PACIFIC TERRITORIES,ALD,AALESUND,FISHING VESSELS,null,null
150636,130098,682556,44875,73299,Member 07Sept1150,76029,1044561,Policy,Janie.Welsh@shipownersclub.com,null,JATests Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150636,130098,682556,44875,73299,Member 07Sept1150,76029,1044561,Policy,Janie.Welsh@shipownersclub.com,null,JATests Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150636,130098,682556,44875,73299,Member 07Sept1150,76029,1044561,Policy,Janie.Welsh@shipownersclub.com,null,JATests Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150632,130097,682555,44874,73298,Day3TestMember,76027,1044560,Policy,Janie.Welsh@shipownersclub.com,null,RiskTest1,INSHORE FISHING,12313,123,2002,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150618,130088,682546,44871,73295,MyMember,76007,1044545,Policy,Janie.Welsh@shipownersclub.com,null,MyVessel,FISH FARM VESSELS,1233212,555,2019,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150618,130088,682546,44871,73295,MyMember,76007,1044545,Policy,Janie.Welsh@shipownersclub.com,null,MyVessel,FISH FARM VESSELS,1233212,555,2019,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150615,130086,682544,44870,73294,NewMem 27Aug1415,76005,1044539,Policy,Janie.Welsh@shipownersclub.com,null,QuoteRisk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150615,130086,682544,44870,73294,NewMem 27Aug1415,76005,1044539,Policy,Janie.Welsh@shipownersclub.com,null,QuoteRisk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150600,130078,682536,44869,73293,MemCreated 26Aug1421,75993,1044536,Policy,Janie.Welsh@shipownersclub.com,1243269,Mem26Aug1421 Risk1,YACHT CHARTER 13+ PAX,Get Here Now,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150600,130078,682536,44869,73293,MemCreated 26Aug1421,75993,1044536,Policy,Janie.Welsh@shipownersclub.com,1243269,Mem26Aug1421 Risk1,YACHT CHARTER 13+ PAX,Get Here Now,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150600,130078,682536,44869,73293,MemCreated 26Aug1421,75993,1044536,Policy,Janie.Welsh@shipownersclub.com,1243269,Mem26Aug1421 Risk1,YACHT CHARTER 13+ PAX,Get Here Now,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150596,130077,682535,44868,73292,mem 26 Aug 1259,75991,1044535,Policy,Janie.Welsh@shipownersclub.com,null,26 Aug smoke2 risk,PASSENGER CRUISE VESSEL,null,2500,2012,ITA,ITALY,TRE,TRIESTE,PASSENGER VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150650,130105,682563,44865,73289,Day3_MemberForRiskName,76046,1044573,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150572,130058,682516,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150572,130058,682516,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150572,130058,682516,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150572,130058,682516,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150572,130058,682516,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150572,130058,682516,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150558,130049,682507,44853,73277,anothe3r Newmebr,75956,1044505,Policy,Janie.Welsh@shipownersclub.com,null,smerkrisk,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150552,130044,682502,44849,73273,NEW Member 11Aug@9938,75950,1044500,Policy,Janie.Welsh@shipownersclub.com,null,Risk1 Member@0938,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150552,130044,682502,44849,73273,NEW Member 11Aug@9938,75950,1044500,Policy,Janie.Welsh@shipownersclub.com,null,Risk1 Member@0938,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150552,130044,682502,44849,73273,NEW Member 11Aug@9938,75950,1044500,Policy,Janie.Welsh@shipownersclub.com,null,Risk1 Member@0938,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
149293,129994,682452,44847,73271,bbbbllllaaah,75568,1044268,Policy,Janie.Welsh@shipownersclub.com,null,RRRRIIISSSKKKKYYYY,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
149283,129989,682447,44846,73270,AMP Test Cold Prospect Party,75558,1044261,Policy,Janie.Welsh@shipownersclub.com,null,New risk check 1,PASSENGER PONTOON,1234567,450,2010,AUS,AUSTRALIA,AMB,AMBARLI,PASSENGER VESSELS,null,null
149283,129989,682447,44846,73270,AMP Test Cold Prospect Party,75558,1044261,Policy,Janie.Welsh@shipownersclub.com,null,New risk check 1,PASSENGER PONTOON,1234567,450,2010,AUS,AUSTRALIA,AMB,AMBARLI,PASSENGER VESSELS,null,null
149280,129987,682445,44845,73269,M1044260,75556,1044260,Policy,Janie.Welsh@shipownersclub.com,null,R1_1044260,YACHT COMPANY OWNED NO CHARTER,null,2000,2000,ALD,ALAND ISLANDS,AAB,AABENRAA,YACHTS,null,null
149280,129987,682445,44845,73269,M1044260,75556,1044260,Policy,Janie.Welsh@shipownersclub.com,null,R1_1044260,YACHT COMPANY OWNED NO CHARTER,null,2000,2000,ALD,ALAND ISLANDS,AAB,AABENRAA,YACHTS,null,null
149274,129985,682443,44844,73268,M1044258,75553,1044258,Policy,Janie.Welsh@shipownersclub.com,null,R1044258_1,YACHT CHARTER 13+ PAX,null,2000,2000,ALB,ALBANIA,AAB,AABENRAA,YACHTS,null,null
149274,129985,682443,44844,73268,M1044258,75553,1044258,Policy,Janie.Welsh@shipownersclub.com,null,R1044258_1,YACHT CHARTER 13+ PAX,null,2000,2000,ALB,ALBANIA,AAB,AABENRAA,YACHTS,null,null
149267,129982,682440,44842,73266,M1044255,75549,1044255,Policy,Janie.Welsh@shipownersclub.com,null,R1_1044255,YACHT CHARTER 13+ PAX,null,2000,2000,DZA,ALGERIA,AAL,AALBORG,YACHTS,null,null
149267,129982,682440,44842,73266,M1044255,75549,1044255,Policy,Janie.Welsh@shipownersclub.com,null,R1_1044255,YACHT CHARTER 13+ PAX,null,2000,2000,DZA,ALGERIA,AAL,AALBORG,YACHTS,null,null
149261,129980,682438,44841,73265,M1044253,75546,1044253,Policy,Janie.Welsh@shipownersclub.com,null,R1_1044253,YACHT CHARTER 13+ PAX,null,2000,2000,DZA,ALGERIA,ALD,AALESUND,YACHTS,null,null
149261,129980,682438,44841,73265,M1044253,75546,1044253,Policy,Janie.Welsh@shipownersclub.com,null,R1_1044253,YACHT CHARTER 13+ PAX,null,2000,2000,DZA,ALGERIA,ALD,AALESUND,YACHTS,null,null
150586,130069,682527,44836,73260,OCEAN V LTD,75980,1044526,Policy,Alice.Wakeley@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
