SQL_ApplicationId,SQL_Party_Id,SQL_PartyRoleTypeName,SQL_AccociatedPartyId,SQL_CrmIdentifier,SQL_OrganisationName,SQL_Salutation,SQL_FirstName,SQL_MiddleName,SQL_LastName,SQL_Name,SQL_SearchName,SQL_EmailAddress,SQL_Telephone,SQL_Fax,SQL_Address_Id,SQL_AddressName,SQL_Line1,SQL_Line2,SQL_Line3,SQL_City,SQL_StateOrProvince,SQL_Country,SQL_Postcode
76146,112657,InterestedParty,191370,A4D83381-6683-485E-898B-7858C43F7FF8,Mortgagee For1044633,null,null,null,null,Mortgagee For1044633,Mortgagee For1044633,null,null,null,113072,Party For1044633  Add Name,Party For1044633 l1,Party For1044633 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76146,112658,Joint Assured,191351,CE755349-AA88-412B-86AC-864A5B469995,Revised Joint For1044633 ,null,null,null,null,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,113073,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L2,null,bham,null,UNITED KINGDOM,b37 7hg
76146,112657,Mortgagee,191350,A4D83381-6683-485E-898B-7858C43F7FF8,Mortgagee For1044633,null,null,null,null,Mortgagee For1044633,Mortgagee For1044633,null,null,null,113072,Party For1044633  Add Name,Party For1044633 l1,Party For1044633 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76145,112635,Joint Assured,191349,9E20BB91-F60B-4435-9785-C1764A604F25,FUTURE 1044606,null,null,null,null,FUTURE 1044606,FUTURE 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76144,112635,Joint Assured,191348,9E20BB91-F60B-4435-9785-C1764A604F25,FUTURE 1044606,null,null,null,null,FUTURE 1044606,FUTURE 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76143,112641,Joint Assured,191347,78D5863D-612F-48A1-AF6B-137B9FFB4B54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76142,112641,Joint Assured,191346,78D5863D-612F-48A1-AF6B-137B9FFB4B54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76137,112653,Crew Manager,191345,55D00082-BED3-407E-B236-7578339532A8,Party For1044628,null,null,null,null,Party For1044628,Party For1044628,null,null,null,113068,Party For1044628 AddName,Party For1044628 L1,Party For1044628 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76136,112653,Crew Manager,191344,55D00082-BED3-407E-B236-7578339532A8,Party For1044628,null,null,null,null,Party For1044628,Party For1044628,null,null,null,113068,Party For1044628 AddName,Party For1044628 L1,Party For1044628 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76135,112650,Co-assured,191343,105A477C-1F54-4D56-B254-A7DD5A7F0219,Party For1044620,null,null,null,null,Party For1044620,Party For1044620,null,null,null,113065,Party For1044620 AddName,Party For1044620 L1,Party For1044620 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76134,112651,Joint Assured,191342,8AE20AEC-BED3-4411-A08F-12ECF2A0B4BC,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76131,112650,Co-assured,191339,105A477C-1F54-4D56-B254-A7DD5A7F0219,Party For1044620,null,null,null,null,Party For1044620,Party For1044620,null,null,null,113065,Party For1044620 AddName,Party For1044620 L1,Party For1044620 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76130,112651,Joint Assured,191338,8AE20AEC-BED3-4411-A08F-12ECF2A0B4BC,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76123,112651,Joint Assured,191337,8AE20AEC-BED3-4411-A08F-12ECF2A0B4BC,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76122,112651,Joint Assured,191336,8AE20AEC-BED3-4411-A08F-12ECF2A0B4BC,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76121,112650,Co-assured,191335,105A477C-1F54-4D56-B254-A7DD5A7F0219,Party For1044620,null,null,null,null,Party For1044620,Party For1044620,null,null,null,113065,Party For1044620 AddName,Party For1044620 L1,Party For1044620 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76120,112650,Co-assured,191334,105A477C-1F54-4D56-B254-A7DD5A7F0219,Party For1044620,null,null,null,null,Party For1044620,Party For1044620,null,null,null,113065,Party For1044620 AddName,Party For1044620 L1,Party For1044620 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76119,112648,InterestedParty,191333,E429E2B9-CAA8-436A-819E-B497706D493A,Party For1044619,null,null,null,null,Party For1044619,Party For1044619,null,null,null,113063,Party For1044619 AddName,Party For1044619 L1,Party For1044619 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76118,112648,InterestedParty,191332,E429E2B9-CAA8-436A-819E-B497706D493A,Party For1044619,null,null,null,null,Party For1044619,Party For1044619,null,null,null,113063,Party For1044619 AddName,Party For1044619 L1,Party For1044619 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76113,112647,Mortgagee,191331,D7723C55-E499-42FA-A61F-E43C59D32E01,OtherParty For1044616,null,null,null,null,OtherParty For1044616,OtherParty For1044616,null,null,null,113062,OtherParty For1044616 AddName,OtherParty For1044616 L1,OtherParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76113,112646,Joint Assured,191330,2825DF29-B3CE-4F52-ABB7-0D83B09C6D0A,JointParty For1044616,null,null,null,null,JointParty For1044616,JointParty For1044616,o@no.com,+445588669,+44557711225,113061,JointParty For1044616 Add Name,JointParty For1044616 L1,JointParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76112,112647,Mortgagee,191329,D7723C55-E499-42FA-A61F-E43C59D32E01,OtherParty For1044616,null,null,null,null,OtherParty For1044616,OtherParty For1044616,null,null,null,113062,OtherParty For1044616 AddName,OtherParty For1044616 L1,OtherParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76112,112646,Joint Assured,191328,2825DF29-B3CE-4F52-ABB7-0D83B09C6D0A,JointParty For1044616,null,null,null,null,JointParty For1044616,JointParty For1044616,o@no.com,+445588669,+44557711225,113061,JointParty For1044616 Add Name,JointParty For1044616 L1,JointParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76109,112643,Crew Manager,191327,61D57DF6-B7BC-4910-A8AF-52DFCB79EBC5,Party For1044614,null,null,null,null,Party For1044614,Party For1044614,null,null,null,113058,Party For1044614 addName,Party For1044614 L1,Party For1044614 L2,null,Bham,null,UNITED KINGDOM,B37 7HG
76108,112643,Crew Manager,191326,61D57DF6-B7BC-4910-A8AF-52DFCB79EBC5,Party For1044614,null,null,null,null,Party For1044614,Party For1044614,null,null,null,113058,Party For1044614 addName,Party For1044614 L1,Party For1044614 L2,null,Bham,null,UNITED KINGDOM,B37 7HG
76107,112641,Joint Assured,191325,78D5863D-612F-48A1-AF6B-137B9FFB4B54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76106,112641,Joint Assured,191324,78D5863D-612F-48A1-AF6B-137B9FFB4B54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76105,112639,InterestedParty,191323,AAF9CD1C-BB94-44D4-BB19-DBEE6D832328,Party For1044612,null,null,null,null,Party For1044612,Party For1044612,null,null,null,113054,Party For1044612 AddName,Party For1044612 L1,Party For1044612 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76104,112639,InterestedParty,191322,AAF9CD1C-BB94-44D4-BB19-DBEE6D832328,Party For1044612,null,null,null,null,Party For1044612,Party For1044612,null,null,null,113054,Party For1044612 AddName,Party For1044612 L1,Party For1044612 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76103,112638,Joint Assured,191321,D8007716-C858-43B4-A79A-8C19E49FC926,Party For1044611,null,null,null,null,Party For1044611,Party For1044611,null,null,null,113053,Party For1044611 AddName,Party For1044611 L1,Party For1044611 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76101,112637,Crew Manager,191320,5B7B7A09-695F-47E6-8D3A-09FD04CD2BDE,Party Case4,null,null,null,null,Party Case4,Party Case4,null,null,null,113052,Party Case4 AddName,Party Case4 L1,Party Case4 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76098,112636,Joint Assured,191319,AEBE0218-CE6A-4CE0-8D0F-F91D1E3163CD,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
76098,112635,Mortgagee,191318,9E20BB91-F60B-4435-9785-C1764A604F25,FUTURE 1044606,null,null,null,null,FUTURE 1044606,FUTURE 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76095,112633,Non-Affiliated contractor/charterer Co-Assured,191317,F447BBE1-247C-40AF-BC41-F325868F3D2C,house,null,null,null,null,house,house,null,null,null,113048,null,null,null,null,null,null,null,null
76094,112631,Crew Manager,191316,BA15F2C7-D485-4B9B-A387-BF6FE4835A1B,bob,null,null,null,null,bob,bob,null,null,null,113046,null,null,null,null,null,null,null,null
76093,112631,Crew Manager,191315,BA15F2C7-D485-4B9B-A387-BF6FE4835A1B,bob,null,null,null,null,bob,bob,null,null,null,113046,null,null,null,null,null,null,null,null
76091,112628,Mortgagee,191314,A6A60DD8-8C74-4E9E-94F9-C3BCDD3AB141,Case1 Party,null,null,null,null,Case1 Party,Case1 Party,null,null,null,113043,Case1 Party Add name,Case1 Party L1,Case1 Party L2,Case1 Party L3,null,Birmingham,UNITED KINGDOM,B37 7HG
76090,112628,Mortgagee,191313,A6A60DD8-8C74-4E9E-94F9-C3BCDD3AB141,Case1 Party,null,null,null,null,Case1 Party,Case1 Party,null,null,null,113043,Case1 Party Add name,Case1 Party L1,Case1 Party L2,Case1 Party L3,null,Birmingham,UNITED KINGDOM,B37 7HG
76089,112628,Mortgagee,191312,A6A60DD8-8C74-4E9E-94F9-C3BCDD3AB141,Case1 Party,null,null,null,null,Case1 Party,Case1 Party,null,null,null,113043,Case1 Party Add name,Case1 Party L1,Case1 Party L2,Case1 Party L3,null,Birmingham,UNITED KINGDOM,B37 7HG
76088,112628,Mortgagee,191311,A6A60DD8-8C74-4E9E-94F9-C3BCDD3AB141,Case1 Party,null,null,null,null,Case1 Party,Case1 Party,null,null,null,113043,Case1 Party Add name,Case1 Party L1,Case1 Party L2,Case1 Party L3,null,Birmingham,UNITED KINGDOM,B37 7HG
76085,112627,Joint Assured,191310,2F0B1E49-CFD9-4F52-B16E-3C91DBA28ABA,Party3 Variety,null,null,null,null,Party3 Variety,Party3 Variety,null,null,null,113042,Party3 Variety Add Name,Party3 Variety L1,Party3 Variety L2,null,Bham,null,UNITED KINGDOM,B37 7 HG
76084,112627,Joint Assured,191309,2F0B1E49-CFD9-4F52-B16E-3C91DBA28ABA,Party3 Variety,null,null,null,null,Party3 Variety,Party3 Variety,null,null,null,113042,Party3 Variety Add Name,Party3 Variety L1,Party3 Variety L2,null,Bham,null,UNITED KINGDOM,B37 7 HG
76083,112625,Mortgagee,191308,15D9259E-8F5A-408E-83FC-B2FC6C4CEDFD,PartyDos,null,null,null,null,PartyDos,PartyDos,null,null,null,113040,PartyDos AddName,PartyDos L1,PartyDos L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,B37 7 HG
76082,112625,Mortgagee,191307,15D9259E-8F5A-408E-83FC-B2FC6C4CEDFD,PartyDos,null,null,null,null,PartyDos,PartyDos,null,null,null,113040,PartyDos AddName,PartyDos L1,PartyDos L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,B37 7 HG
76081,112624,Joint Assured,191306,4941AF35-C3A6-4A8E-ADE0-72C692E73A8C,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
76079,112624,Joint Assured,191304,4941AF35-C3A6-4A8E-ADE0-72C692E73A8C,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
76078,112624,Joint Assured,191303,4941AF35-C3A6-4A8E-ADE0-72C692E73A8C,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
76077,112624,Joint Assured,191302,4941AF35-C3A6-4A8E-ADE0-72C692E73A8C,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
76057,112621,Joint Assured,191301,BEBF6865-D902-4BE3-824D-8C89B0AF35A6,JAParty ForTC,null,null,null,null,JAParty ForTC,JAParty ForTC,null,null,null,113036,JAParty ForTC Add Name,JAParty ForTC L1,JAParty ForTC L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76056,112621,Joint Assured,191300,BEBF6865-D902-4BE3-824D-8C89B0AF35A6,JAParty ForTC,null,null,null,null,JAParty ForTC,JAParty ForTC,null,null,null,113036,JAParty ForTC Add Name,JAParty ForTC L1,JAParty ForTC L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76055,112619,Joint Assured,191299,D7AA2EB0-958C-4380-B598-4DC538575756,JOINT P1,null,null,null,null,JOINT P1,JOINT P1,null,null,null,113034,JOINT P1 Add Name,JOINT P1 L1,JOINT P1 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76052,64136,Joint Assured,191298,DCE3D3D3-BB84-E611-8C3F-005056B03908,Zandexploitatiemaatschappij Reimerswaal B.V (as juridical owner),null,null,null,Zandexploitatiemaatschappij Reimerswaal B.V (as juridical owner),Zandexploitatiemaatschappij Reimerswaal B.V (as juridical owner),Zandexploitatiemaatschappij Reimerswaal B.V (as juridical owner),null,null,null,19647,Nieuwe Diep 1,null,null,null,4465 AA GOES,null,NETHERLANDS,null
76052,17675,Crew Manager,191297,A05EF58B-5C27-4318-A1FA-AFE53674098C,Seacontractors Bv,null,,null,Seacontractors,Seacontractors Bv,Seacontractors Bv,null,null,null,27305,null,null,null,null,,null,null,null
76052,17675,Crew Manager,191297,A05EF58B-5C27-4318-A1FA-AFE53674098C,Seacontractors Bv,null,,null,Seacontractors,Seacontractors Bv,Seacontractors Bv,null,null,null,102278,null,null,null,null,null,null,null,null
76052,64524,Joint Assured,191296,F217FCAD-96D7-45DA-A241-6128DE006C1E,Reimerswaal Dredging V.O.F. (as economic owner),null,null,null,Reimerswaal Dredging V.O.F. (as economic owner),Reimerswaal Dredging V.O.F. (as economic owner),Reimerswaal Dredging V.O.F. (as economic owner),null,null,null,48626,null,null,null,null,null,null,null,null
76052,74843,Mortgagee,191295,CEAC6EE4-134D-E411-AF7D-001F29E68CCE,Abn Amro Bank N.V,null,null,null,Abn Amro Bank N.V,Abn Amro Bank N.V,Abn Amro Bank N.V,null,null,null,16039,Daalsesingel 71,3511 ,null,null,SW Utrecht,null,NETHERLANDS,null
76049,112615,Joint Assured,191293,F1A6E552-FF3A-41A3-9B98-465030B91C09,MTAParty,null,null,null,null,MTAParty,MTAParty,day0@party.com,900000001,8000000001,113030,Day0AddressName,Day0Line1,Day0Line2,Day0Line3,Day0City,Day0State,INDIA,100000
76048,112615,Joint Assured,191292,F1A6E552-FF3A-41A3-9B98-465030B91C09,MTAParty,null,null,null,null,MTAParty,MTAParty,day0@party.com,900000001,8000000001,113030,Day0AddressName,Day0Line1,Day0Line2,Day0Line3,Day0City,Day0State,INDIA,100000
76046,112589,Crew Manager,191291,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
76045,112589,Crew Manager,191290,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
76035,112600,Joint Assured,191289,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76034,112600,Joint Assured,191288,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76031,112600,Mortgagee,191287,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76030,112600,Mortgagee,191286,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76029,112610,Joint Assured,191285,E841A120-C261-49B3-BF43-E128CA8601D9,null,Mrs.,Updated,null,P5 JA_Party3,Updated P5 JA_Party3,Updated P5 JA_Party3,null,null,null,113025,P5 JA_Party3 AddName,P5 JA_Party3 L1,P5 JA_Party3 L2,null,Scunthorpe,null,UNITED KINGDOM,SC1 1SC
76029,112609,Joint Assured,191284,295CEC75-7524-4EDD-8D9E-5177392F21FE,null,Captain,P4,null,JA_Party2,P4 JA_Party2,P4 JA_Party2,null,null,null,113024,JA_Party2 AddName,JA_Party2 L1,JA_Party2 L2,null,Barnsley,South Yorkshire,UNITED KINGDOM,S20 1sh
76029,112611,Joint Assured,191283,83D4E659-DC40-472A-B12E-229D42C01A72,null,Dr.,P6,null,JA_Party4,P6 JA_Party4,P6 JA_Party4,null,null,null,113026,JA_Party4 AddName,JA_Party4 L1,JA_Party4 L2,null,Doncaster,null,UNITED KINGDOM,DN1 1ND
