SQL_ApplicationRiskId,SQL_RiskVesselId,SQL_RiskReference,SQL_MemberId,SQL_Reference,SQL_OrganisationName,SQL_ApplicationID,SQL_ApplicationReference,SQL_Discriminator,SQL_EmailAddress,SQL_ImoNumber,SQL_VesselName,SQL_VesselType,SQL_CallSign,SQL_GrossTonnage,SQL_YearBuilt,SQL_FlagCountryCode,SQL_FlagCountryName,SQL_PortOfRegistryCode,SQL_PortOfRegistryName,SQL_RiskCategoryName,SQL_EngineHorsePower,SQL_TrademarkEngineModelNumber
150785,130169,682627,44895,73319,RevisedMember Name1044630,76141,1044630,Policy,Janie.Welsh@shipownersclub.com,5475676,Risk 2 Name1044630,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150778,130166,682624,44894,73318,Updated Member Name,76137,1044628,Policy,Janie.Welsh@shipownersclub.com,3454355,Risk 1 For1044628,YACHT CHARTER 13+ PAX,ttt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150779,130167,682625,44894,73318,Updated Member Name,76137,1044628,Policy,Janie.Welsh@shipownersclub.com,2354089,Risk 2 For1044628,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150761,130165,682623,44893,73317,MemberFor RenewalOne,76127,1044623,Policy,Janie.Welsh@shipownersclub.com,2342933,Risk 1 For1044623,YACHT CHARTER 13+ PAX,sss,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150759,130164,682622,44893,73317,MemberFor RenewalOne,76125,1044622,Policy,Janie.Welsh@shipownersclub.com,2342323,Risk 1 For1044622,YACHT CHARTER 13+ PAX,rrr,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150756,130162,682620,44893,73317,MemberFor RenewalOne,76123,1044621,Policy,Janie.Welsh@shipownersclub.com,3458727,Risk 1 For1044621,YACHT CHARTER 13+ PAX,ppp,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150757,130163,682621,44893,73317,MemberFor RenewalOne,76123,1044621,Policy,Janie.Welsh@shipownersclub.com,3458923,Risk 2 For1044621,YACHT CHARTER 13+ PAX,qqq,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150752,130160,682618,44893,73317,MemberFor RenewalOne,76121,1044620,Policy,Janie.Welsh@shipownersclub.com,2349010,Risk 1 For1044620,YACHT CHARTER 13+ PAX,nnn,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150753,130161,682619,44893,73317,MemberFor RenewalOne,76121,1044620,Policy,Janie.Welsh@shipownersclub.com,2432415,Risk 2 For1044620,YACHT CHARTER 13+ PAX,ooo,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150748,130158,682616,44892,73316,Member For1044616 ,76119,1044619,Policy,Janie.Welsh@shipownersclub.com,2358906,Risk 1 For1044619,YACHT CHARTER 13+ PAX,lll,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150749,130159,682617,44892,73316,Member For1044616 ,76119,1044619,Policy,Janie.Welsh@shipownersclub.com,2365349,Risk 2 For1044619,YACHT CHARTER 13+ PAX,mmm,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150745,130157,682615,44892,73316,Member For1044616 ,76117,1044618,Policy,Janie.Welsh@shipownersclub.com,8340298,Risk 1 For1044618,YACHT CHARTER 13+ PAX,kkk,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150743,130156,682614,44892,73316,Member For1044616 ,76115,1044617,Policy,Janie.Welsh@shipownersclub.com,8297518,Updated Happy Risk,YACHT CHARTER 13+ PAX,jjj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150740,130154,682612,44892,73316,Member For1044616 ,76113,1044616,Policy,Janie.Welsh@shipownersclub.com,9784386,Risk 1 For1044616 ,YACHT CHARTER 13+ PAX,hhh,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150741,130155,682613,44892,73316,Member For1044616 ,76113,1044616,Policy,Janie.Welsh@shipownersclub.com,5373921,Risk2 For1044616 ,YACHT CHARTER 13+ PAX,iii,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150737,130153,682611,44891,73315,Member For1044615,76111,1044615,Policy,Janie.Welsh@shipownersclub.com,4643537,Risk 1 1044615,YACHT CHARTER 13+ PAX,ggg,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150735,130152,682610,44890,73314,Member For1044614,76109,1044614,Policy,Janie.Welsh@shipownersclub.com,6245212,Risk 1 1044614,YACHT CHARTER 13+ PAX,fff,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150732,130150,682608,44889,73313,Member For1044613,76107,1044613,Policy,Janie.Welsh@shipownersclub.com,3465457,Moribund the Burgermeister,YACHT CHARTER 13+ PAX,ddd,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150733,130151,682609,44889,73313,Member For1044613,76107,1044613,Policy,Janie.Welsh@shipownersclub.com,7835636,Major Tom,YACHT CHARTER 13+ PAX,eee,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150796,130139,682597,44888,73312,Member For155071,76150,1044606,Policy,Janie.Welsh@shipownersclub.com,null,Risk 1 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150797,130140,682598,44888,73312,Member For155071,76150,1044606,Policy,Janie.Welsh@shipownersclub.com,null,Risk 2 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150728,130148,682606,44888,73312,Member For155071,76105,1044612,Policy,Janie.Welsh@shipownersclub.com,5239814,Risk 1 For1044612,YACHT CHARTER MAX 12 PAX,bbb,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150729,130149,682607,44888,73312,Member For155071,76105,1044612,Policy,Janie.Welsh@shipownersclub.com,6546343,Risk 2 For1044612,YACHT CHARTER 13+ PAX,ccc,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150713,130135,682593,44886,73310,Paul Productions,76094,1044602,Policy,Janie.Welsh@shipownersclub.com,null,Ark,TANK,null,1,2000,VGB,BRITISH VIRGIN ISLANDS,ABE,ABERDEEN,BARGES,null,null
150706,130133,682591,44884,73308,FirstUpdate Member,76089,1044599,Policy,Janie.Welsh@shipownersclub.com,2345789,Case1 Risk1,YACHT CHARTER 13+ PAX,C1r1,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150707,130134,682592,44884,73308,FirstUpdate Member,76089,1044599,Policy,Janie.Welsh@shipownersclub.com,7655464,Case1 Risk2,YACHT CHARTER 13+ PAX,c1r2,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150703,130132,682590,44884,73308,FirstUpdate Member,76087,1044598,Policy,Janie.Welsh@shipownersclub.com,3454238,SecondPol Risk,YACHT CHARTER 13+ PAX,2pr,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150700,130130,682588,44884,73308,FirstUpdate Member,76085,1044597,Policy,Janie.Welsh@shipownersclub.com,4363498,Risk1 ForMember,YACHT CHARTER 13+ PAX,ep1,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150701,130131,682589,44884,73308,FirstUpdate Member,76085,1044597,Policy,Janie.Welsh@shipownersclub.com,8793598,Risk2 ForMember,YACHT CHARTER 13+ PAX,po2,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150697,130129,682587,44883,73307,NewMember For155070,76083,1044596,Policy,Janie.Welsh@shipownersclub.com,3536323,SecondRisk,YACHT CHARTER 13+ PAX,er234,3333,2012,USA,UNITED STATES OF AMERICA,MIA,MIAMI,YACHTS,null,null
150692,130128,682586,44883,73307,NewMember For155070,76078,1044594,Policy,Janie.Welsh@shipownersclub.com,5432648,FirstRisk,YACHT CHARTER 13+ PAX,AAIIAIO,3333,2012,USA,UNITED STATES OF AMERICA,MIA,MIAMI,YACHTS,null,null
150689,130126,682584,44882,73306,NewMember ForAPI,76076,1044593,Policy,Janie.Welsh@shipownersclub.com,2354534,B152672 R2r2,YACHT CHARTER 13+ PAX,oi,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150690,130127,682585,44882,73306,NewMember ForAPI,76076,1044593,Policy,Janie.Welsh@shipownersclub.com,5646445,B152672 R2r3,YACHT CHARTER 13+ PAX,hf,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150686,130125,682583,44882,73306,NewMember ForAPI,76074,1044592,Policy,Janie.Welsh@shipownersclub.com,6544682,B152672 R2R,YACHT CHARTER 13+ PAX,34643,2500,2012,GBR,UNITED KINGDOM,TRE,TRIESTE,YACHTS,null,null
150684,130124,682582,44882,73306,NewMember ForAPI,76072,1044591,Policy,Janie.Welsh@shipownersclub.com,null,Risk2,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150678,130120,682578,44881,73305,New MemberFINAL,76067,1044587,Policy,Janie.Welsh@shipownersclub.com,null,RiskBound,YACHT CHARTER MAX 12 PAX,DDDD,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150676,130119,682577,44881,73305,New MemberFINAL,76065,1044586,Policy,Janie.Welsh@shipownersclub.com,1029388,OnlyRisk,YACHT CHARTER 13+ PAX,ABCD3,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150671,130117,682575,44881,73305,New MemberFINAL,76062,1044584,Policy,Janie.Welsh@shipownersclub.com,null,Bug152891 Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150672,130118,682576,44881,73305,New MemberFINAL,76062,1044584,Policy,Janie.Welsh@shipownersclub.com,null,Bug152891 Risk 2,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150668,130116,682574,44881,73305,New MemberFINAL,76060,1044583,Policy,Janie.Welsh@shipownersclub.com,null,arisk,YACHT CHARTER MAX 12 PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150664,130113,682571,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R1,YACHT CHARTER 13+ PAX,null,3333,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150665,130114,682572,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R2,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150666,130115,682573,44881,73305,New MemberFINAL,76057,1044581,Policy,Janie.Welsh@shipownersclub.com,null,R2B152672 R3,YACHT CHARTER 13+ PAX,null,2500,2012,GBR,UNITED KINGDOM,FEL,FELIXSTOWE,YACHTS,null,null
150654,130107,682565,44879,73303,Day0_MemberByRef,76051,1044576,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150652,130106,682564,44878,73302,Day3_Member,76049,1044575,Policy,Janie.Welsh@shipownersclub.com,null,MTAVessel,DREDGING (FISHING),1000,200,2020,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150640,130101,682559,44876,73300,Day3APIMember,76031,1044562,Policy,Janie.Welsh@shipownersclub.com,null,MyAPIRisk1,FISH FARM VESSELS,123123123,100,2020,UMI,AMERICAN PACIFIC TERRITORIES,ALD,AALESUND,FISHING VESSELS,null,null
150636,130098,682556,44875,73299,Member 07Sept1150,76029,1044561,Policy,Janie.Welsh@shipownersclub.com,null,JATests Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150637,130099,682557,44875,73299,Member 07Sept1150,76029,1044561,Policy,Janie.Welsh@shipownersclub.com,1284641,JATests Risk 2,YACHT CHARTER MAX 12 PAX,Ayup,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150638,130100,682558,44875,73299,Member 07Sept1150,76029,1044561,Policy,Janie.Welsh@shipownersclub.com,null,JATests Risk 3,YACHT CHARTER 13+ PAX,null,2500,2012,GBR,UNITED KINGDOM,SOU,SOUTHAMPTON,YACHTS,4500,TMHere1
150632,130097,682555,44874,73298,Day3TestMember,76027,1044560,Policy,Janie.Welsh@shipownersclub.com,null,RiskTest1,INSHORE FISHING,12313,123,2002,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150625,130092,682550,44871,73295,MyMember,76017,1044552,Policy,Janie.Welsh@shipownersclub.com,null,Day3MTAVessel,FISH FARM VESSELS,1233212,555,2019,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150618,130088,682546,44871,73295,MyMember,76007,1044545,Policy,Janie.Welsh@shipownersclub.com,null,MyVessel,FISH FARM VESSELS,1233212,555,2019,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150615,130086,682544,44870,73294,NewMem 27Aug1415,76005,1044539,Policy,Janie.Welsh@shipownersclub.com,null,QuoteRisk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150616,130087,682545,44870,73294,NewMem 27Aug1415,76005,1044539,Policy,Janie.Welsh@shipownersclub.com,null,QuoteRisk 2,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150600,130078,682536,44869,73293,MemCreated 26Aug1421,75993,1044536,Policy,Janie.Welsh@shipownersclub.com,1243269,Mem26Aug1421 Risk1,YACHT CHARTER 13+ PAX,Get Here Now,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150601,130079,682537,44869,73293,MemCreated 26Aug1421,75993,1044536,Policy,Janie.Welsh@shipownersclub.com,null,Mem26Aug1421 Risk2,YACHT CHARTER MAX 12 PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150602,130080,682538,44869,73293,MemCreated 26Aug1421,75993,1044536,Policy,Janie.Welsh@shipownersclub.com,null,Mem26Aug1421 Risk3,YACHT CHARTER 13+ PAX,null,2500,2012,GBR,UNITED KINGDOM,FEL,FELIXSTOWE,YACHTS,null,null
150596,130077,682535,44868,73292,mem 26 Aug 1259,75991,1044535,Policy,Janie.Welsh@shipownersclub.com,null,26 Aug smoke2 risk,PASSENGER CRUISE VESSEL,null,2500,2012,ITA,ITALY,TRE,TRIESTE,PASSENGER VESSELS,null,null
150642,130102,682560,44866,73290,Suraj Member,76035,1044565,Policy,Janie.Welsh@shipownersclub.com,null,Day3MTACheck,DREDGING (FISHING),11092020,203,2020,DEU,GERMANY,FRAN,FRANKFURT,FISHING VESSELS,null,null
150629,130095,682553,44866,73290,Suraj Member,76024,1044558,Policy,Janie.Welsh@shipownersclub.com,null,Day3Vessel,FISH FARM VESSELS,1233212,555,2019,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150623,130091,682549,44866,73290,Suraj Member,76015,1044551,Policy,Janie.Welsh@shipownersclub.com,null,MyVessel,FISH FARM VESSELS,1233212,555,2019,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150620,130089,682547,44866,73290,Suraj Member,76009,1044546,Policy,Janie.Welsh@shipownersclub.com,null,MyVessel,FISH FARM VESSELS,1233212,555,2019,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150612,130085,682543,44866,73290,Suraj Member,76002,1044542,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150610,130084,682542,44866,73290,Suraj Member,75999,1044540,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150606,130083,682541,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,null,Risky Business,LONG LINES,null,43,1974,USA,UNITED STATES OF AMERICA,ALD,AALESUND,FISHING VESSELS,null,null
150607,130082,682540,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,null,TestRisk1,INSHORE FISHING,12313,1234,2002,IND,INDIA,GOA,GOA,FISHING VESSELS,null,null
150608,130081,682539,44866,73290,Suraj Member,75996,1044538,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150650,130105,682563,44865,73289,Day3_MemberForRiskName,76046,1044573,Policy,Janie.Welsh@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
150587,130067,682525,44858,73282,Member 17Aug2240,75981,1044524,Policy,Janie.Welsh@shipownersclub.com,null,Risky Business Iii,LONG LINES,1234,360,1986,CAN,CANADA,AJM,AJMAN,FISHING VESSELS,null,null
150582,130066,682524,44858,73282,Member 17Aug2240,75976,1044523,Policy,Janie.Welsh@shipownersclub.com,null,SmokeCheck1,INSHORE FISHING,123123,5000,2000,ASM,AMERICAN SAMOA,MON,MONACO,FISHING VESSELS,null,null
150571,130060,682518,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 3,YACHT CHARTER 13+ PAX,null,2500,2012,GBR,UNITED KINGDOM,FEL,FELIXSTOWE,YACHTS,null,null
150572,130058,682516,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 1,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150573,130059,682517,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 2,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,LIR,LIMERICK,YACHTS,null,null
150574,130061,682519,44858,73282,Member 17Aug2240,75962,1044510,Policy,Janie.Welsh@shipownersclub.com,null,Aug17Member2240 Risk 4,YACHT CHARTER 13+ PAX,null,2500,2012,GRC,GREECE,PIR,PIRAEUS,YACHTS,null,null
150558,130049,682507,44853,73277,anothe3r Newmebr,75956,1044505,Policy,Janie.Welsh@shipownersclub.com,null,smerkrisk,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150552,130044,682502,44849,73273,NEW Member 11Aug@9938,75950,1044500,Policy,Janie.Welsh@shipownersclub.com,null,Risk1 Member@0938,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150553,130045,682503,44849,73273,NEW Member 11Aug@9938,75950,1044500,Policy,Janie.Welsh@shipownersclub.com,null,Risk 2 Member@0938,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150554,130046,682504,44849,73273,NEW Member 11Aug@9938,75950,1044500,Policy,Janie.Welsh@shipownersclub.com,null,Risk3 Member@0938,YACHT CHARTER 13+ PAX,null,2500,2012,GBR,UNITED KINGDOM,FEL,FELIXSTOWE,YACHTS,null,null
149293,129994,682452,44847,73271,bbbbllllaaah,75568,1044268,Policy,Janie.Welsh@shipownersclub.com,null,RRRRIIISSSKKKKYYYY,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
149286,129990,682448,44846,73270,AMP Test Cold Prospect Party,75561,1044263,Policy,Janie.Welsh@shipownersclub.com,null,Risky Business Iii,LONG LINES,null,36,1986,CAN,CANADA,AJM,AJMAN,FISHING VESSELS,null,null
149283,129989,682447,44846,73270,AMP Test Cold Prospect Party,75558,1044261,Policy,Janie.Welsh@shipownersclub.com,null,New risk check 1,PASSENGER PONTOON,1234567,450,2010,AUS,AUSTRALIA,AMB,AMBARLI,PASSENGER VESSELS,null,null
149280,129987,682445,44845,73269,M1044260,75556,1044260,Policy,Janie.Welsh@shipownersclub.com,null,R1_1044260,YACHT COMPANY OWNED NO CHARTER,null,2000,2000,ALD,ALAND ISLANDS,AAB,AABENRAA,YACHTS,null,null
149281,129988,682446,44845,73269,M1044260,75556,1044260,Policy,Janie.Welsh@shipownersclub.com,null,R2_1044260,YACHT CHARTER 13+ PAX,null,2000,2000,ALB,ALBANIA,A G,A GUARDA,YACHTS,null,null
149274,129985,682443,44844,73268,M1044258,75553,1044258,Policy,Janie.Welsh@shipownersclub.com,null,R1044258_1,YACHT CHARTER 13+ PAX,null,2000,2000,ALB,ALBANIA,AAB,AABENRAA,YACHTS,null,null
149275,129986,682444,44844,73268,M1044258,75553,1044258,Policy,Janie.Welsh@shipownersclub.com,null,R1044258_2,YACHT CHARTER 13+ PAX,null,2000,2000,DZA,ALGERIA,AAR,AARHUS,YACHTS,null,null
149267,129982,682440,44842,73266,M1044255,75549,1044255,Policy,Janie.Welsh@shipownersclub.com,null,R1_1044255,YACHT CHARTER 13+ PAX,null,2000,2000,DZA,ALGERIA,AAL,AALBORG,YACHTS,null,null
149268,129983,682441,44842,73266,M1044255,75549,1044255,Policy,Janie.Welsh@shipownersclub.com,null,R2_1044255,YACHT CHARTER 13+ PAX,null,2000,2000,DZA,ALGERIA,AAL,AALBORG,YACHTS,null,null
149261,129980,682438,44841,73265,M1044253,75546,1044253,Policy,Janie.Welsh@shipownersclub.com,null,R1_1044253,YACHT CHARTER 13+ PAX,null,2000,2000,DZA,ALGERIA,ALD,AALESUND,YACHTS,null,null
149262,129981,682439,44841,73265,M1044253,75546,1044253,Policy,Janie.Welsh@shipownersclub.com,null,R2_1044253,YACHT CHARTER 13+ PAX,null,2000,2000,ALB,ALBANIA,ALD,AALESUND,YACHTS,null,null
150586,130069,682527,44836,73260,OCEAN V LTD,75980,1044526,Policy,Alice.Wakeley@shipownersclub.com,8765345,SurajRisk,DREDGING (FISHING),123,120,2000,IND,INDIA,GOI,GOA (INDIA),FISHING VESSELS,null,null
