API_ApplicationId,API_Party_Id,API_PartyRoleTypeName,API_AccociatedPartyId,API_CrmIdentifier,API_OrganisationName,API_Salutation,API_FirstName,API_MiddleName,API_LastName,API_Name,API_SearchName,API_EmailAddress,API_Telephone,API_Fax,API_Address_Id,API_AddressName,API_Line1,API_Line2,API_Line3,API_City,API_StateOrProvince,API_Country,API_Postcode
76146,112657,InterestedParty,191370,a4d83381-6683-485e-898b-7858c43f7ff8,Mortgagee For1044633,null,null,null,null,Mortgagee For1044633,Mortgagee For1044633,null,null,null,113072,Party For1044633  Add Name,Party For1044633 l1,Party For1044633 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76146,112658,Joint Assured,191351,ce755349-aa88-412b-86ac-864a5b469995,Joint For1044633 ,null,null,null,null,Joint For1044633 ,Joint For1044633 ,null,null,null,113073,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L2,null,bham,null,UNITED KINGDOM,b37 7hg
76145,112635,Joint Assured,191349,9e20bb91-f60b-4435-9785-c1764a604f25,FUTURE 1044606,null,null,null,null,FUTURE 1044606,FUTURE 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76144,112635,Joint Assured,191348,9e20bb91-f60b-4435-9785-c1764a604f25,Party 1 1044606,null,null,null,null,Party 1 1044606,Party 1 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76143,112641,Joint Assured,191347,78d5863d-612f-48a1-af6b-137b9ffb4b54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76142,112641,Joint Assured,191346,78d5863d-612f-48a1-af6b-137b9ffb4b54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76137,112653,Crew Manager,191345,55d00082-bed3-407e-b236-7578339532a8,Party For1044628,null,null,null,null,Party For1044628,Party For1044628,null,null,null,113068,Party For1044628 AddName,Party For1044628 L1,Party For1044628 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76136,112653,Crew Manager,191344,55d00082-bed3-407e-b236-7578339532a8,Party For1044628,null,null,null,null,Party For1044628,Party For1044628,null,null,null,113068,Party For1044628 AddName,Party For1044628 L1,Party For1044628 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76135,112650,Co-assured,191343,105a477c-1f54-4d56-b254-a7dd5a7f0219,Party For1044620,null,null,null,null,Party For1044620,Party For1044620,null,null,null,113065,Party For1044620 AddName,Party For1044620 L1,Party For1044620 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76134,112651,Joint Assured,191342,8ae20aec-bed3-4411-a08f-12ecf2a0b4bc,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76131,112650,Co-assured,191339,105a477c-1f54-4d56-b254-a7dd5a7f0219,Party For1044620,null,null,null,null,Party For1044620,Party For1044620,null,null,null,113065,Party For1044620 AddName,Party For1044620 L1,Party For1044620 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76130,112651,Joint Assured,191338,8ae20aec-bed3-4411-a08f-12ecf2a0b4bc,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76123,112651,Joint Assured,191337,8ae20aec-bed3-4411-a08f-12ecf2a0b4bc,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76122,112651,Joint Assured,191336,8ae20aec-bed3-4411-a08f-12ecf2a0b4bc,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76121,112650,Co-assured,191335,105a477c-1f54-4d56-b254-a7dd5a7f0219,Party For1044620,null,null,null,null,Party For1044620,Party For1044620,null,null,null,113065,Party For1044620 AddName,Party For1044620 L1,Party For1044620 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76120,112650,Co-assured,191334,105a477c-1f54-4d56-b254-a7dd5a7f0219,Party For1044620,null,null,null,null,Party For1044620,Party For1044620,null,null,null,113065,Party For1044620 AddName,Party For1044620 L1,Party For1044620 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76119,112648,InterestedParty,191333,e429e2b9-caa8-436a-819e-b497706d493a,Party For1044619,null,null,null,null,Party For1044619,Party For1044619,null,null,null,113063,Party For1044619 AddName,Party For1044619 L1,Party For1044619 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76118,112648,InterestedParty,191332,e429e2b9-caa8-436a-819e-b497706d493a,Party For1044619,null,null,null,null,Party For1044619,Party For1044619,null,null,null,113063,Party For1044619 AddName,Party For1044619 L1,Party For1044619 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76113,112647,Mortgagee,191331,d7723c55-e499-42fa-a61f-e43c59d32e01,OtherParty For1044616,null,null,null,null,OtherParty For1044616,OtherParty For1044616,null,null,null,113062,OtherParty For1044616 AddName,OtherParty For1044616 L1,OtherParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76113,112646,Joint Assured,191330,2825df29-b3ce-4f52-abb7-0d83b09c6d0a,JointParty For1044616,null,null,null,null,JointParty For1044616,JointParty For1044616,o@no.com,+445588669,+44557711225,113061,JointParty For1044616 Add Name,JointParty For1044616 L1,JointParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76112,112647,Mortgagee,191329,d7723c55-e499-42fa-a61f-e43c59d32e01,OtherParty For1044616,null,null,null,null,OtherParty For1044616,OtherParty For1044616,null,null,null,113062,OtherParty For1044616 AddName,OtherParty For1044616 L1,OtherParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76112,112646,Joint Assured,191328,2825df29-b3ce-4f52-abb7-0d83b09c6d0a,JointParty For1044616,null,null,null,null,JointParty For1044616,JointParty For1044616,o@no.com,+445588669,+44557711225,113061,JointParty For1044616 Add Name,JointParty For1044616 L1,JointParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76109,112643,Crew Manager,191327,61d57df6-b7bc-4910-a8af-52dfcb79ebc5,Party For1044614,null,null,null,null,Party For1044614,Party For1044614,null,null,null,113058,Party For1044614 addName,Party For1044614 L1,Party For1044614 L2,null,Bham,null,UNITED KINGDOM,B37 7HG
76108,112643,Crew Manager,191326,61d57df6-b7bc-4910-a8af-52dfcb79ebc5,Party For1044614,null,null,null,null,Party For1044614,Party For1044614,null,null,null,113058,Party For1044614 addName,Party For1044614 L1,Party For1044614 L2,null,Bham,null,UNITED KINGDOM,B37 7HG
76107,112641,Joint Assured,191325,78d5863d-612f-48a1-af6b-137b9ffb4b54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76106,112641,Joint Assured,191324,78d5863d-612f-48a1-af6b-137b9ffb4b54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76105,112639,InterestedParty,191323,aaf9cd1c-bb94-44d4-bb19-dbee6d832328,Party For1044612,null,null,null,null,Party For1044612,Party For1044612,null,null,null,113054,Party For1044612 AddName,Party For1044612 L1,Party For1044612 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76104,112639,InterestedParty,191322,aaf9cd1c-bb94-44d4-bb19-dbee6d832328,Party For1044612,null,null,null,null,Party For1044612,Party For1044612,null,null,null,113054,Party For1044612 AddName,Party For1044612 L1,Party For1044612 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76103,112638,Joint Assured,191321,d8007716-c858-43b4-a79a-8c19e49fc926,Party For1044611,null,null,null,null,Party For1044611,Party For1044611,null,null,null,113053,Party For1044611 AddName,Party For1044611 L1,Party For1044611 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76101,112637,Crew Manager,191320,5b7b7a09-695f-47e6-8d3a-09fd04cd2bde,Party Case4,null,null,null,null,Party Case4,Party Case4,null,null,null,113052,Party Case4 AddName,Party Case4 L1,Party Case4 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76098,112636,Joint Assured,191319,aebe0218-ce6a-4ce0-8d0f-f91d1e3163cd,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
76098,112635,Mortgagee,191318,9e20bb91-f60b-4435-9785-c1764a604f25,Party 1 1044606,null,null,null,null,Party 1 1044606,Party 1 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76095,112633,Non-Affiliated contractor/charterer Co-Assured,191317,f447bbe1-247c-40af-bc41-f325868f3d2c,house,null,null,null,null,house,house,null,null,null,113048,null,null,null,null,null,null,null,null
76094,112631,Crew Manager,191316,ba15f2c7-d485-4b9b-a387-bf6fe4835a1b,bob,null,null,null,null,bob,bob,null,null,null,113046,null,null,null,null,null,null,null,null
76093,112631,Crew Manager,191315,ba15f2c7-d485-4b9b-a387-bf6fe4835a1b,bob,null,null,null,null,bob,bob,null,null,null,113046,null,null,null,null,null,null,null,null
76091,112628,Mortgagee,191314,a6a60dd8-8c74-4e9e-94f9-c3bcdd3ab141,Case1 Party,null,null,null,null,Case1 Party,Case1 Party,null,null,null,113043,Case1 Party Add name,Case1 Party L1,Case1 Party L2,Case1 Party L3,null,Birmingham,UNITED KINGDOM,B37 7HG
76090,112628,Mortgagee,191313,a6a60dd8-8c74-4e9e-94f9-c3bcdd3ab141,Case1 Party,null,null,null,null,Case1 Party,Case1 Party,null,null,null,113043,Case1 Party Add name,Case1 Party L1,Case1 Party L2,Case1 Party L3,null,Birmingham,UNITED KINGDOM,B37 7HG
76089,112628,Mortgagee,191312,a6a60dd8-8c74-4e9e-94f9-c3bcdd3ab141,Case1 Party,null,null,null,null,Case1 Party,Case1 Party,null,null,null,113043,Case1 Party Add name,Case1 Party L1,Case1 Party L2,Case1 Party L3,null,Birmingham,UNITED KINGDOM,B37 7HG
76088,112628,Mortgagee,191311,a6a60dd8-8c74-4e9e-94f9-c3bcdd3ab141,Case1 Party,null,null,null,null,Case1 Party,Case1 Party,null,null,null,113043,Case1 Party Add name,Case1 Party L1,Case1 Party L2,Case1 Party L3,null,Birmingham,UNITED KINGDOM,B37 7HG
76085,112627,Joint Assured,191310,2f0b1e49-cfd9-4f52-b16e-3c91dba28aba,Party3 Variety,null,null,null,null,Party3 Variety,Party3 Variety,null,null,null,113042,Party3 Variety Add Name,Party3 Variety L1,Party3 Variety L2,null,Bham,null,UNITED KINGDOM,B37 7 HG
76084,112627,Joint Assured,191309,2f0b1e49-cfd9-4f52-b16e-3c91dba28aba,Party3 Variety,null,null,null,null,Party3 Variety,Party3 Variety,null,null,null,113042,Party3 Variety Add Name,Party3 Variety L1,Party3 Variety L2,null,Bham,null,UNITED KINGDOM,B37 7 HG
76083,112625,Mortgagee,191308,15d9259e-8f5a-408e-83fc-b2fc6c4cedfd,PartyDos,null,null,null,null,PartyDos,PartyDos,null,null,null,113040,PartyDos AddName,PartyDos L1,PartyDos L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,B37 7 HG
76082,112625,Mortgagee,191307,15d9259e-8f5a-408e-83fc-b2fc6c4cedfd,PartyDos,null,null,null,null,PartyDos,PartyDos,null,null,null,113040,PartyDos AddName,PartyDos L1,PartyDos L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,B37 7 HG
76081,112624,Joint Assured,191306,4941af35-c3a6-4a8e-ade0-72c692e73a8c,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
76079,112624,Joint Assured,191304,4941af35-c3a6-4a8e-ade0-72c692e73a8c,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
76078,112624,Joint Assured,191303,4941af35-c3a6-4a8e-ade0-72c692e73a8c,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
76077,112624,Joint Assured,191302,4941af35-c3a6-4a8e-ade0-72c692e73a8c,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
76057,112621,Joint Assured,191301,bebf6865-d902-4be3-824d-8c89b0af35a6,JAParty ForTC,null,null,null,null,JAParty ForTC,JAParty ForTC,null,null,null,113036,JAParty ForTC Add Name,JAParty ForTC L1,JAParty ForTC L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76056,112621,Joint Assured,191300,bebf6865-d902-4be3-824d-8c89b0af35a6,JAParty ForTC,null,null,null,null,JAParty ForTC,JAParty ForTC,null,null,null,113036,JAParty ForTC Add Name,JAParty ForTC L1,JAParty ForTC L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76055,112619,Joint Assured,191299,d7aa2eb0-958c-4380-b598-4dc538575756,JOINT P1,null,null,null,null,JOINT P1,JOINT P1,null,null,null,113034,JOINT P1 Add Name,JOINT P1 L1,JOINT P1 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76052,64136,Joint Assured,191298,dce3d3d3-bb84-e611-8c3f-005056b03908,Zandexploitatiemaatschappij Reimerswaal B.V (as juridical owner),null,null,null,Zandexploitatiemaatschappij Reimerswaal B.V (as juridical owner),Zandexploitatiemaatschappij Reimerswaal B.V (as juridical owner),Zandexploitatiemaatschappij Reimerswaal B.V (as juridical owner),null,null,null,19647,Nieuwe Diep 1,null,null,null,4465 AA GOES,null,NETHERLANDS,null
76052,17675,Crew Manager,191297,a05ef58b-5c27-4318-a1fa-afe53674098c,Seacontractors Bv,null,,null,Seacontractors,Seacontractors Bv,Seacontractors Bv,null,null,null,27305, 102278,null, null,null, null,null, null,null, null,, null,null, null,null, null,null, null
76052,17675,Crew Manager,191297,a05ef58b-5c27-4318-a1fa-afe53674098c,Seacontractors Bv,null,,null,Seacontractors,Seacontractors Bv,Seacontractors Bv,null,null,null,27305, 102278,null, null,null, null,null, null,null, null,, null,null, null,null, null,null, null
76052,64524,Joint Assured,191296,f217fcad-96d7-45da-a241-6128de006c1e,Reimerswaal Dredging V.O.F. (as economic owner),null,null,null,Reimerswaal Dredging V.O.F. (as economic owner),Reimerswaal Dredging V.O.F. (as economic owner),Reimerswaal Dredging V.O.F. (as economic owner),null,null,null,48626,null,null,null,null,null,null,null,null
76052,74843,Mortgagee,191295,ceac6ee4-134d-e411-af7d-001f29e68cce,Abn Amro Bank N.V,null,null,null,Abn Amro Bank N.V,Abn Amro Bank N.V,Abn Amro Bank N.V,null,null,null,16039,Daalsesingel 71,3511 ,null,null,SW Utrecht,null,NETHERLANDS,null
76049,112615,Joint Assured,191293,f1a6e552-ff3a-41a3-9b98-465030b91c09,MTAParty,null,null,null,null,MTAParty,MTAParty,day0@party.com,900000001,8000000001,113030,Day0AddressName,Day0Line1,Day0Line2,Day0Line3,Day0City,Day0State,INDIA,100000
76048,112615,Joint Assured,191292,f1a6e552-ff3a-41a3-9b98-465030b91c09,MTAParty,null,null,null,null,MTAParty,MTAParty,day0@party.com,900000001,8000000001,113030,Day0AddressName,Day0Line1,Day0Line2,Day0Line3,Day0City,Day0State,INDIA,100000
76046,112589,Crew Manager,191291,fed3845b-9d23-431a-af37-60183c407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
76045,112589,Crew Manager,191290,fed3845b-9d23-431a-af37-60183c407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
76035,112600,Joint Assured,191289,2ead981a-9cec-46e1-a204-d6088b46d12f,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76034,112600,Joint Assured,191288,2ead981a-9cec-46e1-a204-d6088b46d12f,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76031,112600,Mortgagee,191287,2ead981a-9cec-46e1-a204-d6088b46d12f,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76030,112600,Mortgagee,191286,2ead981a-9cec-46e1-a204-d6088b46d12f,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76029,112610,Joint Assured,191285,e841a120-c261-49b3-bf43-e128ca8601d9,null,Mrs.,Updated,null,P5 JA_Party3,Mrs. Updated P5 JA_Party3,Updated P5 JA_Party3,null,null,null,113025,P5 JA_Party3 AddName,P5 JA_Party3 L1,P5 JA_Party3 L2,null,Scunthorpe,null,UNITED KINGDOM,SC1 1SC
76029,112609,Joint Assured,191284,295cec75-7524-4edd-8d9e-5177392f21fe,null,Captain,P4,null,JA_Party2,Captain P4 JA_Party2,P4 JA_Party2,null,null,null,113024,JA_Party2 AddName,JA_Party2 L1,JA_Party2 L2,null,Barnsley,South Yorkshire,UNITED KINGDOM,S20 1sh
76029,112611,Joint Assured,191283,83d4e659-dc40-472a-b12e-229d42c01a72,null,Dr.,P6,null,JA_Party4,Dr. P6 JA_Party4,P6 JA_Party4,null,null,null,113026,JA_Party4 AddName,JA_Party4 L1,JA_Party4 L2,null,Doncaster,null,UNITED KINGDOM,DN1 1ND
76029,112608,Joint Assured,191282,39dab1d8-bb19-4864-b572-e72b5d02dbb5,P3 JA_Party1,null,null,null,null,P3 JA_Party1,P3 JA_Party1,o@k.com,+4477558899,+44995544225,113023,P3 JA_Party1 AddName,P3 JA_Party1 L1,P3 JA_Party1 L2,null,Halifax,West Yorkshire,UNITED KINGDOM,LE1 1LE
