API_ApplicationId,API_ApplicationReference,API_BrokerId,API_MemberId,API_MemberReference,API_MemberName,API_Discriminator,API_EmailAddress,API_BrokerReference,API_BrokerName,API_ApplicationProductType,API_ApplicationFirstTransaction,API_PolicyStartDate,API_PolicyEndDate,API_IsRenewalApplication,API_RenewalFromPolicyReference
76162,1044640,780,104,POST & CO (P & I),44902,73326,Test1Member Updated,Quote,YACHT,Janie.Welsh@shipownersclub.com,275048,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76161,1044636,780,104,POST & CO (P & I),44900,73324,Member For1044636,Policy,P&I,Janie.Welsh@shipownersclub.com,275040,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76160,1044635,780,104,POST & CO (P & I),44899,73323,Member For1044635,Policy,P&I,Janie.Welsh@shipownersclub.com,275038,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76159,1044634,780,104,POST & CO (P & I),44898,73322,Member For1044634,Policy,P&I,Janie.Welsh@shipownersclub.com,275036,2021-01-01T12:00:00+00:00,2022-01-01T12:00:00+00:00,false,
76158,1044633,780,104,POST & CO (P & I),44897,73321,Member For1044633,Policy,P&I,Janie.Welsh@shipownersclub.com,275034,2021-01-01T12:00:00+00:00,2022-01-01T12:00:00+00:00,false,
76157,1044639,780,104,POST & CO (P & I),44901,73325,Member for PartyCheck,Policy,YACHT,Janie.Welsh@shipownersclub.com,275024,2021-01-19T12:00:00+00:00,2022-01-19T12:00:00+00:00,true,1044638
76155,1044638,780,104,POST & CO (P & I),44901,73325,Member for PartyCheck,Policy,YACHT,Janie.Welsh@shipownersclub.com,275013,2020-10-21T12:00:00+00:00,2021-01-19T12:00:00+00:00,false,
76154,1044638,780,104,POST & CO (P & I),44901,73325,Member for PartyCheck,Quote,YACHT,Janie.Welsh@shipownersclub.com,275008,2020-10-21T12:00:00+00:00,2021-01-19T12:00:00+00:00,false,
76150,1044606,780,104,POST & CO (P & I),44888,73312,Member For155071,Policy,YACHT,Janie.Welsh@shipownersclub.com,274994,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76149,1044636,780,104,POST & CO (P & I),44900,73324,Member For1044636,Quote,P&I,Janie.Welsh@shipownersclub.com,274986,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76148,1044635,780,104,POST & CO (P & I),44899,73323,Member For1044635,Quote,P&I,Janie.Welsh@shipownersclub.com,274978,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76147,1044634,780,104,POST & CO (P & I),44898,73322,Member For1044634,Quote,P&I,Janie.Welsh@shipownersclub.com,274969,2021-01-01T12:00:00+00:00,2022-01-01T12:00:00+00:00,false,
76146,1044633,780,104,POST & CO (P & I),44897,73321,Member For1044633,Quote,P&I,Janie.Welsh@shipownersclub.com,274961,2021-01-01T12:00:00+00:00,2022-01-01T12:00:00+00:00,false,
76145,1044632,780,104,POST & CO (P & I),44896,73320,NewMember For1044632,Policy,P&I,Janie.Welsh@shipownersclub.com,274956,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76144,1044632,780,104,POST & CO (P & I),44896,73320,NewMember For1044632,Quote,P&I,Janie.Welsh@shipownersclub.com,274951,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76143,1044631,780,104,POST & CO (P & I),44889,73313,Member For1044613,Policy,P&I,Janie.Welsh@shipownersclub.com,0,2021-11-01T12:00:00+00:00,2022-11-01T12:00:00+00:00,true,1044613
76141,1044630,780,104,POST & CO (P & I),44895,73319,RevisedMember Name1044630,Policy,P&I,Janie.Welsh@shipownersclub.com,274933,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76140,1044630,780,104,POST & CO (P & I),44895,73319,RevisedMember Name1044630,Quote,P&I,Janie.Welsh@shipownersclub.com,274930,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76139,1044629,780,104,POST & CO (P & I),44891,73315,Member For1044615,Policy,P&I,Janie.Welsh@shipownersclub.com,0,2021-11-01T12:00:00+00:00,2022-11-01T12:00:00+00:00,true,1044615
76137,1044628,780,104,POST & CO (P & I),44894,73318,Updated Member Name,Policy,YACHT,Janie.Welsh@shipownersclub.com,274911,2020-10-10T12:00:00+00:00,2021-01-01T12:00:00+00:00,false,
76136,1044628,780,104,POST & CO (P & I),44894,73318,Updated Member Name,Quote,YACHT,Janie.Welsh@shipownersclub.com,274906,2020-10-10T12:00:00+00:00,2021-01-01T12:00:00+00:00,false,
76135,1044627,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Policy,YACHT,Janie.Welsh@shipownersclub.com,0,2021-11-01T12:00:00+00:00,2022-11-01T12:00:00+00:00,true,1044620
76134,1044626,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Policy,P&I,Janie.Welsh@shipownersclub.com,0,2021-11-01T12:00:00+00:00,2022-11-01T12:00:00+00:00,true,1044621
76127,1044623,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Policy,YACHT,Janie.Welsh@shipownersclub.com,274886,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76126,1044623,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Quote,YACHT,Janie.Welsh@shipownersclub.com,274885,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76125,1044622,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Policy,P&I,Janie.Welsh@shipownersclub.com,274883,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76124,1044622,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Quote,P&I,Janie.Welsh@shipownersclub.com,274882,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76123,1044621,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Policy,P&I,Janie.Welsh@shipownersclub.com,274880,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76122,1044621,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Quote,P&I,Janie.Welsh@shipownersclub.com,274876,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76121,1044620,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Policy,YACHT,Janie.Welsh@shipownersclub.com,274874,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76120,1044620,780,104,POST & CO (P & I),44893,73317,MemberFor RenewalOne,Quote,YACHT,Janie.Welsh@shipownersclub.com,274869,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76119,1044619,780,104,POST & CO (P & I),44892,73316,Member For1044616 ,Policy,YACHT,Janie.Welsh@shipownersclub.com,274867,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76118,1044619,780,104,POST & CO (P & I),44892,73316,Member For1044616 ,Quote,YACHT,Janie.Welsh@shipownersclub.com,274864,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76117,1044618,780,104,POST & CO (P & I),44892,73316,Member For1044616 ,Policy,P&I,Janie.Welsh@shipownersclub.com,274862,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76116,1044618,780,104,POST & CO (P & I),44892,73316,Member For1044616 ,Quote,P&I,Janie.Welsh@shipownersclub.com,274861,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76115,1044617,780,104,POST & CO (P & I),44892,73316,Member For1044616 ,Policy,P&I,Janie.Welsh@shipownersclub.com,274859,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76114,1044617,780,104,POST & CO (P & I),44892,73316,Member For1044616 ,Quote,P&I,Janie.Welsh@shipownersclub.com,274858,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76113,1044616,780,104,POST & CO (P & I),44892,73316,Member For1044616 ,Policy,YACHT,Janie.Welsh@shipownersclub.com,274856,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76112,1044616,780,104,POST & CO (P & I),44892,73316,Member For1044616 ,Quote,YACHT,Janie.Welsh@shipownersclub.com,274848,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76111,1044615,780,104,POST & CO (P & I),44891,73315,Member For1044615,Policy,P&I,Janie.Welsh@shipownersclub.com,274846,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76110,1044615,780,104,POST & CO (P & I),44891,73315,Member For1044615,Quote,P&I,Janie.Welsh@shipownersclub.com,274843,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76109,1044614,780,104,POST & CO (P & I),44890,73314,Member For1044614,Policy,P&I,Janie.Welsh@shipownersclub.com,274841,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76108,1044614,780,104,POST & CO (P & I),44890,73314,Member For1044614,Quote,P&I,Janie.Welsh@shipownersclub.com,274836,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76107,1044613,780,104,POST & CO (P & I),44889,73313,Member For1044613,Policy,P&I,Janie.Welsh@shipownersclub.com,274834,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76106,1044613,780,104,POST & CO (P & I),44889,73313,Member For1044613,Quote,P&I,Janie.Welsh@shipownersclub.com,274828,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76105,1044612,780,104,POST & CO (P & I),44888,73312,Member For155071,Policy,P&I,Janie.Welsh@shipownersclub.com,274826,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76104,1044612,780,104,POST & CO (P & I),44888,73312,Member For155071,Quote,P&I,Janie.Welsh@shipownersclub.com,274821,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76103,1044611,780,104,POST & CO (P & I),44888,73312,Member For155071,Quote,YACHT,Janie.Welsh@shipownersclub.com,274816,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76102,1044610,780,104,POST & CO (P & I),44888,73312,Member For155071,Quote,P&I,Janie.Welsh@shipownersclub.com,274814,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76101,1044609,780,104,POST & CO (P & I),44888,73312,Member For155071,Quote,P&I,Janie.Welsh@shipownersclub.com,274810,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76100,1044608,780,104,POST & CO (P & I),44888,73312,Member For155071,Quote,P&I,Janie.Welsh@shipownersclub.com,274808,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76099,1044607,780,104,POST & CO (P & I),44888,73312,Member For155071,Quote,P&I,Janie.Welsh@shipownersclub.com,274807,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76098,1044606,780,104,POST & CO (P & I),44888,73312,Member For155071,Quote,YACHT,Janie.Welsh@shipownersclub.com,274799,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76097,1044605,780,104,POST & CO (P & I),44887,73311,PaulsNewMember,Quote,P&I,Janie.Welsh@shipownersclub.com,274798,2020-12-17T12:00:00+00:00,2021-12-17T12:00:00+00:00,false,
76096,1044604,780,104,POST & CO (P & I),44887,73311,PaulsNewMember,Quote,P&I,Janie.Welsh@shipownersclub.com,274797,2020-12-17T12:00:00+00:00,2021-12-17T12:00:00+00:00,false,
76095,1044603,780,104,POST & CO (P & I),44887,73311,PaulsNewMember,Quote,P&I,Janie.Welsh@shipownersclub.com,274792,2020-12-17T12:00:00+00:00,2021-12-17T12:00:00+00:00,false,
76095,1044603,780,104,POST & CO (P & I),44887,73311,PaulsNewMember,Quote,P&I,Janie.Welsh@shipownersclub.com,274792,2020-12-17T12:00:00+00:00,2021-12-17T12:00:00+00:00,false,
76094,1044602,780,104,POST & CO (P & I),44886,73310,Paul Productions,Policy,P&I,Janie.Welsh@shipownersclub.com,274786,2020-12-14T12:00:00+00:00,2021-12-14T12:00:00+00:00,false,
76093,1044602,780,104,POST & CO (P & I),44886,73310,Paul Productions,Quote,P&I,Janie.Welsh@shipownersclub.com,274781,2020-12-14T12:00:00+00:00,2021-12-14T12:00:00+00:00,false,
76092,1044601,462,6,HSBC INSURANCE BROKERS LTD,44885,73309,bob,Quote,P&I,Janie.Welsh@shipownersclub.com,274778,2020-12-14T12:00:00+00:00,2021-12-14T12:00:00+00:00,false,
76091,1044600,780,104,POST & CO (P & I),44884,73308,FirstUpdate Member,Policy,P&I,Janie.Welsh@shipownersclub.com,0,2021-10-01T12:00:00+00:00,2022-10-01T12:00:00+00:00,true,1044599
76089,1044599,780,104,POST & CO (P & I),44884,73308,FirstUpdate Member,Policy,P&I,Janie.Welsh@shipownersclub.com,274766,2020-10-01T12:00:00+00:00,2021-10-01T12:00:00+00:00,false,
76088,1044599,780,104,POST & CO (P & I),44884,73308,FirstUpdate Member,Quote,P&I,Janie.Welsh@shipownersclub.com,274761,2020-10-01T12:00:00+00:00,2021-10-01T12:00:00+00:00,false,
76087,1044598,780,104,POST & CO (P & I),44884,73308,FirstUpdate Member,Policy,P&I,Janie.Welsh@shipownersclub.com,274759,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76086,1044598,780,104,POST & CO (P & I),44884,73308,FirstUpdate Member,Quote,P&I,Janie.Welsh@shipownersclub.com,274758,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76085,1044597,780,104,POST & CO (P & I),44884,73308,FirstUpdate Member,Policy,P&I,Janie.Welsh@shipownersclub.com,274753,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76084,1044597,780,104,POST & CO (P & I),44884,73308,FirstUpdate Member,Quote,P&I,Janie.Welsh@shipownersclub.com,274747,2020-11-01T12:00:00+00:00,2021-11-01T12:00:00+00:00,false,
76083,1044596,780,104,POST & CO (P & I),44883,73307,NewMember For155070,Policy,P&I,Janie.Welsh@shipownersclub.com,274744,2020-10-01T12:00:00+00:00,2021-10-01T12:00:00+00:00,false,
76082,1044596,780,104,POST & CO (P & I),44883,73307,NewMember For155070,Quote,P&I,Janie.Welsh@shipownersclub.com,274741,2020-10-01T12:00:00+00:00,2021-10-01T12:00:00+00:00,false,
76081,1044595,780,104,POST & CO (P & I),44883,73307,NewMember For155070,Policy,P&I,Janie.Welsh@shipownersclub.com,0,2021-10-01T12:00:00+00:00,2022-10-01T12:00:00+00:00,true,1044594
76078,1044594,780,104,POST & CO (P & I),44883,73307,NewMember For155070,Policy,P&I,Janie.Welsh@shipownersclub.com,274727,2020-10-01T12:00:00+00:00,2021-10-01T12:00:00+00:00,false,
76077,1044594,780,104,POST & CO (P & I),44883,73307,NewMember For155070,Quote,P&I,Janie.Welsh@shipownersclub.com,274721,2020-10-01T12:00:00+00:00,2021-10-01T12:00:00+00:00,false,
76077,1044594,780,104,POST & CO (P & I),44883,73307,NewMember For155070,Quote,P&I,Janie.Welsh@shipownersclub.com,274721,2020-10-01T12:00:00+00:00,2021-10-01T12:00:00+00:00,false,
76076,1044593,780,104,POST & CO (P & I),44882,73306,NewMember ForAPI,Policy,P&I,Janie.Welsh@shipownersclub.com,274719,2021-01-01T12:00:00+00:00,2022-01-01T12:00:00+00:00,false,
76075,1044593,780,104,POST & CO (P & I),44882,73306,NewMember ForAPI,Quote,P&I,Janie.Welsh@shipownersclub.com,274718,2021-01-01T12:00:00+00:00,2022-01-01T12:00:00+00:00,false,
76074,1044592,780,104,POST & CO (P & I),44882,73306,NewMember ForAPI,Policy,P&I,Janie.Welsh@shipownersclub.com,274716,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76073,1044592,780,104,POST & CO (P & I),44882,73306,NewMember ForAPI,Quote,P&I,Janie.Welsh@shipownersclub.com,274713,2020-12-01T12:00:00+00:00,2021-12-01T12:00:00+00:00,false,
76072,1044591,780,104,POST & CO (P & I),44882,73306,NewMember ForAPI,Policy,P&I,Janie.Welsh@shipownersclub.com,274711,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76071,1044591,780,104,POST & CO (P & I),44882,73306,NewMember ForAPI,Quote,P&I,Janie.Welsh@shipownersclub.com,274708,2021-02-01T12:00:00+00:00,2022-02-01T12:00:00+00:00,false,
76070,1044590,780,104,POST & CO (P & I),44881,73305,New MemberFINAL,Quote,P&I,Janie.Welsh@shipownersclub.com,274707,2021-01-01T12:00:00+00:00,2022-01-01T12:00:00+00:00,false,
76069,1044589,780,104,POST & CO (P & I),44881,73305,New MemberFINAL,Quote,P&I,Janie.Welsh@shipownersclub.com,274706,2020-12-07T12:00:00+00:00,2021-12-07T12:00:00+00:00,false,
76068,1044588,780,104,POST & CO (P & I),44881,73305,New MemberFINAL,Quote,P&I,Janie.Welsh@shipownersclub.com,274676,2020-09-14T12:00:00+00:00,2020-12-04T12:00:00+00:00,false,
