SQL_JointAssuredId,SQL_JointAssuredReference,SQL_ApplicationId,SQL_Party_Id,SQL_PartyRoleTypeName,SQL_CrmIdentifier,SQL_OrganisationName,SQL_Salutation,SQL_FirstName,SQL_MiddleName,SQL_LastName,SQL_Name,SQL_SearchName,SQL_EmailAddress,SQL_Telephone,SQL_Fax,SQL_Address_Id,SQL_AddressName,SQL_Line1,SQL_Line2,SQL_Line3,SQL_City,SQL_StateOrProvince,SQL_Country,SQL_Postcode
41898,503711,76144,112635,Joint Assured,9E20BB91-F60B-4435-9785-C1764A604F25,FUTURE 1044606,null,null,null,null,FUTURE 1044606,FUTURE 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
41898,503711,76145,112635,Joint Assured,9E20BB91-F60B-4435-9785-C1764A604F25,FUTURE 1044606,null,null,null,null,FUTURE 1044606,FUTURE 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
41897,503710,76130,112651,Joint Assured,8AE20AEC-BED3-4411-A08F-12ECF2A0B4BC,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41897,503710,76134,112651,Joint Assured,8AE20AEC-BED3-4411-A08F-12ECF2A0B4BC,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41897,503710,76122,112651,Joint Assured,8AE20AEC-BED3-4411-A08F-12ECF2A0B4BC,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41897,503710,76123,112651,Joint Assured,8AE20AEC-BED3-4411-A08F-12ECF2A0B4BC,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41896,503709,76112,112646,Joint Assured,2825DF29-B3CE-4F52-ABB7-0D83B09C6D0A,JointParty For1044616,null,null,null,null,JointParty For1044616,JointParty For1044616,o@no.com,+445588669,+44557711225,113061,JointParty For1044616 Add Name,JointParty For1044616 L1,JointParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41896,503709,76113,112646,Joint Assured,2825DF29-B3CE-4F52-ABB7-0D83B09C6D0A,JointParty For1044616,null,null,null,null,JointParty For1044616,JointParty For1044616,o@no.com,+445588669,+44557711225,113061,JointParty For1044616 Add Name,JointParty For1044616 L1,JointParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41895,503708,76106,112641,Joint Assured,78D5863D-612F-48A1-AF6B-137B9FFB4B54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41895,503708,76107,112641,Joint Assured,78D5863D-612F-48A1-AF6B-137B9FFB4B54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41895,503708,76142,112641,Joint Assured,78D5863D-612F-48A1-AF6B-137B9FFB4B54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41895,503708,76143,112641,Joint Assured,78D5863D-612F-48A1-AF6B-137B9FFB4B54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41894,503707,76103,112638,Joint Assured,D8007716-C858-43B4-A79A-8C19E49FC926,Party For1044611,null,null,null,null,Party For1044611,Party For1044611,null,null,null,113053,Party For1044611 AddName,Party For1044611 L1,Party For1044611 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41893,503706,76150,112636,Joint Assured,AEBE0218-CE6A-4CE0-8D0F-F91D1E3163CD,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
41893,503706,76151,112636,Joint Assured,AEBE0218-CE6A-4CE0-8D0F-F91D1E3163CD,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
41893,503706,76098,112636,Joint Assured,AEBE0218-CE6A-4CE0-8D0F-F91D1E3163CD,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
41892,503705,76084,112627,Joint Assured,2F0B1E49-CFD9-4F52-B16E-3C91DBA28ABA,Party3 Variety,null,null,null,null,Party3 Variety,Party3 Variety,null,null,null,113042,Party3 Variety Add Name,Party3 Variety L1,Party3 Variety L2,null,Bham,null,UNITED KINGDOM,B37 7 HG
41892,503705,76085,112627,Joint Assured,2F0B1E49-CFD9-4F52-B16E-3C91DBA28ABA,Party3 Variety,null,null,null,null,Party3 Variety,Party3 Variety,null,null,null,113042,Party3 Variety Add Name,Party3 Variety L1,Party3 Variety L2,null,Bham,null,UNITED KINGDOM,B37 7 HG
41891,503704,76077,112624,Joint Assured,4941AF35-C3A6-4A8E-ADE0-72C692E73A8C,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
41891,503704,76078,112624,Joint Assured,4941AF35-C3A6-4A8E-ADE0-72C692E73A8C,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
41891,503704,76079,112624,Joint Assured,4941AF35-C3A6-4A8E-ADE0-72C692E73A8C,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
41891,503704,76081,112624,Joint Assured,4941AF35-C3A6-4A8E-ADE0-72C692E73A8C,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
41890,503703,76056,112621,Joint Assured,BEBF6865-D902-4BE3-824D-8C89B0AF35A6,JAParty ForTC,null,null,null,null,JAParty ForTC,JAParty ForTC,null,null,null,113036,JAParty ForTC Add Name,JAParty ForTC L1,JAParty ForTC L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41890,503703,76057,112621,Joint Assured,BEBF6865-D902-4BE3-824D-8C89B0AF35A6,JAParty ForTC,null,null,null,null,JAParty ForTC,JAParty ForTC,null,null,null,113036,JAParty ForTC Add Name,JAParty ForTC L1,JAParty ForTC L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41889,503702,76055,112619,Joint Assured,D7AA2EB0-958C-4380-B598-4DC538575756,JOINT P1,null,null,null,null,JOINT P1,JOINT P1,null,null,null,113034,JOINT P1 Add Name,JOINT P1 L1,JOINT P1 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41888,503701,50657,112617,Joint Assured,13D5ED22-82C4-4D42-BD5F-CB475E3AD192,NewJAfor Risk,null,null,null,null,NewJAfor Risk,NewJAfor Risk,null,null,null,113032,NewJAfor Risk AddName,NewJAfor Risk L1,NewJAfor Risk L2,NewJAfor Risk L3,Portsmouth,Devon,UNITED KINGDOM,PO1 1PP
41887,503700,76048,112615,Joint Assured,F1A6E552-FF3A-41A3-9B98-465030B91C09,MTAParty,null,null,null,null,MTAParty,MTAParty,day0@party.com,900000001,8000000001,113030,Day0AddressName,Day0Line1,Day0Line2,Day0Line3,Day0City,Day0State,INDIA,100000
41887,503700,76049,112615,Joint Assured,F1A6E552-FF3A-41A3-9B98-465030B91C09,MTAParty,null,null,null,null,MTAParty,MTAParty,day0@party.com,900000001,8000000001,113030,Day0AddressName,Day0Line1,Day0Line2,Day0Line3,Day0City,Day0State,INDIA,100000
41886,503699,76028,112611,Joint Assured,83D4E659-DC40-472A-B12E-229D42C01A72,null,Dr.,P6,null,JA_Party4,P6 JA_Party4,P6 JA_Party4,null,null,null,113026,JA_Party4 AddName,JA_Party4 L1,JA_Party4 L2,null,Doncaster,null,UNITED KINGDOM,DN1 1ND
41886,503699,76029,112611,Joint Assured,83D4E659-DC40-472A-B12E-229D42C01A72,null,Dr.,P6,null,JA_Party4,P6 JA_Party4,P6 JA_Party4,null,null,null,113026,JA_Party4 AddName,JA_Party4 L1,JA_Party4 L2,null,Doncaster,null,UNITED KINGDOM,DN1 1ND
41885,503698,76028,112610,Joint Assured,E841A120-C261-49B3-BF43-E128CA8601D9,null,Mrs.,Updated,null,P5 JA_Party3,Updated P5 JA_Party3,Updated P5 JA_Party3,null,null,null,113025,P5 JA_Party3 AddName,P5 JA_Party3 L1,P5 JA_Party3 L2,null,Scunthorpe,null,UNITED KINGDOM,SC1 1SC
41885,503698,76029,112610,Joint Assured,E841A120-C261-49B3-BF43-E128CA8601D9,null,Mrs.,Updated,null,P5 JA_Party3,Updated P5 JA_Party3,Updated P5 JA_Party3,null,null,null,113025,P5 JA_Party3 AddName,P5 JA_Party3 L1,P5 JA_Party3 L2,null,Scunthorpe,null,UNITED KINGDOM,SC1 1SC
41884,503697,76028,112609,Joint Assured,295CEC75-7524-4EDD-8D9E-5177392F21FE,null,Captain,P4,null,JA_Party2,P4 JA_Party2,P4 JA_Party2,null,null,null,113024,JA_Party2 AddName,JA_Party2 L1,JA_Party2 L2,null,Barnsley,South Yorkshire,UNITED KINGDOM,S20 1sh
41884,503697,76029,112609,Joint Assured,295CEC75-7524-4EDD-8D9E-5177392F21FE,null,Captain,P4,null,JA_Party2,P4 JA_Party2,P4 JA_Party2,null,null,null,113024,JA_Party2 AddName,JA_Party2 L1,JA_Party2 L2,null,Barnsley,South Yorkshire,UNITED KINGDOM,S20 1sh
41883,503696,76028,112608,Joint Assured,39DAB1D8-BB19-4864-B572-E72B5D02DBB5,P3 JA_Party1,null,null,null,null,P3 JA_Party1,P3 JA_Party1,o@k.com,+4477558899,+44995544225,113023,P3 JA_Party1 AddName,P3 JA_Party1 L1,P3 JA_Party1 L2,null,Halifax,West Yorkshire,UNITED KINGDOM,LE1 1LE
41883,503696,76029,112608,Joint Assured,39DAB1D8-BB19-4864-B572-E72B5D02DBB5,P3 JA_Party1,null,null,null,null,P3 JA_Party1,P3 JA_Party1,o@k.com,+4477558899,+44995544225,113023,P3 JA_Party1 AddName,P3 JA_Party1 L1,P3 JA_Party1 L2,null,Halifax,West Yorkshire,UNITED KINGDOM,LE1 1LE
41882,503695,76016,112600,Joint Assured,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
41882,503695,76017,112600,Joint Assured,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
41882,503695,76026,112600,Joint Assured,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
41882,503695,76027,112600,Joint Assured,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
41882,503695,76034,112600,Joint Assured,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
41882,503695,76035,112600,Joint Assured,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
41881,503694,75992,112596,Joint Assured,FDE66DEF-E697-471E-91C1-CC16ED8D36AF,Party26Aug Party1,null,null,null,null,Party26Aug Party1,Party26Aug Party1,null,null,null,113011,Party26Aug Party1 AddName,Party26Aug Party1L1,Party26Aug Party1L2,Party26Aug Party1L3,Aberdeen,Aberdeenshire,UNITED KINGDOM,Ab1 1AB
41881,503694,75993,112596,Joint Assured,FDE66DEF-E697-471E-91C1-CC16ED8D36AF,Party26Aug Party1,null,null,null,null,Party26Aug Party1,Party26Aug Party1,null,null,null,113011,Party26Aug Party1 AddName,Party26Aug Party1L1,Party26Aug Party1L2,Party26Aug Party1L3,Aberdeen,Aberdeenshire,UNITED KINGDOM,Ab1 1AB
41880,503693,75984,112592,Joint Assured,77802CA7-0BD0-4095-A48F-585DBE947FCD,TestParty,null,null,null,null,TestParty,TestParty,Party@Party.com,4567890876,,113007,PartyAddressName,PartyLine1,PartyLine2,PartyLine3,PartyCity,PartyState,INDIA,3212312
41879,503692,76001,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,76002,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,76022,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,76023,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,76024,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,75978,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,75982,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,75995,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,75996,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,75998,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41879,503692,75999,112589,Joint Assured,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
41878,503691,75975,82699,Joint Assured,6A878CA6-C837-E711-B767-005056B03908,Tom test crew manager,null,null,null,null,Tom test crew manager,Tom test crew manager,null,null,null,23905,null,null,null,null,null,null,null,null
41878,503691,75976,82699,Joint Assured,6A878CA6-C837-E711-B767-005056B03908,Tom test crew manager,null,null,null,null,Tom test crew manager,Tom test crew manager,null,null,null,23905,null,null,null,null,null,null,null,null
41877,503690,75974,82697,Joint Assured,503E7D67-C737-E711-B767-005056B03908,TOM TEST YACHT PILOT,null,null,null,null,TOM TEST YACHT PILOT,TOM TEST YACHT PILOT,janie.welsh@shipownersclub.com,null,null,23903,Test Address Name,null,null,null,Test City,null,ITALY,null
41876,503689,75961,112579,Joint Assured,49D16B80-F366-4083-A1C9-851525B422BA,17AugRun2 Party 1,null,null,null,null,17AugRun2 Party 1,17AugRun2 Party 1,you@there.com,+445511225,+44558855221,112994,17AugRun2 Party 1Add Name,17AugRun2 Party 1 L1,17AugRun2 Party 1L2,17AugRun2 Party 1 L3,Birmingham,Midlands,UNITED KINGDOM,B37 7HG
41876,503689,75962,112579,Joint Assured,49D16B80-F366-4083-A1C9-851525B422BA,17AugRun2 Party 1,null,null,null,null,17AugRun2 Party 1,17AugRun2 Party 1,you@there.com,+445511225,+44558855221,112994,17AugRun2 Party 1Add Name,17AugRun2 Party 1 L1,17AugRun2 Party 1L2,17AugRun2 Party 1 L3,Birmingham,Midlands,UNITED KINGDOM,B37 7HG
41875,503688,75958,112572,Joint Assured,00000000-0000-0000-0000-000000000000,17 Aug Party 1,null,null,null,null,17 Aug Party 1,17 Aug Party 1,null,null,null,112987,17 Aug Party 1 Add Name,17 Aug Party 1 L1,17 Aug Party 1 L2,17 Aug Party 1 L3,Birmingham,midlands,UNITED KINGDOM,B37 7 HG
41874,503687,75957,112567,Joint Assured,00000000-0000-0000-0000-000000000000,14Aug Party1,null,null,null,null,14Aug Party1,14Aug Party1,there@here.com,+448855221,+44775511225,112982,14Aug Party1 Add Name,14Aug Party1 L1,14Aug Party1 L2,14Aug Party1 L3,Birmingham,West Mids,UNITED KINGDOM,B37 7HG
41873,503686,75949,112560,Joint Assured,E9C14559-AE61-41C2-8DDD-129F4E463EC3,Party3 Created11Aug@0958,null,null,null,null,Party3 Created11Aug@0958,Party3 Created11Aug@0958,null,null,null,112975,Party3 Created11Aug@0958,Party3 Created11Aug@0958,Party3 Created11Aug@0958,null,BHAm,null,UNITED KINGDOM,B37 7HG
41873,503686,75950,112560,Joint Assured,E9C14559-AE61-41C2-8DDD-129F4E463EC3,Party3 Created11Aug@0958,null,null,null,null,Party3 Created11Aug@0958,Party3 Created11Aug@0958,null,null,null,112975,Party3 Created11Aug@0958,Party3 Created11Aug@0958,Party3 Created11Aug@0958,null,BHAm,null,UNITED KINGDOM,B37 7HG
41872,503685,75597,1,Joint Assured,A1B50254-D215-DD11-B86D-001A4BF0119A,POST & CO (P & I),null,null,null,POST & CO (P & I),POST & CO (P & I),POST & CO (P & I),claims@post-co.com,+31 (10) 453 5888,+31 (10) 452 9575,64,Blaak 31 11th Floor,null,null,null,Rotterdam,null,NETHERLANDS,3011 GA
41871,503684,68323,112548,Joint Assured,7804B44F-3F65-EA11-A811-000D3A86AD30,Hero Marine Ltd ,null,null,null,null,Hero Marine Ltd ,Hero Marine Ltd ,null,null,null,112963,null,null,null,null,null,null,null,null
41870,503683,55863,112544,Joint Assured,AE07D01C-3B65-EA11-A811-000D3A86AD30,Saga Seafood (PTY) LTD,null,null,null,null,Saga Seafood (PTY) LTD,Saga Seafood (PTY) LTD,null,null,null,112959,null,null,null,null,null,null,null,null
41869,503682,55863,112542,Joint Assured,4C50B6D4-3A65-EA11-A811-000D3A86A8CF,Esja Investment PTY,null,null,null,null,Esja Investment PTY,Esja Investment PTY,null,null,null,112957,null,null,null,null,null,null,null,null
41868,503681,55863,112541,Joint Assured,95D6E2BF-3A65-EA11-A811-000D3A86AD30,Heinaste Investment (Namibia) (PTY)  LTD,null,null,null,null,Heinaste Investment (Namibia) (PTY)  LTD,Heinaste Investment (Namibia) (PTY)  LTD,null,null,null,112956,null,null,null,null,null,null,null,null
41867,503680,54713,112532,Joint Assured,8A1FC663-0965-EA11-A811-000D3A86AD30,Newocean Petroleum Co., Ltd,null,null,null,null,Newocean Petroleum Co., Ltd,Newocean Petroleum Co., Ltd,null,null,null,112947,null,null,null,null,null,null,null,null
41866,503679,75470,112531,Joint Assured,F3C77EFA-0865-EA11-A811-000D3A86A8CF,RICH CROWN MACHINERY LTD,null,null,null,null,RICH CROWN MACHINERY LTD,RICH CROWN MACHINERY LTD,null,null,null,112946,null,null,null,null,null,null,null,null
41865,503678,75470,112530,Joint Assured,5C717AE2-0865-EA11-A811-000D3A86AD30,RICH CROWN ENGINEERING LTD,null,null,null,null,RICH CROWN ENGINEERING LTD,RICH CROWN ENGINEERING LTD,null,null,null,112945,null,null,null,null,null,null,null,null
41864,503677,75464,112528,Joint Assured,3F92DE86-0165-EA11-A811-000D3A86AD30,Whales Hervey Bay Pty Ltd,null,null,null,null,Whales Hervey Bay Pty Ltd,Whales Hervey Bay Pty Ltd,null,null,null,112943,null,null,null,null,null,null,null,null
41863,503676,75466,112527,Joint Assured,DE4C1220-0065-EA11-A811-000D3A86AD30,Leesing Logistics (EM) Sdn Bhd,null,null,null,null,Leesing Logistics (EM) Sdn Bhd,Leesing Logistics (EM) Sdn Bhd,null,null,null,112942,null,null,null,null,null,null,null,null
41862,503675,70906,112524,Joint Assured,378CED6C-EF64-EA11-A811-000D3A86AD30,PKR Offshore Co., Ltd.,null,null,null,null,PKR Offshore Co., Ltd.,PKR Offshore Co., Ltd.,null,null,null,112939,13F.-4, No. 50,Sec. 1, Xinsheng S. Rd.,Zhongzheng Dist.,Taipei City 10059,Taiwan (R.O.C.),null,TAIWAN,null
41861,503674,70399,112523,Joint Assured,9E2E5B69-DD64-EA11-A811-000D3A86AD30,Singamas Petroleum Trading Pte Ltd ,null,null,null,null,Singamas Petroleum Trading Pte Ltd ,Singamas Petroleum Trading Pte Ltd ,null,null,null,112938,null,null,null,null,null,null,null,null
41861,503674,70399,112523,Joint Assured,9E2E5B69-DD64-EA11-A811-000D3A86AD30,Singamas Petroleum Trading Pte Ltd ,null,null,null,null,Singamas Petroleum Trading Pte Ltd ,Singamas Petroleum Trading Pte Ltd ,null,null,null,112938,null,null,null,null,null,null,null,null
