SQL_ApplicationId,SQL_ApplicationReference,SQL_BrokerId,SQL_MemberId,SQL_MemberReference,SQL_MemberName,SQL_Discriminator,SQL_EmailAddress,SQL_PolicyStartDate,SQL_PolicyEndDate,SQL_IsRenewalApplication
76118,1044619,780,44892,73316,Member For1044616 ,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76117,1044618,780,44892,73316,Member For1044616 ,Policy,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76116,1044618,780,44892,73316,Member For1044616 ,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76115,1044617,780,44892,73316,Member For1044616 ,Policy,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76114,1044617,780,44892,73316,Member For1044616 ,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76113,1044616,780,44892,73316,Member For1044616 ,Policy,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76112,1044616,780,44892,73316,Member For1044616 ,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76111,1044615,780,44891,73315,Member For1044615,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76110,1044615,780,44891,73315,Member For1044615,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76109,1044614,780,44890,73314,Member For1044614,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76108,1044614,780,44890,73314,Member For1044614,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76107,1044613,780,44889,73313,Member For1044613,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76106,1044613,780,44889,73313,Member For1044613,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76105,1044612,780,44888,73312,Member For155071,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76104,1044612,780,44888,73312,Member For155071,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76103,1044611,780,44888,73312,Member For155071,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76102,1044610,780,44888,73312,Member For155071,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76101,1044609,780,44888,73312,Member For155071,Quote,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76100,1044608,780,44888,73312,Member For155071,Quote,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76099,1044607,780,44888,73312,Member For155071,Quote,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76098,1044606,780,44888,73312,Member For155071,Quote,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76097,1044605,780,44887,73311,PaulsNewMember,Quote,Janie.Welsh@shipownersclub.com,2020-12-17 12:00:00 +00:00,2021-12-17 12:00:00 +00:00,false
76096,1044604,780,44887,73311,PaulsNewMember,Quote,Janie.Welsh@shipownersclub.com,2020-12-17 12:00:00 +00:00,2021-12-17 12:00:00 +00:00,false
76095,1044603,780,32609,54000,Andrew Scott,Quote,Janie.Welsh@shipownersclub.com,2020-12-17 12:00:00 +00:00,2021-12-17 12:00:00 +00:00,false
76095,1044603,780,44887,73311,PaulsNewMember,Quote,Janie.Welsh@shipownersclub.com,2020-12-17 12:00:00 +00:00,2021-12-17 12:00:00 +00:00,false
76094,1044602,780,44886,73310,Paul Productions,Policy,Janie.Welsh@shipownersclub.com,2020-12-14 12:00:00 +00:00,2021-12-14 12:00:00 +00:00,false
76093,1044602,780,44886,73310,Paul Productions,Quote,Janie.Welsh@shipownersclub.com,2020-12-14 12:00:00 +00:00,2021-12-14 12:00:00 +00:00,false
76092,1044601,462,44885,73309,bob,Quote,Janie.Welsh@shipownersclub.com,2020-12-14 12:00:00 +00:00,2021-12-14 12:00:00 +00:00,false
76091,1044600,780,44884,73308,FirstUpdate Member,Policy,Janie.Welsh@shipownersclub.com,2021-10-01 12:00:00 +00:00,2022-10-01 12:00:00 +00:00,false
76089,1044599,780,44884,73308,FirstUpdate Member,Policy,Janie.Welsh@shipownersclub.com,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,false
76088,1044599,780,44884,73308,FirstUpdate Member,Quote,Janie.Welsh@shipownersclub.com,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,false
76087,1044598,780,44884,73308,FirstUpdate Member,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76086,1044598,780,44884,73308,FirstUpdate Member,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76085,1044597,780,44884,73308,FirstUpdate Member,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76084,1044597,780,44884,73308,FirstUpdate Member,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76083,1044596,780,44883,73307,NewMember For155070,Policy,Janie.Welsh@shipownersclub.com,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,false
76082,1044596,780,44883,73307,NewMember For155070,Quote,Janie.Welsh@shipownersclub.com,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,false
76081,1044595,780,44883,73307,NewMember For155070,Policy,Janie.Welsh@shipownersclub.com,2021-10-01 12:00:00 +00:00,2022-10-01 12:00:00 +00:00,false
76078,1044594,780,44883,73307,NewMember For155070,Policy,Janie.Welsh@shipownersclub.com,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,false
76077,1044594,780,44882,73306,NewMember ForAPI,Quote,Janie.Welsh@shipownersclub.com,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,false
76077,1044594,780,44883,73307,NewMember For155070,Quote,Janie.Welsh@shipownersclub.com,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,false
76076,1044593,780,44882,73306,NewMember ForAPI,Policy,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,false
76075,1044593,780,44882,73306,NewMember ForAPI,Quote,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,false
76074,1044592,780,44882,73306,NewMember ForAPI,Policy,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76073,1044592,780,44882,73306,NewMember ForAPI,Quote,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76072,1044591,780,44882,73306,NewMember ForAPI,Policy,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76071,1044591,780,44882,73306,NewMember ForAPI,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76070,1044590,780,44881,73305,New MemberFINAL,Quote,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,false
76069,1044589,780,44881,73305,New MemberFINAL,Quote,Janie.Welsh@shipownersclub.com,2020-12-07 12:00:00 +00:00,2021-12-07 12:00:00 +00:00,false
76068,1044588,780,44881,73305,New MemberFINAL,Quote,Janie.Welsh@shipownersclub.com,2020-09-14 12:00:00 +00:00,2020-12-04 12:00:00 +00:00,false
