SQL_MemberId,SQL_MemberReference,SQL_Domicile,SQL_Party_Id,SQL_CrmIdentifier,SQL_OrganisationName,SQL_Salutation,SQL_FirstName,SQL_MiddleName,SQL_LastName,SQL_Name,SQL_SearchName,SQL_EmailAddress,SQL_Telephone,SQL_Fax,SQL_AddressID,SQL_AddressName,SQL_Line1,SQL_Line2,SQL_Line3,SQL_City,SQL_StateOrProvince,SQL_Country,SQL_Postcode
44891,73315,GBR,112644,D270456E-3B1F-4736-8900-838BAB8E7A6C,Member For1044615,null,null,null,null,Member For1044615,Member For1044615,a.o.com,+44558855226,+44552211885,113059,Member For1044615,Member For1044615 L1`,Member For1044615 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
44890,73314,GBR,112642,E1162E2B-5634-4EE4-BBCF-5DD5B79329B6,Member For1044614,null,null,null,null,Member For1044614,Member For1044614,null,null,null,113057,Member For1044614,Member For1044614 L1,Member For1044614 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
44889,73313,GBR,112640,810FBFEB-BF0D-4C04-9351-E768C52EE5A0,Member For1044613,null,null,null,null,Member For1044613,Member For1044613,null,null,null,113055,Member For1044613,Member For1044613 L1,Member For1044613 L2,null,Birminham,null,UNITED KINGDOM,B37 7HG
44888,73312,GBR,112634,E99DF00E-315B-4554-909A-233673A06432,Member For155071,null,null,null,null,Member For155071,Member For155071,null,null,null,113049,Member For155071,Member For155071 L1,Member For155071 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
44887,73311,AFG,112632,DD5458C0-A762-4655-98BF-C29866FB8B02,PaulsNewMember,null,null,null,null,PaulsNewMember,PaulsNewMember,null,null,null,113047,PaulsNewMember,null,null,null,a place,null,AFGHANISTAN,null
44886,73310,ISR,112630,0264486D-1CBE-4D7E-978F-65FE276542CB,Paul Productions,null,null,null,null,Paul Productions,Paul Productions,null,087843875785474539,null,113045,Paul Productions,Somewhere,over the,Rainbow,Noah City,Noah State,ISRAEL,NH
44885,73309,DZA,112629,9CB6267D-53A5-4A8B-A70B-73DF34761F90,bob,null,null,null,null,bob,bob,null,null,null,113044,bob,null,null,null,Birmingham,null,ALGERIA,null
44884,73308,USA,112626,05D73F48-FC40-40C3-9606-FB0464EB4D0A,FirstUpdate Member,null,null,null,null,FirstUpdate Member,FirstUpdate Member,null,null,null,113041,FirstUpdate Member,OriginalName Member L1,OriginalName Member L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,565464
44883,73307,USA,112623,BA8569C0-F2C7-4704-99F0-49054C51CCF2,NewMember For155070,null,null,null,null,NewMember For155070,NewMember For155070,null,null,null,113038,NewMember For155070,NewMember For155070 L1,NewMember For155070 L2,null,Bham,Alabama,UNITED STATES OF AMERICA,324554
44882,73306,GBR,112622,620D0B0D-ED19-43F6-8141-5DACD4307C5F,NewMember ForAPI,null,null,null,null,NewMember ForAPI,NewMember ForAPI,null,null,null,113037,NewMember ForAPI,NewMember ForAPI L1,NewMember ForAPI L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
44881,73305,GBR,112620,D1782C2F-4877-4C8E-B317-17E15AA48079,New MemberFINAL,null,null,null,null,New MemberFINAL,New MemberFINAL,null,null,null,113035,New MemberFINAL,New MemberWORK L1,New MemberWORK L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
44880,73304,GBR,112618,02F16FF0-9987-4B6E-84CE-5E022CD3BD29,New4 Safety,null,null,null,null,New4 Safety,New4 Safety,null,null,null,113033,New4 Safety,New4 Safety L1,New4 Safety L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
44879,73303,USA,112616,5D880F95-44FE-461E-BC1F-ABB80AD6E839,Day0_MemberByRef,null,null,null,null,Day0_MemberByRef,Day0_MemberByRef,daywise@memberbyref.com,+19839829829,null,113031,Day0_MemberByRef,E Street,greta road,Eastern site,NY,NYC,UNITED STATES OF AMERICA,9029
44878,73302,IND,112614,5DB82152-590B-41F0-92FB-33DF77097668,Day3_Member,null,null,null,null,Day3_Member,Day3_Member,day0@day0.com,900000000,800000000,113029,Day3_Member,Day0_Line1,Day0_Line2,Day0_Line3,Day0_City,Day0_State,INDIA,100000
44877,73301,ARE,112613,CB62B85D-EC5E-4330-A182-F042A8E75AC6,NoRiskMember,null,null,null,null,NoRiskMember,NoRiskMember,NoRiskMember@NoRiskMember.com,908765789,908765789,113028,NoRiskMember,NoRiskMemberL1,NoRiskMemberL2,NoRiskMemberL3,NoRiskMemberCity,NoRiskMemberState,UNITED ARAB EMIRATES,87655789
44876,73300,IND,112612,9B330E04-9640-4C4A-B795-4E89E72160B6,Day3APIMember,null,null,null,null,Day3APIMember,Day3APIMember,Day3apimember@api.com,7000000003,8000000003,113027,Day3APIMember,Day3APILine1,Day3APILine2,Day3APILine3,Day3APICity,Day3APICountryState,INDIA,900003
44875,73299,GBR,112605,B7D56988-B75A-418B-8DEB-B3C7CA004E3D,Member 07Sept1150,null,null,null,null,Member 07Sept1150,Member 07Sept1150,null,null,null,113020,Member 07Sept1150,Member 07Sept1150L1,Member 07Sept1150L2,null,Lancaster,null,UNITED KINGDOM,LA1 1LA
44874,73298,IND,112604,D9420890-3EBF-4DBA-94A6-82212B26EFD7,Day3TestMember,null,null,null,null,Day3TestMember,Day3TestMember,Test3@Test3.com,7000000003,8000000003,113019,Day3TestMember,Day3Line1,Day3Line2,Day3Line3,Day3City,Day3Country,INDIA,900003
44873,73297,GBR,112603,C18DE539-04F7-44AD-B4DA-DD0F25F6C874,Member 02Sep1450,null,null,null,null,Member 02Sep1450,Member 02Sep1450,null,null,null,113018,Member 02Sep1450,Member 02Sep1450 L1,Member 02Sep1450 L2,null,Ripon,North Yorkshire,UNITED KINGDOM,Y1 1YY
44872,73296,GBR,112602,ACA2E5FA-7A30-4DAB-95CF-A1D43229F979,Member 01Sep1033,null,null,null,null,Member 01Sep1033,Member 01Sep1033,Joe@MEssing.com,+445588556,+44557788996,113017,Member 01Sep1033,Member 01Sep1033L1,Member 01Sep1033L2,null,Edinburgh,Fife,UNITED KINGDOM,E1 1EE
44871,73295,IND,112599,D0903A1B-7698-4D69-B53D-AB7DA152C792,MyMember,null,null,null,null,MyMember,MyMember,MyMember@MyMember.com,8989898989,987889786,113014,MyMember,MyMember_Line1,MyMember_Line2,MyMember_Line3,MyMember_City,MyMember_State,INDIA,909090
44870,73294,GBR,112598,D2813AB6-FB95-44FD-8B1E-8D486AFF7A95,NewMem 27Aug1415,null,null,null,null,NewMem 27Aug1415,NewMem 27Aug1415,There@elsewhere.com,+445511225,+4488554226,113013,NewMem 27Aug1415,NewMem 27Aug1415 L1,NewMem 27Aug1415 L2,null,Leeds,West Yorkshore,UNITED KINGDOM,L1 LSA
44869,73293,GBR,112595,2982C290-6FA3-4844-ABEC-1ADA50E5F828,MemCreated 26Aug1421,null,null,null,null,MemCreated 26Aug1421,MemCreated 26Aug1421,there@here.com,+445588996,+44115577885,113010,MemCreated 26Aug1421,MemCreated 26Aug1421 L1,MemCreated 26Aug1421 L2,null,Derby,Derbyshire,UNITED KINGDOM,D1 1DD
44868,73292,GBR,112594,FFFEBB30-296F-439F-A803-3DFE14B95F68,mem 26 Aug 1259,null,null,null,null,mem 26 Aug 1259,mem 26 Aug 1259,null,null,null,113009,mem 26 Aug 1259,mem 26 Aug 1259 l1,mem 26 Aug 1259 l2,null,BHAM,null,UNITED KINGDOM,B37 7 Hg
44867,73291,GBR,112593,B4A64FE8-4119-40E5-8C20-CF787CA71948,Member 26Aug1154,null,null,null,null,Member 26Aug1154,Member 26Aug1154,ai@o.com,+44771144558,+44558899662,113008,Member 26Aug1154,Member 26Aug1154 L1,Member 26Aug1154 l2,null,Birmingham,West Mids,UNITED KINGDOM,B37 7HG
44866,73290,IND,112591,56D45452-B8E3-451A-A226-932086EB47A5,Suraj Member,null,null,null,null,Suraj Member,Suraj Member,test1@adro1.com,9089090909,null,113006,Suraj Member,MTALine1,MTALine2,MTALine3,MTACity,MTAState,INDIA,411033
44865,73289,IND,112590,745BA2F0-509E-4D87-9F89-5C5076950F2D,Day3_MemberForRiskName,null,null,null,null,Day3_MemberForRiskName,Day3_MemberForRiskName,day2@email.com,9000000002,2000000002,113005,Day3_MemberForRiskName,Day2_Line1,Day2_Line2,Day2_Line3,Day2_City,Day2_State,INDIA,200000
44864,73288,GBR,112392,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,AMP Test Broker,null,null,null,null,AMP Test Broker,AMP Test Broker,null,null,null,112807,AMP Test Broker,null,null,null,London,null,UNITED KINGDOM,null
44863,73287,GBR,112588,91F58FCC-7621-42CD-AB14-2F5EDCBC66D2,UpdatedMember_27082020,null,null,null,null,UpdatedMember_27082020,UpdatedMember_27082020,mem@mem.mem,452-125,333-444,113003,UpdatedMember_27082020,ADR Line 1,ADR Line 2,null,London,null,UNITED KINGDOM,34A PD
44862,73286,GBR,112587,3D0419BE-8EFF-41B5-B88D-38EE22B3D760,AutoMember_052015_190820,null,null,null,null,AutoMember_052015_190820,AutoMember_052015_190820,mem@mem.mem,452-125,333-444,113002,AutoMember_052015_190820,ADR Line 1,ADR Line 2,null,London,null,UNITED KINGDOM,34A PD
44861,73285,GBR,112586,F157A9CD-0001-40EA-898B-E8C73D6D6427,AutoMember_050444_190820,null,null,null,null,AutoMember_050444_190820,AutoMember_050444_190820,mem@mem.mem,452-125,333-444,113001,AutoMember_050444_190820,ADR Line 1,ADR Line 2,null,London,null,UNITED KINGDOM,34A PD
44860,73284,GBR,112585,A9DB5A23-7DF7-49F1-93FE-3FC55E43FC91,AutoMember_045239_190820,null,null,null,null,AutoMember_045239_190820,AutoMember_045239_190820,mem@mem.mem,452-125,333-444,113000,AutoMember_045239_190820,ADR Line 1,ADR Line 2,null,London,null,UNITED KINGDOM,34A PD
44859,73283,GBR,112584,B2E873EB-6E47-49BF-ABCA-331A2D0F33EA,AutoMember_034201_190820,null,null,null,null,AutoMember_034201_190820,AutoMember_034201_190820,mem@mem.mem,452-125,333-444,112999,AutoMember_034201_190820,ADR Line 1,ADR Line 2,null,London,null,UNITED KINGDOM,34A PD
44858,73282,GBR,112578,644FA70B-3E27-4137-8D1C-BAF7AE985C2D,Member 17Aug2240,null,null,null,null,Member 17Aug2240,Member 17Aug2240,are@you.cpm,+44558866885,+442211552258,112993,Member 17Aug2240,Member 17Aug2240L1,Member 17Aug2240L2,Member 17Aug2240L3,Birmingham,West Mids,UNITED KINGDOM,B37 7HG
44857,73281,GBR,112577,0490B947-C436-4315-87C6-70464A0A005E,Arvind SmokingHot,null,null,null,null,Arvind SmokingHot,Arvind SmokingHot,null,null,null,112992,Arvind SmokingHot,Arvind SmokingHot,Arvind SmokingHot,null,BHAM,null,UNITED KINGDOM, B37 7HG
44856,73280,GBR,112576,00000000-0000-0000-0000-000000000000,Member 17Aug1415,null,null,null,null,Member 17Aug1415,Member 17Aug1415,there@here.com,+44885511552,+44552288996,112991,Member 17Aug1415,Member 17Aug1415L1,Member 17Aug1415L2,null,Birmingham,West Mids,UNITED KINGDOM,B37 7HG
44855,73279,GBR,112571,00000000-0000-0000-0000-000000000000,Member 17Aug1244,null,null,null,null,Member 17Aug1244,Member 17Aug1244,here@there.com,+44552211552,+885599665,112986,Member 17Aug1244,Member 17Aug1244L1,Member 17Aug1244l2,null,Birmingham,West Mids,UNITED KINGDOM,B37 7HG
44854,73278,GBR,112566,00000000-0000-0000-0000-000000000000,Member 14Aug1726,null,null,null,null,Member 14Aug1726,Member 14Aug1726,Yourself@here.com,+448855995,+445511228,112981,Member 14Aug1726,Member 14Aug Add L1,null,Member 14Aug Add L3,Stafford,Staffordshire,UNITED KINGDOM,St1 1BB
44853,73277,GBR,112565,00000000-0000-0000-0000-000000000000,anothe3r Newmebr,null,null,null,null,anothe3r Newmebr,anothe3r Newmebr,null,null,null,112980,anothe3r Newmebr,anothe3r Newmebr,anothe3r Newmebr,null,BHAM,null,UNITED KINGDOM,B37 7 HG
44852,73276,GBR,112564,00000000-0000-0000-0000-000000000000,CountRy Member,null,null,null,null,CountRy Member,CountRy Member,yah@as.sd,+445552221112,+44885552221,112979,CountRy Member,CountRy Member B,CountRy Member C,null,BHAM,West Mids,UNITED KINGDOM,B37 7HG
44851,73275,GBR,112563,00000000-0000-0000-0000-000000000000,NewMebmer12Aug,null,null,null,null,NewMebmer12Aug,NewMebmer12Aug,null,null,null,112978,NewMebmer12Aug,NewMebmer12Aug,NewMebmer12Aug,null,Bham,null,UNITED KINGDOM,B37 7Hg
44850,73274,GBR,112562,00000000-0000-0000-0000-000000000000,Member 12Aug1301,null,null,null,null,Member 12Aug1301,Member 12Aug1301,null,null,null,112977,Member 12Aug1301,Member 12Aug1301,Member 12Aug1301,null,Birmingham,null,UNITED KINGDOM,B37 7HG
44849,73273,GBR,112557,EB034C45-6C41-471A-B5FA-30887B40C009,NEW Member 11Aug@9938,null,null,null,null,NEW Member 11Aug@9938,NEW Member 11Aug@9938,null,null,null,112972,NEW Member 11Aug@9938,Member 11Aug@9938L1,Member 11Aug@9938L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
44848,73272,GBR,112556,00000000-0000-0000-0000-000000000000,MemberNew 1,null,null,null,null,MemberNew 1,MemberNew 1,null,null,null,112971,MemberNew 1,MemberNew 1,MemberNew 1,null,BHAM,null,UNITED KINGDOM,B37 7HG
44847,73271,GBR,112555,00000000-0000-0000-0000-000000000000,bbbbllllaaah,null,null,null,null,bbbbllllaaah,bbbbllllaaah,null,null,null,112970,bbbbllllaaah,bbbbllllaaah1,bbbbllllaaah2,null,birmingham,null,UNITED KINGDOM,B37 7HG
44846,73270,GBR,112046,A48EDFD5-E25F-EA11-A811-000D3A86A8CF,AMP Test Cold Prospect Party,null,null,null,null,AMP Test Cold Prospect Party,AMP Test Cold Prospect Party,null,null,null,112454,AMP Test Cold Prospect Party,null,null,null,London,null,UNITED KINGDOM,null
44845,73269,OPEN,112554,00000000-0000-0000-0000-000000000000,M1044260,null,null,null,null,M1044260,M1044260,null,null,null,112969,M1044260,null,null,null,C,null,AS DECLARED,null
44844,73268,AZE,112553,00000000-0000-0000-0000-000000000000,M1044258,null,null,null,null,M1044258,M1044258,null,null,null,112968,M1044258,null,null,null,C,null,AZERBAIJAN REPUBLIC OF,null
44843,73267,AUT,112552,00000000-0000-0000-0000-000000000000,M1044257,null,null,null,null,M1044257,M1044257,null,null,null,112967,M1044257,null,null,null,C,null,AUSTRIA,null
44842,73266,AUS,112551,00000000-0000-0000-0000-000000000000,M1044255,null,null,null,null,M1044255,M1044255,null,null,null,112966,M1044255,null,null,null,C,null,AUSTRALIA,null
44841,73265,BHS,112550,00000000-0000-0000-0000-000000000000,M1044253,null,null,null,null,M1044253,M1044253,null,null,null,112965,M1044253,null,null,null,C,null,BAHAMAS,null
44840,73264,BLZ,112549,375E34A1-4B65-EA11-A811-000D3A86A8CF,LINTER MARITIME LIMITED,null,null,null,null,LINTER MARITIME LIMITED,LINTER MARITIME LIMITED,null,null,null,112964,LINTER MARITIME LIMITED,Blake Building Suite 302,null,null,Belize City,null,BELIZE,null
44838,73262,GBG,112539,E239B4F9-2965-EA11-A811-000D3A86A8CF,NGONI LIMITED,null,null,null,null,NGONI LIMITED,NGONI LIMITED,null,null,null,112954,NGONI LIMITED,The Grance,null,null,St Peter Port,null,GUERNSEY,GY1 2QG
44836,73260,COK,112535,2380C6EB-0F65-EA11-A811-000D3A86A8CF,OCEAN V LTD,null,null,null,null,OCEAN V LTD,OCEAN V LTD,null,null,null,112950,OCEAN V LTD,Titika Veka,null,null,Rarotonga,null,COOK ISLANDS,null
44835,73259,HKG,112529,7284D134-0665-EA11-A811-000D3A86A8CF,LUCKWAY INVESTMENT LIMITED,null,null,null,null,LUCKWAY INVESTMENT LIMITED,LUCKWAY INVESTMENT LIMITED,null,null,null,112944,LUCKWAY INVESTMENT LIMITED,25 WING WO STREET,CENTRAL,null,HONG KONG,null,HONG KONG,null
44834,73258,AUS,112526,482351AE-FD64-EA11-A811-000D3A86AD30,Escudos Verdes Pty Ltd T/as Whalesong Cruises,null,null,null,null,Escudos Verdes Pty Ltd T/as Whalesong Cruises,Escudos Verdes Pty Ltd T/as Whalesong Cruises,null,null,null,112941,Escudos Verdes Pty Ltd T/as Whalesong Cruises,Great Sandy Straits Marina Terminal Building,null,null,Urangan,QLD ,AUSTRALIA,4655
44833,73257,LKA,112525,98B3A976-FA64-EA11-A811-000D3A86A8CF,Sharaf Shipping Agency (PVT) Ltd,null,null,null,null,Sharaf Shipping Agency (PVT) Ltd,Sharaf Shipping Agency (PVT) Ltd,null,null,null,112940,Sharaf Shipping Agency (PVT) Ltd,Robert Senanayake Building,#46/5,Nawam Mawatha,Colombo 02,null,SRI LANKA,null
44832,73256,MYS,112521,56976F34-CA64-EA11-A811-000D3A86AD30,Pan Marine Shipping Sdn Bhd,null,null,null,null,Pan Marine Shipping Sdn Bhd,Pan Marine Shipping Sdn Bhd,sally.lau@sapor.com.my,null,null,112936,Pan Marine Shipping Sdn Bhd,3rd Floor,Chengal Road,null,Sibu ,Sarawak,MALAYSIA,96000
44829,73253,FRA,112494,D58B86CD-7964-EA11-A811-000D3A86AD30,LA CARLINE SARL ,null,null,null,null,LA CARLINE SARL ,LA CARLINE SARL ,null,null,null,112909,LA CARLINE SARL ,null,null,null,SAVINES LE LAC,null,FRANCE,05160 
44828,73252,MLT,112493,343FF1C5-7764-EA11-A811-000D3A86A8CF,All Ocean Limited,null,null,null,null,All Ocean Limited,All Ocean Limited,null,null,null,112908,All Ocean Limited,null,null,null,Valletta,null,MALTA,VLT 1455
44826,73250,CYM,112491,2709D36C-6964-EA11-A811-000D3A86AD30,SEVEN LIMITED,null,null,null,null,SEVEN LIMITED,SEVEN LIMITED,null,null,null,112906,SEVEN LIMITED,P.O. BOX 309,GEORGE TOWN,null,GRAND CAYMAN,null,CAYMAN ISLANDS,null
44820,73244,BEL,112481,71B70B7A-4864-EA11-A811-000D3A86A8CF,Philippe Charles de Moerloose ,null,null,null,null,Philippe Charles de Moerloose ,Philippe Charles de Moerloose ,null,null,null,112896,Philippe Charles de Moerloose ,null,null,null,Wavre,null,BELGIUM,1300
44818,73242,PAN,112477,00000000-0000-0000-0000-000000000000,SOLAR INVESTMENTS LIMITED CORP.,null,null,null,null,SOLAR INVESTMENTS LIMITED CORP.,SOLAR INVESTMENTS LIMITED CORP.,null,null,null,112892,SOLAR INVESTMENTS LIMITED CORP.,18TH FLOOR SUITE 1801,50TH STREET,null,PANAMA,null,REPUBLIC OF PANAMA,null
44817,73241,VGB,112472,8CF8C528-AC63-EA11-A811-000D3A86A8CF,Anchorage Marine Ventures Limited,null,null,null,null,Anchorage Marine Ventures Limited,Anchorage Marine Ventures Limited,null,null,null,112887,Anchorage Marine Ventures Limited,P.O. Box 4493,Road Town,null,Tortola,null,BRITISH VIRGIN ISLANDS,null
44815,73239,MHL,112470,218E9471-A263-EA11-A811-000D3A86AD30,MYSTERYSEA MARITIME INVESTMENTS CORPORATION,null,null,null,null,MYSTERYSEA MARITIME INVESTMENTS CORPORATION,MYSTERYSEA MARITIME INVESTMENTS CORPORATION,null,null,null,112885,MYSTERYSEA MARITIME INVESTMENTS CORPORATION,Ajeltake Road,Ajeltake Island,null,Majuro,null,MARSHALL ISLANDS,null
44813,73237,GRC,112468,B947EB93-8E63-EA11-A811-000D3A86AD30,SUNRISE OIA M.C.P.Y.,null,null,null,null,SUNRISE OIA M.C.P.Y.,SUNRISE OIA M.C.P.Y.,null,null,null,112883,SUNRISE OIA M.C.P.Y.,null,null,null,Thira,null,GREECE,null
44812,73236,MLT,112467,319D3E8A-8B63-EA11-A811-000D3A86A8CF,BLUE FUN COMPANY LTD,null,null,null,null,BLUE FUN COMPANY LTD,BLUE FUN COMPANY LTD,null,null,null,112882,BLUE FUN COMPANY LTD,STRAIT STREET,null,null,VALLETTA,null,MALTA,VLT 1436
44811,73235,USA,112466,2AE000B3-8863-EA11-A811-000D3A86AD30,CLUB M YACHTING LTD,null,null,null,null,CLUB M YACHTING LTD,CLUB M YACHTING LTD,null,null,null,112881,CLUB M YACHTING LTD,45TH FLOOR,null,null,NEW YORK,NEW YORK,UNITED STATES OF AMERICA,10019
44809,73233,USA,112460,7E5C6B62-8063-EA11-A811-000D3A86AD30,GAF Yachting LLC,null,null,null,null,GAF Yachting LLC,GAF Yachting LLC,null,null,null,112875,GAF Yachting LLC,null,null,null,Boca Raton,null,UNITED STATES OF AMERICA,FL 33432
44801,73225,IDN,112445,0C27D6A2-3963-EA11-A811-000D3A86A8CF,PT PELAYARAN BAHARIMAS KALIMANTAN,null,null,null,null,PT PELAYARAN BAHARIMAS KALIMANTAN,PT PELAYARAN BAHARIMAS KALIMANTAN,null,null,null,112860,PT PELAYARAN BAHARIMAS KALIMANTAN,null,null,null,null,null,INDONESIA,null
44798,73222,GRC,112433,00000000-0000-0000-0000-000000000000,Nikoloas Liparos,null,null,null,null,Nikoloas Liparos,Nikoloas Liparos,nikliparos1@gmail.com,2271028978 ,null,112848,Nikoloas Liparos,null,null,null,Chios island,null,GREECE,null
44795,73219,MHL,112428,B4A98A87-DB62-EA11-A811-000D3A86AD30,Seahorse Denizcilik ve Muhendislik Tic. Ltd. Sti.,null,null,null,null,Seahorse Denizcilik ve Muhendislik Tic. Ltd. Sti.,Seahorse Denizcilik ve Muhendislik Tic. Ltd. Sti.,null,null,null,112843,Seahorse Denizcilik ve Muhendislik Tic. Ltd. Sti.,AJELTAKE ROAD,AJELTAKE ISLAND,null,MAJURO,null,MARSHALL ISLANDS,null
44794,73218,MLT,112427,C9BEC177-D862-EA11-A811-000D3A86A8CF,Lady Marcelle LTD,null,null,null,null,Lady Marcelle LTD,Lady Marcelle LTD,null,null,null,112842,Lady Marcelle LTD,null,null,null,Gzira,null,MALTA,null
44793,73217,NAM,112425,BFB68A92-C162-EA11-A811-000D3A86AD30,Tripp Seamount (Pty) Ltd,null,null,null,null,Tripp Seamount (Pty) Ltd,Tripp Seamount (Pty) Ltd,null,null,null,112840,Tripp Seamount (Pty) Ltd,null,null,null,Walvis Bay,null,NAMIBIA REPUBLIC OF,null
44792,73216,USA,112424,FE7A0BAE-C062-EA11-A811-000D3A86AD30,GLOWRANGE LTD,null,null,null,null,GLOWRANGE LTD,GLOWRANGE LTD,null,null,null,112839,GLOWRANGE LTD,null,null,null,SAN DIEGO,California,UNITED STATES OF AMERICA,92105
44787,73211,USA,112416,7D4B0EBF-B162-EA11-A811-000D3A86A8CF,Pari Passu Ltd.,null,null,null,null,Pari Passu Ltd.,Pari Passu Ltd.,null,null,null,112831,Pari Passu Ltd.,1535 SE 17th Street Suite 208,null,null,Fort Lauderdale,null,UNITED STATES OF AMERICA,FL 33316
44786,73210,USA,112415,AD181611-B062-EA11-A811-000D3A86AD30,Blank Check Sportfishing LLC,null,null,null,null,Blank Check Sportfishing LLC,Blank Check Sportfishing LLC,null,null,null,112830,Blank Check Sportfishing LLC,Tampa,null,null,FL 33609,null,UNITED STATES OF AMERICA,null
