SQL_Id,SQL_TypeId,SQL_Reference,SQL_CurrentStatus,SQL_StorageId,SQL_IsRenewal,SQL_IsYacht,SQL_RiskId,SQL_VesselId,SQL_PolicyId,SQL_MemberPartyId,SQL_OwnerPartyId,SQL_BrokerPartyId,SQL_TradingCertificateVersion,SQL_RiskReference,SQL_VesselReference,SQL_PolicyReference,SQL_MemberReference,SQL_MemberType,SQL_MemberName,SQL_OwnerDomicile,SQL_OwnerEmailAddress,SQL_OwnerReference,SQL_OwnerName,SQL_BrokerReference,SQL_BrokerName,SQL_BrokerEmailAddress,SQL_PolicyYear,SQL_EmailAddress,SQL_CurrencyCode,SQL_SignatoryState_Id,SQL_VesselName,SQL_VesselFlag,SQL_VesselType,SQL_VesselTypeName,SQL_PassengerCapacity,SQL_IMONumber,SQL_EngineHorsePower,SQL_TradeMark,SQL_Model,SQL_EngineNo,SQL_TenderReferenceList,SQL_TenderOutboardReferenceList,SQL_DistinctiveNumbersOrLetters,SQL_GrossTonnage,SQL_YearBuilt,SQL_PortOfRegistry,SQL_AddressType_Id,SQL_JointAssuredName,SQL_SourceSystem
100,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
101,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
128,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
129,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
130,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
131,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
132,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
133,2,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
134,2,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
135,2,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
136,2,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
137,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
152,14,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
153,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
160,7,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,4,N/K,UTOM
196,10,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,6,N/K,UTOM
212,16,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
213,4,string,DRAFT,string,true,true,0,0,0,0,0,0,1,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,3,string,UTOM
214,4,string,DRAFT,string,true,true,0,0,0,0,0,0,2,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,3,string,UTOM
215,4,string,DRAFT,string,true,true,0,0,0,0,0,0,2,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,5,string,UTOM
216,16,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
237,21,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,7,N/K,UTOM
238,4,string,DRAFT,string,true,true,0,0,0,0,0,0,2,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,8,string,UTOM
244,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
245,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
246,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
247,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
248,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
249,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,5,N/K,UTOM
250,2,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,5,N/K,UTOM
251,3,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,4,N/K,UTOM
252,4,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,3,N/K,UTOM
253,6,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
254,7,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
255,8,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,3,N/K,UTOM
256,9,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
257,10,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
258,11,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
259,12,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,7,N/K,UTOM
260,13,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
261,14,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
262,15,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,4,N/K,UTOM
263,16,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
264,18,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,5,N/K,UTOM
265,19,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,5,N/K,UTOM
266,20,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,4,N/K,UTOM
267,21,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,5,N/K,UTOM
268,22,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
269,23,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,7,N/K,UTOM
270,24,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,3,N/K,UTOM
271,25,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,6,N/K,UTOM
272,26,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,1,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,2,N/K,UTOM
273,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
326,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
327,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
328,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,null,N/K,null,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,UTOM
356,1,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,3453466,N/K,N/K,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,PIOnline
382,11,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,3453466,N/K,N/K,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,PIOnline
384,2,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,3453466,N/K,N/K,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,1,N/K,PIOnline
391,7,123654,DRAFT,string,true,true,130179,130179,1044648,112673,0,1,2,682637,682637,1044648,73328,N/K,Test3Member Variation1,N/K,N/K,N/K,N/K,104,POST & CO (P & I),claims@post-co.com,2022,string,USD,263,Test3Policy Risk,ITALY,YA,YACHT CHARTER 13+ PAX,0,3453466,N/K,N/K,N/K,N/K,N/K,N/K,f56,2500,2012,TRIESTE,4,N/K,PIOnline
