SQL_ApplicationId,API_ApplicationId,SQL_ApplicationReference,API_ApplicationReference,SQL_BrokerId,API_BrokerId,SQL_MemberId,API_MemberId,SQL_MemberReference,API_MemberReference,SQL_MemberName,API_MemberName,SQL_Discriminator,API_ApplicationType,SQL_EmailAddress,API_ApplicationUnderwriterEmail,SQL_PolicyStartDate,API_PolicyStartDate,SQL_PolicyEndDate,API_PolicyEndDate,SQL_IsRenewalApplication,API_IsRenewalApplication,API_ApplicationProductType,API_ApplicationFirstTransaction,API_BrokerReference,API_BrokerName,Test Case Status
76169,76169,1044644,1044644,780,780,44903,44903,73327,73327,Test2Member Altered,Test2Member Altered,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-03-01 12:00:00 +00:00,2021-03-01T12:00:00+00:00,2022-03-01 12:00:00 +00:00,2022-03-01T12:00:00+00:00,false,false,YACHT,275068,104,POST & CO (P & I),Test Case passed
76168,76168,1044643,1044643,780,780,44903,44903,73327,73327,Test2Member Altered,Test2Member Altered,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,YACHT,275066,104,POST & CO (P & I),Test Case passed
76167,76167,1044643,1044643,780,780,44903,44903,73327,73327,Test2Member Altered,Test2Member Altered,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,YACHT,275063,104,POST & CO (P & I),Test Case passed
76166,76166,1044642,1044642,780,780,44902,44902,73326,73326,Test1Member Updated,Test1Member Updated,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,2022-12-01 12:00:00 +00:00,2022-12-01T12:00:00+00:00,false,true,YACHT,0,104,POST & CO (P & I),Test Case passed
76164,76164,1044641,1044641,780,780,44902,44902,73326,73326,Test1Member Updated,Test1Member Updated,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,false,false,YACHT,275053,104,POST & CO (P & I),Test Case passed
76163,76163,1044640,1044640,780,780,44902,44902,73326,73326,Test1Member Updated,Test1Member Updated,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,false,false,YACHT,275051,104,POST & CO (P & I),Test Case passed
76162,76162,1044640,1044640,780,780,44902,44902,73326,73326,Test1Member Updated,Test1Member Updated,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,false,false,YACHT,275048,104,POST & CO (P & I),Test Case passed
76161,76161,1044636,1044636,780,780,44900,44900,73324,73324,Member For1044636,Member For1044636,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,275040,104,POST & CO (P & I),Test Case passed
76160,76160,1044635,1044635,780,780,44899,44899,73323,73323,Member For1044635,Member For1044635,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,275038,104,POST & CO (P & I),Test Case passed
76159,76159,1044634,1044634,780,780,44898,44898,73322,73322,Member For1044634,Member For1044634,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,false,false,P&I,275036,104,POST & CO (P & I),Test Case passed
76158,76158,1044633,1044633,780,780,44897,44897,73321,73321,Member For1044633,Member For1044633,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,false,false,P&I,275034,104,POST & CO (P & I),Test Case passed
76157,76157,1044639,1044639,780,780,44901,44901,73325,73325,Member for PartyCheck,Member for PartyCheck,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-01-19 12:00:00 +00:00,2021-01-19T12:00:00+00:00,2022-01-19 12:00:00 +00:00,2022-01-19T12:00:00+00:00,false,true,YACHT,275024,104,POST & CO (P & I),Test Case passed
76155,76155,1044638,1044638,780,780,44901,44901,73325,73325,Member for PartyCheck,Member for PartyCheck,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-10-21 12:00:00 +00:00,2020-10-21T12:00:00+00:00,2021-01-19 12:00:00 +00:00,2021-01-19T12:00:00+00:00,false,false,YACHT,275013,104,POST & CO (P & I),Test Case passed
76154,76154,1044638,1044638,780,780,44901,44901,73325,73325,Member for PartyCheck,Member for PartyCheck,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-10-21 12:00:00 +00:00,2020-10-21T12:00:00+00:00,2021-01-19 12:00:00 +00:00,2021-01-19T12:00:00+00:00,false,false,YACHT,275008,104,POST & CO (P & I),Test Case passed
76150,76150,1044606,1044606,780,780,44888,44888,73312,73312,Member For155071,Member For155071,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,false,false,YACHT,274994,104,POST & CO (P & I),Test Case passed
76149,76149,1044636,1044636,780,780,44900,44900,73324,73324,Member For1044636,Member For1044636,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,274986,104,POST & CO (P & I),Test Case passed
76148,76148,1044635,1044635,780,780,44899,44899,73323,73323,Member For1044635,Member For1044635,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,274978,104,POST & CO (P & I),Test Case passed
76147,76147,1044634,1044634,780,780,44898,44898,73322,73322,Member For1044634,Member For1044634,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,false,false,P&I,274969,104,POST & CO (P & I),Test Case passed
76146,76146,1044633,1044633,780,780,44897,44897,73321,73321,Member For1044633,Member For1044633,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,false,false,P&I,274961,104,POST & CO (P & I),Test Case passed
76145,76145,1044632,1044632,780,780,44896,44896,73320,73320,NewMember For1044632,NewMember For1044632,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,274956,104,POST & CO (P & I),Test Case passed
76144,76144,1044632,1044632,780,780,44896,44896,73320,73320,NewMember For1044632,NewMember For1044632,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,274951,104,POST & CO (P & I),Test Case passed
76143,76143,1044631,1044631,780,780,44889,44889,73313,73313,Member For1044613,Member For1044613,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,false,true,P&I,0,104,POST & CO (P & I),Test Case passed
76141,76141,1044630,1044630,780,780,44895,44895,73319,73319,RevisedMember Name1044630,RevisedMember Name1044630,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,false,false,P&I,274933,104,POST & CO (P & I),Test Case passed
76140,76140,1044630,1044630,780,780,44895,44895,73319,73319,RevisedMember Name1044630,RevisedMember Name1044630,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,false,false,P&I,274930,104,POST & CO (P & I),Test Case passed
76139,76139,1044629,1044629,780,780,44891,44891,73315,73315,Member For1044615,Member For1044615,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,false,true,P&I,0,104,POST & CO (P & I),Test Case passed
76137,76137,1044628,1044628,780,780,44894,44894,73318,73318,Updated Member Name,Updated Member Name,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-10-10 12:00:00 +00:00,2020-10-10T12:00:00+00:00,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,false,false,YACHT,274911,104,POST & CO (P & I),Test Case passed
76136,76136,1044628,1044628,780,780,44894,44894,73318,73318,Updated Member Name,Updated Member Name,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-10-10 12:00:00 +00:00,2020-10-10T12:00:00+00:00,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,false,false,YACHT,274906,104,POST & CO (P & I),Test Case passed
76135,76135,1044627,1044627,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,false,true,YACHT,0,104,POST & CO (P & I),Test Case passed
76134,76134,1044626,1044626,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,false,true,P&I,0,104,POST & CO (P & I),Test Case passed
76127,76127,1044623,1044623,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,YACHT,274886,104,POST & CO (P & I),Test Case passed
76126,76126,1044623,1044623,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,YACHT,274885,104,POST & CO (P & I),Test Case passed
76125,76125,1044622,1044622,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274883,104,POST & CO (P & I),Test Case passed
76124,76124,1044622,1044622,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274882,104,POST & CO (P & I),Test Case passed
76123,76123,1044621,1044621,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274880,104,POST & CO (P & I),Test Case passed
76122,76122,1044621,1044621,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274876,104,POST & CO (P & I),Test Case passed
76121,76121,1044620,1044620,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,YACHT,274874,104,POST & CO (P & I),Test Case passed
76120,76120,1044620,1044620,780,780,44893,44893,73317,73317,MemberFor RenewalOne,MemberFor RenewalOne,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,YACHT,274869,104,POST & CO (P & I),Test Case passed
76119,76119,1044619,1044619,780,780,44892,44892,73316,73316,Member For1044616 ,Member For1044616 ,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,YACHT,274867,104,POST & CO (P & I),Test Case passed
76118,76118,1044619,1044619,780,780,44892,44892,73316,73316,Member For1044616 ,Member For1044616 ,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,YACHT,274864,104,POST & CO (P & I),Test Case passed
76117,76117,1044618,1044618,780,780,44892,44892,73316,73316,Member For1044616 ,Member For1044616 ,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,274862,104,POST & CO (P & I),Test Case passed
76116,76116,1044618,1044618,780,780,44892,44892,73316,73316,Member For1044616 ,Member For1044616 ,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,274861,104,POST & CO (P & I),Test Case passed
76115,76115,1044617,1044617,780,780,44892,44892,73316,73316,Member For1044616 ,Member For1044616 ,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,274859,104,POST & CO (P & I),Test Case passed
76114,76114,1044617,1044617,780,780,44892,44892,73316,73316,Member For1044616 ,Member For1044616 ,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,274858,104,POST & CO (P & I),Test Case passed
76113,76113,1044616,1044616,780,780,44892,44892,73316,73316,Member For1044616 ,Member For1044616 ,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,YACHT,274856,104,POST & CO (P & I),Test Case passed
76112,76112,1044616,1044616,780,780,44892,44892,73316,73316,Member For1044616 ,Member For1044616 ,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,YACHT,274848,104,POST & CO (P & I),Test Case passed
76111,76111,1044615,1044615,780,780,44891,44891,73315,73315,Member For1044615,Member For1044615,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274846,104,POST & CO (P & I),Test Case passed
76110,76110,1044615,1044615,780,780,44891,44891,73315,73315,Member For1044615,Member For1044615,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274843,104,POST & CO (P & I),Test Case passed
76109,76109,1044614,1044614,780,780,44890,44890,73314,73314,Member For1044614,Member For1044614,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274841,104,POST & CO (P & I),Test Case passed
76108,76108,1044614,1044614,780,780,44890,44890,73314,73314,Member For1044614,Member For1044614,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274836,104,POST & CO (P & I),Test Case passed
76107,76107,1044613,1044613,780,780,44889,44889,73313,73313,Member For1044613,Member For1044613,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274834,104,POST & CO (P & I),Test Case passed
76106,76106,1044613,1044613,780,780,44889,44889,73313,73313,Member For1044613,Member For1044613,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274828,104,POST & CO (P & I),Test Case passed
76105,76105,1044612,1044612,780,780,44888,44888,73312,73312,Member For155071,Member For155071,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274826,104,POST & CO (P & I),Test Case passed
76104,76104,1044612,1044612,780,780,44888,44888,73312,73312,Member For155071,Member For155071,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,false,false,P&I,274821,104,POST & CO (P & I),Test Case passed
76103,76103,1044611,1044611,780,780,44888,44888,73312,73312,Member For155071,Member For155071,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,YACHT,274816,104,POST & CO (P & I),Test Case passed
76102,76102,1044610,1044610,780,780,44888,44888,73312,73312,Member For155071,Member For155071,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,false,false,P&I,274814,104,POST & CO (P & I),Test Case passed
76101,76101,1044609,1044609,780,780,44888,44888,73312,73312,Member For155071,Member For155071,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,false,false,P&I,274810,104,POST & CO (P & I),Test Case passed
76100,76100,1044608,1044608,780,780,44888,44888,73312,73312,Member For155071,Member For155071,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,false,false,P&I,274808,104,POST & CO (P & I),Test Case passed
76099,76099,1044607,1044607,780,780,44888,44888,73312,73312,Member For155071,Member For155071,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,false,false,P&I,274807,104,POST & CO (P & I),Test Case passed
76098,76098,1044606,1044606,780,780,44888,44888,73312,73312,Member For155071,Member For155071,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,false,false,YACHT,274799,104,POST & CO (P & I),Test Case passed
