SQL_MemberId,API_MemberId,SQL_MemberReference,API_MemberReference,SQL_Domicile,API_Domicile,SQL_Party_Id,API_Party_Id,SQL_CrmIdentifier,API_CrmIdentifier,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_Name,API_Name,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_AddressID,API_AddressID,SQL_Name,API_Name,SQL_Line1,API_Line1,SQL_Line2,API_Line2,SQL_Line3,API_Line3,SQL_City,API_City,SQL_StateOrProvince,API_StateOrProvince,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Status
44885,44885,73309,73309,DZA,AFG,112629,112629,9CB6267D-53A5-4A8B-A70B-73DF34761F90,9cb6267d-53a5-4a8b-a70b-73df34761f90,bob,bob,null,null,null,null,null,null,null,null,bob,23,bob,bob,null,null,null,null,null,null,113044,113044,bob,bob,null,null,null,null,null,null,Birmingham,Birmingham,null,null,ALGERIA,ALGERIA,null,null,Test Case is Failed
44884,44884,73308,73308,USA,USA,112626,112626,05D73F48-FC40-40C3-9606-FB0464EB4D0A,05d73f48-fc40-40c3-9606-fb0464eb4d0a,FirstUpdate Member,FirstUpdate Member,null,null,null,null,null,null,null,null,FirstUpdate Member,OriginalName Member Add Name,FirstUpdate Member,FirstUpdate Member,null,null,null,null,null,null,113041,113041,FirstUpdate Member,FirstUpdate Member,OriginalName Member L1,OriginalName Member L1,OriginalName Member L2,OriginalName Member L2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,565464,565464,Test Case is Passed
44883,44883,73307,73307,USA,USA,112623,112623,BA8569C0-F2C7-4704-99F0-49054C51CCF2,ba8569c0-f2c7-4704-99f0-49054c51ccf2,NewMember For155070,NewMember For155070,null,null,null,null,null,null,null,null,NewMember For155070,NewMember For155070 Add Name,NewMember For155070,NewMember For155070,null,null,null,null,null,null,113038,113038,NewMember For155070,NewMember For155070,NewMember For155070 L1,NewMember For155070 L1,NewMember For155070 L2,NewMember For155070 L2,null,null,Bham,Bham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,324554,324554,Test Case is Passed
44882,44882,73306,73306,GBR,GBR,112622,112622,620D0B0D-ED19-43F6-8141-5DACD4307C5F,620d0b0d-ed19-43f6-8141-5dacd4307c5f,NewMember ForAPI,NewMember ForAPI,null,null,null,null,null,null,null,null,NewMember ForAPI,NewMember ForAPI AddName,NewMember ForAPI,NewMember ForAPI,null,null,null,null,null,null,113037,113037,NewMember ForAPI,NewMember ForAPI,NewMember ForAPI L1,NewMember ForAPI L1,NewMember ForAPI L2,NewMember ForAPI L2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case is Passed
44881,44881,73305,73305,GBR,GBR,112620,112620,D1782C2F-4877-4C8E-B317-17E15AA48079,d1782c2f-4877-4c8e-b317-17e15aa48079,New MemberFINAL,New MemberFINAL,null,null,null,null,null,null,null,null,New MemberFINAL,New MemberWORK Add Name,New MemberFINAL,New MemberFINAL,null,null,null,null,null,null,113035,113035,New MemberFINAL,New MemberFINAL,New MemberWORK L1,New MemberWORK L1,New MemberWORK L2,New MemberWORK L2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case is Passed
44880,44880,73304,73304,GBR,GBR,112618,112618,02F16FF0-9987-4B6E-84CE-5E022CD3BD29,02f16ff0-9987-4b6e-84ce-5e022cd3bd29,New4 Safety,New4 Safety,null,null,null,null,null,null,null,null,New4 Safety,New4 Safety Add Name,New4 Safety,New4 Safety,null,null,null,null,null,null,113033,113033,New4 Safety,New4 Safety,New4 Safety L1,New4 Safety L1,New4 Safety L2,New4 Safety L2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case is Passed
44879,44879,73303,73303,USA,IND,112616,112616,5D880F95-44FE-461E-BC1F-ABB80AD6E839,5d880f95-44fe-461e-bc1f-abb80ad6e839,Day0_MemberByRef,Day0_MemberByRef,null,null,null,null,null,null,null,null,Day0_MemberByRef,LPK 201,Day0_MemberByRef,Day0_MemberByRef,daywise@memberbyref.com,daywise@memberbyref.com,+19839829829,+19839829829,null,null,113031,113031,Day0_MemberByRef,Day0_MemberByRef,E Street,E Street,greta road,greta road,Eastern site,Eastern site,NY,NY,NYC,NYC,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,9029,9029,Test Case is Failed
44878,44878,73302,73302,IND,PER,112614,112614,5DB82152-590B-41F0-92FB-33DF77097668,5db82152-590b-41f0-92fb-33df77097668,Day3_Member,Day3_Member,null,null,null,null,null,null,null,null,Day3_Member,Day0_AddressName,Day3_Member,Day3_Member,day0@day0.com,day0@day0.com,900000000,900000000,800000000,800000000,113029,113029,Day3_Member,Day3_Member,Day0_Line1,Day0_Line1,Day0_Line2,Day0_Line2,Day0_Line3,Day0_Line3,Day0_City,Day0_City,Day0_State,Day0_State,INDIA,INDIA,100000,100000,Test Case is Failed
44877,44877,73301,73301,ARE,ARE,112613,112613,CB62B85D-EC5E-4330-A182-F042A8E75AC6,cb62b85d-ec5e-4330-a182-f042a8e75ac6,NoRiskMember,NoRiskMember,null,null,null,null,null,null,null,null,NoRiskMember,NoRiskMemberAddress,NoRiskMember,NoRiskMember,NoRiskMember@NoRiskMember.com,NoRiskMember@NoRiskMember.com,908765789,908765789,908765789,908765789,113028,113028,NoRiskMember,NoRiskMember,NoRiskMemberL1,NoRiskMemberL1,NoRiskMemberL2,NoRiskMemberL2,NoRiskMemberL3,NoRiskMemberL3,NoRiskMemberCity,NoRiskMemberCity,NoRiskMemberState,NoRiskMemberState,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,87655789,87655789,Test Case is Passed
44876,44876,73300,73300,IND,DEU,112612,112612,9B330E04-9640-4C4A-B795-4E89E72160B6,9b330e04-9640-4c4a-b795-4e89e72160b6,Day3APIMember,Day3APIMember,null,null,null,null,null,null,null,null,Day3APIMember,Day3Name,Day3APIMember,Day3APIMember,Day3apimember@api.com,Day3apimember@api.com,7000000003,7000000003,8000000003,8000000003,113027,113027,Day3APIMember,Day3APIMember,Day3APILine1,Day3APILine1,Day3APILine2,Day3APILine2,Day3APILine3,Day3APILine3,Day3APICity,Day3APICity,Day3APICountryState,Day3APICountryState,INDIA,INDIA,900003,900003,Test Case is Failed
44875,44875,73299,73299,GBR,GBR,112605,112605,B7D56988-B75A-418B-8DEB-B3C7CA004E3D,b7d56988-b75a-418b-8deb-b3c7ca004e3d,Member 07Sept1150,Member 07Sept1150,null,null,null,null,null,null,null,null,Member 07Sept1150,Member 07Sept1150 AddNAme,Member 07Sept1150,Member 07Sept1150,null,null,null,null,null,null,113020,113020,Member 07Sept1150,Member 07Sept1150,Member 07Sept1150L1,Member 07Sept1150L1,Member 07Sept1150L2,Member 07Sept1150L2,null,null,Lancaster,Lancaster,null,null,UNITED KINGDOM,UNITED KINGDOM,LA1 1LA,LA1 1LA,Test Case is Passed
44874,44874,73298,73298,IND,DEU,112604,112604,D9420890-3EBF-4DBA-94A6-82212B26EFD7,d9420890-3ebf-4dba-94a6-82212b26efd7,Day3TestMember,Day3TestMember,null,null,null,null,null,null,null,null,Day3TestMember,Day3Name,Day3TestMember,Day3TestMember,Test3@Test3.com,Test3@Test3.com,7000000003,7000000003,8000000003,8000000003,113019,113019,Day3TestMember,Day3TestMember,Day3Line1,Day3Line1,Day3Line2,Day3Line2,Day3Line3,Day3Line3,Day3City,Day3City,Day3Country,Day3Country,INDIA,INDIA,900003,900003,Test Case is Failed
44873,44873,73297,73297,GBR,GBR,112603,112603,C18DE539-04F7-44AD-B4DA-DD0F25F6C874,c18de539-04f7-44ad-b4da-dd0f25f6c874,Member 02Sep1450,Member 02Sep1450,null,null,null,null,null,null,null,null,Member 02Sep1450,Member 02Sep1450 AddName,Member 02Sep1450,Member 02Sep1450,null,null,null,null,null,null,113018,113018,Member 02Sep1450,Member 02Sep1450,Member 02Sep1450 L1,Member 02Sep1450 L1,Member 02Sep1450 L2,Member 02Sep1450 L2,null,null,Ripon,Ripon,North Yorkshire,North Yorkshire,UNITED KINGDOM,UNITED KINGDOM,Y1 1YY,Y1 1YY,Test Case is Passed
44872,44872,73296,73296,GBR,GBR,112602,112602,ACA2E5FA-7A30-4DAB-95CF-A1D43229F979,aca2e5fa-7a30-4dab-95cf-a1d43229f979,Member 01Sep1033,Member 01Sep1033,null,null,null,null,null,null,null,null,Member 01Sep1033,Member 01Sep1033AddName,Member 01Sep1033,Member 01Sep1033,Joe@MEssing.com,Joe@MEssing.com,+445588556,+445588556,+44557788996,+44557788996,113017,113017,Member 01Sep1033,Member 01Sep1033,Member 01Sep1033L1,Member 01Sep1033L1,Member 01Sep1033L2,Member 01Sep1033L2,null,null,Edinburgh,Edinburgh,Fife,Fife,UNITED KINGDOM,UNITED KINGDOM,E1 1EE,E1 1EE,Test Case is Passed
44871,44871,73295,73295,IND,IND,112599,112599,D0903A1B-7698-4D69-B53D-AB7DA152C792,d0903a1b-7698-4d69-b53d-ab7da152c792,MyMember,MyMember,null,null,null,null,null,null,null,null,MyMember,MyMemberAddressName,MyMember,MyMember,MyMember@MyMember.com,MyMember@MyMember.com,8989898989,8989898989,987889786,987889786,113014,113014,MyMember,MyMember,MyMember_Line1,MyMember_Line1,MyMember_Line2,MyMember_Line2,MyMember_Line3,MyMember_Line3,MyMember_City,MyMember_City,MyMember_State,MyMember_State,INDIA,INDIA,909090,909090,Test Case is Passed
44870,44870,73294,73294,GBR,GBR,112598,112598,D2813AB6-FB95-44FD-8B1E-8D486AFF7A95,d2813ab6-fb95-44fd-8b1e-8d486aff7a95,NewMem 27Aug1415,NewMem 27Aug1415,null,null,null,null,null,null,null,null,NewMem 27Aug1415,NewMem 27Aug1415 AddName,NewMem 27Aug1415,NewMem 27Aug1415,There@elsewhere.com,There@elsewhere.com,+445511225,+445511225,+4488554226,+4488554226,113013,113013,NewMem 27Aug1415,NewMem 27Aug1415,NewMem 27Aug1415 L1,NewMem 27Aug1415 L1,NewMem 27Aug1415 L2,NewMem 27Aug1415 L2,null,null,Leeds,Leeds,West Yorkshore,West Yorkshore,UNITED KINGDOM,UNITED KINGDOM,L1 LSA,L1 LSA,Test Case is Passed
44869,44869,73293,73293,GBR,GBR,112595,112595,2982C290-6FA3-4844-ABEC-1ADA50E5F828,2982c290-6fa3-4844-abec-1ada50e5f828,MemCreated 26Aug1421,MemCreated 26Aug1421,null,null,null,null,null,null,null,null,MemCreated 26Aug1421,MemCreated 26Aug1421 AddName,MemCreated 26Aug1421,MemCreated 26Aug1421,there@here.com,there@here.com,+445588996,+445588996,+44115577885,+44115577885,113010,113010,MemCreated 26Aug1421,MemCreated 26Aug1421,MemCreated 26Aug1421 L1,MemCreated 26Aug1421 L1,MemCreated 26Aug1421 L2,MemCreated 26Aug1421 L2,null,null,Derby,Derby,Derbyshire,Derbyshire,UNITED KINGDOM,UNITED KINGDOM,D1 1DD,D1 1DD,Test Case is Passed
44868,44868,73292,73292,GBR,GBR,112594,112594,FFFEBB30-296F-439F-A803-3DFE14B95F68,fffebb30-296f-439f-a803-3dfe14b95f68,mem 26 Aug 1259,mem 26 Aug 1259,null,null,null,null,null,null,null,null,mem 26 Aug 1259,mem 26 Aug 1259 an,mem 26 Aug 1259,mem 26 Aug 1259,null,null,null,null,null,null,113009,113009,mem 26 Aug 1259,mem 26 Aug 1259,mem 26 Aug 1259 l1,mem 26 Aug 1259 l1,mem 26 Aug 1259 l2,mem 26 Aug 1259 l2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7 Hg,B37 7 Hg,Test Case is Passed
44867,44867,73291,73291,GBR,GBR,112593,112593,B4A64FE8-4119-40E5-8C20-CF787CA71948,b4a64fe8-4119-40e5-8c20-cf787ca71948,Member 26Aug1154,Member 26Aug1154,null,null,null,null,null,null,null,null,Member 26Aug1154,Member 26Aug1154 AddName,Member 26Aug1154,Member 26Aug1154,ai@o.com,ai@o.com,+44771144558,+44771144558,+44558899662,+44558899662,113008,113008,Member 26Aug1154,Member 26Aug1154,Member 26Aug1154 L1,Member 26Aug1154 L1,Member 26Aug1154 l2,Member 26Aug1154 l2,null,null,Birmingham,Birmingham,West Mids,West Mids,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case is Passed
44866,44866,73290,73290,IND,DNK,112591,112591,56D45452-B8E3-451A-A226-932086EB47A5,56d45452-b8e3-451a-a226-932086eb47a5,Suraj Member,Suraj Member,null,null,null,null,null,null,null,null,Suraj Member,MTAAddressName,Suraj Member,Suraj Member,test1@adro1.com,test1@adro1.com,9089090909,9089090909,null,null,113006,113006,Suraj Member,Suraj Member,MTALine1,MTALine1,MTALine2,MTALine2,MTALine3,MTALine3,MTACity,MTACity,MTAState,MTAState,INDIA,INDIA,411033,411033,Test Case is Failed
44865,44865,73289,73289,IND,BTN,112590,112590,745BA2F0-509E-4D87-9F89-5C5076950F2D,745ba2f0-509e-4d87-9f89-5c5076950f2d,Day3_MemberForRiskName,Day3_MemberForRiskName,null,null,null,null,null,null,null,null,Day3_MemberForRiskName,Day2_AddessName,Day3_MemberForRiskName,Day3_MemberForRiskName,day2@email.com,day2@email.com,9000000002,9000000002,2000000002,2000000002,113005,113005,Day3_MemberForRiskName,Day3_MemberForRiskName,Day2_Line1,Day2_Line1,Day2_Line2,Day2_Line2,Day2_Line3,Day2_Line3,Day2_City,Day2_City,Day2_State,Day2_State,INDIA,INDIA,200000,200000,Test Case is Failed
44864,44864,73288,73288,GBR,AUS,112392,112392,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,db7fbbff-e75f-ea11-a811-000d3a86a8cf,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,null,null,AMP Test Broker,10 Whitechapel,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,112807,112807,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,London,London,null,null,UNITED KINGDOM,UNITED KINGDOM,null,null,Test Case is Failed
44863,44863,73287,73287,GBR,BLI,112588,112588,91F58FCC-7621-42CD-AB14-2F5EDCBC66D2,91f58fcc-7621-42cd-ab14-2f5edcbc66d2,UpdatedMember_27082020,UpdatedMember_27082020,null,null,null,null,null,null,null,null,UpdatedMember_27082020,Automation New Member,UpdatedMember_27082020,UpdatedMember_27082020,mem@mem.mem,mem@mem.mem,452-125,452-125,333-444,333-444,113003,113003,UpdatedMember_27082020,UpdatedMember_27082020,ADR Line 1,ADR Line 1,ADR Line 2,ADR Line 2,null,null,London,London,null,null,UNITED KINGDOM,UNITED KINGDOM,34A PD,34A PD,Test Case is Failed
44862,44862,73286,73286,GBR,BLI,112587,112587,3D0419BE-8EFF-41B5-B88D-38EE22B3D760,3d0419be-8eff-41b5-b88d-38ee22b3d760,AutoMember_052015_190820,AutoMember_052015_190820,null,null,null,null,null,null,null,null,AutoMember_052015_190820,Automation New Member,AutoMember_052015_190820,AutoMember_052015_190820,mem@mem.mem,mem@mem.mem,452-125,452-125,333-444,333-444,113002,113002,AutoMember_052015_190820,AutoMember_052015_190820,ADR Line 1,ADR Line 1,ADR Line 2,ADR Line 2,null,null,London,London,null,null,UNITED KINGDOM,UNITED KINGDOM,34A PD,34A PD,Test Case is Failed
