SQL_ApplicationId,SQL_MemberAssuredId,API_MemberAssuredId,SQL_MemberReference,API_MemberReference,SQL_Domicile,API_Domicile,SQL_PartyId,API_PartyId,SQL_CrmIdentifier,API_CrmIdentifier,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_AddressId,API_AddressId,SQL_Name,API_Name,SQL_Line1,API_Line1,SQL_Line2,API_Line2,SQL_Line3,API_Line3,SQL_City,API_City,SQL_StateOrProvince,API_StateOrProvince,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Test Case Status
76173,44904,44904,73328,73328,CHL,USA,112673,112673,CEAD2B70-7A02-4A4C-BB55-058203B848E0,cead2b70-7a02-4a4c-bb55-058203b848e0,Test3Member Variation1,Test3Member Created,null,null,null,null,null,null,null,null,Test3Member Variation1,Test3Member Created,null,null,null,null,null,null,113088,113088,Test3Member Created AddName,Test3Member Created AddName,Test3Member Created L1,Test3Member Created L1,Test3Member Created L2,Test3Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,CHILE,UNITED STATES OF AMERICA,54734,54734,Test Case failed
76172,44903,44903,73327,73327,LCA,LCA,112672,112672,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,6a2dec72-100c-4ffb-a57c-6d1d3f6b5e4f,Test2Member Altered,Test2Member Altered,null,null,null,null,null,null,null,null,Test2Member Altered,Test2Member Altered,null,null,null,null,null,null,113087,113087,Test2Member Created AddName,Test2Member Created AddName,Test2Member Created L1,Test2Member Created L1,Test2Member Created L2,Test2Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,ST LUCIA,UNITED STATES OF AMERICA,345443,345443,Test Case failed
76170,44903,44903,73327,73327,LCA,LCA,112672,112672,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,6a2dec72-100c-4ffb-a57c-6d1d3f6b5e4f,Test2Member Altered,Test2Member Altered,null,null,null,null,null,null,null,null,Test2Member Altered,Test2Member Altered,null,null,null,null,null,null,113087,113087,Test2Member Created AddName,Test2Member Created AddName,Test2Member Created L1,Test2Member Created L1,Test2Member Created L2,Test2Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,ST LUCIA,UNITED STATES OF AMERICA,345443,345443,Test Case failed
76169,44903,44903,73327,73327,LCA,LCA,112672,112672,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,6a2dec72-100c-4ffb-a57c-6d1d3f6b5e4f,Test2Member Altered,Test2Member Altered,null,null,null,null,null,null,null,null,Test2Member Altered,Test2Member Altered,null,null,null,null,null,null,113087,113087,Test2Member Created AddName,Test2Member Created AddName,Test2Member Created L1,Test2Member Created L1,Test2Member Created L2,Test2Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,ST LUCIA,UNITED STATES OF AMERICA,345443,345443,Test Case failed
76168,44903,44903,73327,73327,LCA,LCA,112672,112672,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,6a2dec72-100c-4ffb-a57c-6d1d3f6b5e4f,Test2Member Altered,Test2Member Altered,null,null,null,null,null,null,null,null,Test2Member Altered,Test2Member Altered,null,null,null,null,null,null,113087,113087,Test2Member Created AddName,Test2Member Created AddName,Test2Member Created L1,Test2Member Created L1,Test2Member Created L2,Test2Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,ST LUCIA,UNITED STATES OF AMERICA,345443,345443,Test Case failed
76167,44903,44903,73327,73327,LCA,USA,112672,112672,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,6a2dec72-100c-4ffb-a57c-6d1d3f6b5e4f,Test2Member Altered,Test2Member Created,null,null,null,null,null,null,null,null,Test2Member Altered,Test2Member Created,null,null,null,null,null,null,113087,113087,Test2Member Created AddName,Test2Member Created AddName,Test2Member Created L1,Test2Member Created L1,Test2Member Created L2,Test2Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,ST LUCIA,UNITED STATES OF AMERICA,345443,345443,Test Case failed
76166,44902,44902,73326,73326,URY,URY,112671,112671,2CC631CD-630C-4184-89BB-E8FC62CAA581,2cc631cd-630c-4184-89bb-e8fc62caa581,Test1Member Updated,Test1Member Updated,null,null,null,null,null,null,null,null,Test1Member Updated,Test1Member Updated,null,null,null,null,null,null,113086,113086,Test1Member Created AddName,Test1Member Created AddName,Test1Member Created L1,Test1Member Created L1,Test1Member Created L2,Test1Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,URUGUAY,UNITED STATES OF AMERICA,35342,35342,Test Case failed
76165,44902,44902,73326,73326,URY,URY,112671,112671,2CC631CD-630C-4184-89BB-E8FC62CAA581,2cc631cd-630c-4184-89bb-e8fc62caa581,Test1Member Updated,Test1Member Updated,null,null,null,null,null,null,null,null,Test1Member Updated,Test1Member Updated,null,null,null,null,null,null,113086,113086,Test1Member Created AddName,Test1Member Created AddName,Test1Member Created L1,Test1Member Created L1,Test1Member Created L2,Test1Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,URUGUAY,UNITED STATES OF AMERICA,35342,35342,Test Case failed
76164,44902,44902,73326,73326,URY,URY,112671,112671,2CC631CD-630C-4184-89BB-E8FC62CAA581,2cc631cd-630c-4184-89bb-e8fc62caa581,Test1Member Updated,Test1Member Updated,null,null,null,null,null,null,null,null,Test1Member Updated,Test1Member Updated,null,null,null,null,null,null,113086,113086,Test1Member Created AddName,Test1Member Created AddName,Test1Member Created L1,Test1Member Created L1,Test1Member Created L2,Test1Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,URUGUAY,UNITED STATES OF AMERICA,35342,35342,Test Case failed
76163,44902,44902,73326,73326,URY,URY,112671,112671,2CC631CD-630C-4184-89BB-E8FC62CAA581,2cc631cd-630c-4184-89bb-e8fc62caa581,Test1Member Updated,Test1Member Updated,null,null,null,null,null,null,null,null,Test1Member Updated,Test1Member Updated,null,null,null,null,null,null,113086,113086,Test1Member Created AddName,Test1Member Created AddName,Test1Member Created L1,Test1Member Created L1,Test1Member Created L2,Test1Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,URUGUAY,UNITED STATES OF AMERICA,35342,35342,Test Case failed
76162,44902,44902,73326,73326,URY,USA,112671,112671,2CC631CD-630C-4184-89BB-E8FC62CAA581,2cc631cd-630c-4184-89bb-e8fc62caa581,Test1Member Updated,Test1Member Created,null,null,null,null,null,null,null,null,Test1Member Updated,Test1Member Created,null,null,null,null,null,null,113086,113086,Test1Member Created AddName,Test1Member Created AddName,Test1Member Created L1,Test1Member Created L1,Test1Member Created L2,Test1Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,URUGUAY,UNITED STATES OF AMERICA,35342,35342,Test Case failed
76161,44900,44900,73324,73324,USA,USA,112665,112665,ED5BD587-8C9F-48B4-B67B-0BA96914A6F9,ed5bd587-8c9f-48b4-b67b-0ba96914a6f9,Member For1044636,Member For1044636,null,null,null,null,null,null,null,null,Member For1044636,Member For1044636,null,null,null,null,null,null,113080,113080,Member For1044636 add name,Member For1044636 add name,Member For1044636 l1,Member For1044636 l1,Member For1044636 l2,Member For1044636 l2,null,null,birmingham,birmingham,alabama,alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,87689,87689,Test Case Passed
76160,44899,44899,73323,73323,USA,USA,112662,112662,CD47BC76-1925-4344-B373-01000D5FDEF5,cd47bc76-1925-4344-b373-01000d5fdef5,Member For1044635,Member For1044635,null,null,null,null,null,null,null,null,Member For1044635,Member For1044635,null,null,null,null,null,null,113077,113077,Member For1044635 add name,Member For1044635 add name,Member For1044635 l1,Member For1044635 l1,Member For1044635 l2,Member For1044635 l2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,8787,8787,Test Case Passed
76159,44898,44898,73322,73322,USA,USA,112659,112659,E2970BF6-306B-4FB2-994E-5703C5F4C045,e2970bf6-306b-4fb2-994e-5703c5f4c045,Member For1044634,Member For1044634,null,null,null,null,null,null,null,null,Member For1044634,Member For1044634,null,null,null,null,null,null,113074,113074,Member For1044634 add name,Member For1044634 add name,Member For1044634 l1,Member For1044634 l1,Member For1044634 l2,Member For1044634 l2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,b37 7hg,b37 7hg,Test Case Passed
76158,44897,44897,73321,73321,USA,USA,112656,112656,7BB66BEA-E484-425F-93E0-CD85F75E7E80,7bb66bea-e484-425f-93e0-cd85f75e7e80,Member For1044633,Member For1044633,null,null,null,null,null,null,null,null,Member For1044633,Member For1044633,null,null,null,null,null,null,113071,113071,Member For1044633 Add Name,Member For1044633 Add Name,Member For1044633 L1,Member For1044633 L1,Member For1044633 L2,Member For1044633 L2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,75778,75778,Test Case Passed
76157,44901,44901,73325,73325,USA,USA,112668,112668,32C9A59E-CCD5-4128-BC64-32F7556EE12A,32c9a59e-ccd5-4128-bc64-32f7556ee12a,Member for PartyCheck,Member for PartyCheck,null,null,null,null,null,null,null,null,Member for PartyCheck,Member for PartyCheck,null,null,null,null,null,null,113083,113083,Member for PartyCheck AddName,Member for PartyCheck AddName,Member for PartyCheck L1,Member for PartyCheck L1,Member for PartyCheck L2,Member for PartyCheck L2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,866878,866878,Test Case Passed
76156,44901,44901,73325,73325,USA,USA,112668,112668,32C9A59E-CCD5-4128-BC64-32F7556EE12A,32c9a59e-ccd5-4128-bc64-32f7556ee12a,Member for PartyCheck,Member for PartyCheck,null,null,null,null,null,null,null,null,Member for PartyCheck,Member for PartyCheck,null,null,null,null,null,null,113083,113083,Member for PartyCheck AddName,Member for PartyCheck AddName,Member for PartyCheck L1,Member for PartyCheck L1,Member for PartyCheck L2,Member for PartyCheck L2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,866878,866878,Test Case Passed
76155,44901,44901,73325,73325,USA,USA,112668,112668,32C9A59E-CCD5-4128-BC64-32F7556EE12A,32c9a59e-ccd5-4128-bc64-32f7556ee12a,Member for PartyCheck,Member for PartyCheck,null,null,null,null,null,null,null,null,Member for PartyCheck,Member for PartyCheck,null,null,null,null,null,null,113083,113083,Member for PartyCheck AddName,Member for PartyCheck AddName,Member for PartyCheck L1,Member for PartyCheck L1,Member for PartyCheck L2,Member for PartyCheck L2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,866878,866878,Test Case Passed
76154,44901,44901,73325,73325,USA,USA,112668,112668,32C9A59E-CCD5-4128-BC64-32F7556EE12A,32c9a59e-ccd5-4128-bc64-32f7556ee12a,Member for PartyCheck,Member for PartyCheck,null,null,null,null,null,null,null,null,Member for PartyCheck,Member for PartyCheck,null,null,null,null,null,null,113083,113083,Member for PartyCheck AddName,Member for PartyCheck AddName,Member for PartyCheck L1,Member for PartyCheck L1,Member for PartyCheck L2,Member for PartyCheck L2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,866878,866878,Test Case Passed
76151,44888,44888,73312,73312,GBR,GBR,112634,112634,E99DF00E-315B-4554-909A-233673A06432,e99df00e-315b-4554-909a-233673a06432,Member For155071,Member For155071,null,null,null,null,null,null,null,null,Member For155071,Member For155071,null,null,null,null,null,null,113049,113049,Member For155071 AddName,Member For155071 AddName,Member For155071 L1,Member For155071 L1,Member For155071 L2,Member For155071 L2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case Passed
76150,44888,44888,73312,73312,GBR,GBR,112634,112634,E99DF00E-315B-4554-909A-233673A06432,e99df00e-315b-4554-909a-233673a06432,Member For155071,Member For155071,null,null,null,null,null,null,null,null,Member For155071,Member For155071,null,null,null,null,null,null,113049,113049,Member For155071 AddName,Member For155071 AddName,Member For155071 L1,Member For155071 L1,Member For155071 L2,Member For155071 L2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case Passed
76149,44900,44900,73324,73324,USA,USA,112665,112665,ED5BD587-8C9F-48B4-B67B-0BA96914A6F9,ed5bd587-8c9f-48b4-b67b-0ba96914a6f9,Member For1044636,Member For1044636,null,null,null,null,null,null,null,null,Member For1044636,Member For1044636,null,null,null,null,null,null,113080,113080,Member For1044636 add name,Member For1044636 add name,Member For1044636 l1,Member For1044636 l1,Member For1044636 l2,Member For1044636 l2,null,null,birmingham,birmingham,alabama,alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,87689,87689,Test Case Passed
76148,44899,44899,73323,73323,USA,USA,112662,112662,CD47BC76-1925-4344-B373-01000D5FDEF5,cd47bc76-1925-4344-b373-01000d5fdef5,Member For1044635,Member For1044635,null,null,null,null,null,null,null,null,Member For1044635,Member For1044635,null,null,null,null,null,null,113077,113077,Member For1044635 add name,Member For1044635 add name,Member For1044635 l1,Member For1044635 l1,Member For1044635 l2,Member For1044635 l2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,8787,8787,Test Case Passed
76147,44898,44898,73322,73322,USA,USA,112659,112659,E2970BF6-306B-4FB2-994E-5703C5F4C045,e2970bf6-306b-4fb2-994e-5703c5f4c045,Member For1044634,Member For1044634,null,null,null,null,null,null,null,null,Member For1044634,Member For1044634,null,null,null,null,null,null,113074,113074,Member For1044634 add name,Member For1044634 add name,Member For1044634 l1,Member For1044634 l1,Member For1044634 l2,Member For1044634 l2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,b37 7hg,b37 7hg,Test Case Passed
76146,44897,44897,73321,73321,USA,USA,112656,112656,7BB66BEA-E484-425F-93E0-CD85F75E7E80,7bb66bea-e484-425f-93e0-cd85f75e7e80,Member For1044633,Member For1044633,null,null,null,null,null,null,null,null,Member For1044633,Member For1044633,null,null,null,null,null,null,113071,113071,Member For1044633 Add Name,Member For1044633 Add Name,Member For1044633 L1,Member For1044633 L1,Member For1044633 L2,Member For1044633 L2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,75778,75778,Test Case Passed
76145,44896,44896,73320,73320,USA,USA,112655,112655,D2699843-2A67-4E29-984C-1DB4D429497A,d2699843-2a67-4e29-984c-1db4d429497a,NewMember For1044632,NewMember For1044632,null,null,null,null,null,null,null,null,NewMember For1044632,NewMember For1044632,null,null,null,null,null,null,113070,113070,NewMember For1044632 Add Name,NewMember For1044632 Add Name,NewMember For1044632 L1,NewMember For1044632 L1,NewMember For1044632 L2,NewMember For1044632 L2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,632743,632743,Test Case Passed
76144,44896,44896,73320,73320,USA,USA,112655,112655,D2699843-2A67-4E29-984C-1DB4D429497A,d2699843-2a67-4e29-984c-1db4d429497a,NewMember For1044632,NewMember For1044632,null,null,null,null,null,null,null,null,NewMember For1044632,NewMember For1044632,null,null,null,null,null,null,113070,113070,NewMember For1044632 Add Name,NewMember For1044632 Add Name,NewMember For1044632 L1,NewMember For1044632 L1,NewMember For1044632 L2,NewMember For1044632 L2,null,null,Birmingham,Birmingham,Alabama,Alabama,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,632743,632743,Test Case Passed
76143,44889,44889,73313,73313,GBR,GBR,112640,112640,810FBFEB-BF0D-4C04-9351-E768C52EE5A0,810fbfeb-bf0d-4c04-9351-e768c52ee5a0,Member For1044613,Member For1044613,null,null,null,null,null,null,null,null,Member For1044613,Member For1044613,null,null,null,null,null,null,113055,113055,Member For1044613 AddName,Member For1044613 AddName,Member For1044613 L1,Member For1044613 L1,Member For1044613 L2,Member For1044613 L2,null,null,Birminham,Birminham,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case Passed
76142,44889,44889,73313,73313,GBR,GBR,112640,112640,810FBFEB-BF0D-4C04-9351-E768C52EE5A0,810fbfeb-bf0d-4c04-9351-e768c52ee5a0,Member For1044613,Member For1044613,null,null,null,null,null,null,null,null,Member For1044613,Member For1044613,null,null,null,null,null,null,113055,113055,Member For1044613 AddName,Member For1044613 AddName,Member For1044613 L1,Member For1044613 L1,Member For1044613 L2,Member For1044613 L2,null,null,Birminham,Birminham,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case Passed
76141,44895,44895,73319,73319,URY,URY,112654,112654,FD951E27-7E32-4A5B-8E56-78B4EA459007,fd951e27-7e32-4a5b-8e56-78b4ea459007,RevisedMember Name1044630,RevisedMember Name1044630,null,null,null,null,null,null,null,null,RevisedMember Name1044630,RevisedMember Name1044630,null,null,null,null,null,null,113069,113069,StartMember Name1044630 AddName,StartMember Name1044630 AddName,StartMember Name1044630 L1,StartMember Name1044630 L1,StartMember Name1044630 L2,StartMember Name1044630 L2,null,null,Birmingham,Birmingham,Alabama,Alabama,URUGUAY,UNITED STATES OF AMERICA,2134342,2134342,Test Case failed
76140,44895,44895,73319,73319,URY,USA,112654,112654,FD951E27-7E32-4A5B-8E56-78B4EA459007,fd951e27-7e32-4a5b-8e56-78b4ea459007,RevisedMember Name1044630,StartMember Name1044630,null,null,null,null,null,null,null,null,RevisedMember Name1044630,StartMember Name1044630,null,null,null,null,null,null,113069,113069,StartMember Name1044630 AddName,StartMember Name1044630 AddName,StartMember Name1044630 L1,StartMember Name1044630 L1,StartMember Name1044630 L2,StartMember Name1044630 L2,null,null,Birmingham,Birmingham,Alabama,Alabama,URUGUAY,UNITED STATES OF AMERICA,2134342,2134342,Test Case failed
76139,44891,44891,73315,73315,GBR,GBR,112644,112644,D270456E-3B1F-4736-8900-838BAB8E7A6C,d270456e-3b1f-4736-8900-838bab8e7a6c,Member For1044615,Member For1044615,null,null,null,null,null,null,null,null,Member For1044615,Member For1044615,a.o.com,a.o.com,+44558855226,+44558855226,+44552211885,+44552211885,113059,113059,Member For1044615AddName,Member For1044615AddName,Member For1044615 L1`,Member For1044615 L1`,Member For1044615 L2,Member For1044615 L2,null,null,Birmingham,Birmingham,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case Passed
76138,44891,44891,73315,73315,GBR,GBR,112644,112644,D270456E-3B1F-4736-8900-838BAB8E7A6C,d270456e-3b1f-4736-8900-838bab8e7a6c,Member For1044615,Member For1044615,null,null,null,null,null,null,null,null,Member For1044615,Member For1044615,a.o.com,a.o.com,+44558855226,+44558855226,+44552211885,+44552211885,113059,113059,Member For1044615AddName,Member For1044615AddName,Member For1044615 L1`,Member For1044615 L1`,Member For1044615 L2,Member For1044615 L2,null,null,Birmingham,Birmingham,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case Passed
76137,44894,44894,73318,73318,GBR,GBR,112652,112652,6E0367F3-6D15-4687-94C3-D7771E456BCC,6e0367f3-6d15-4687-94c3-d7771e456bcc,Updated Member Name,Updated Member Name,null,null,null,null,null,null,null,null,Updated Member Name,Updated Member Name,null,null,null,null,null,null,113067,113067,Member ForMTARenewals AddName,Member ForMTARenewals AddName,Member ForMTARenewals L1,Member ForMTARenewals L1,Member ForMTARenewals L2,Member ForMTARenewals L2,null,null,Birmingham,Birmingham,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case Passed
76136,44894,44894,73318,73318,GBR,GBR,112652,112652,6E0367F3-6D15-4687-94C3-D7771E456BCC,6e0367f3-6d15-4687-94c3-d7771e456bcc,Updated Member Name,Member ForMTARenewals,null,null,null,null,null,null,null,null,Updated Member Name,Member ForMTARenewals,null,null,null,null,null,null,113067,113067,Member ForMTARenewals AddName,Member ForMTARenewals AddName,Member ForMTARenewals L1,Member ForMTARenewals L1,Member ForMTARenewals L2,Member ForMTARenewals L2,null,null,Birmingham,Birmingham,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case failed
76135,44893,44893,73317,73317,GBR,GBR,112649,112649,3BAD2FF4-2870-441B-B986-6242C959E930,3bad2ff4-2870-441b-b986-6242c959e930,MemberFor RenewalOne,MemberFor RenewalOne,null,null,null,null,null,null,null,null,MemberFor RenewalOne,MemberFor RenewalOne,null,null,null,null,null,null,113064,113064,MemberFor RenewalOne AddName,MemberFor RenewalOne AddName,MemberFor RenewalOne L1,MemberFor RenewalOne L1,MemberFor RenewalOne L2,MemberFor RenewalOne L2,null,null,Birmingham,Birmingham,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case Passed
76134,44893,44893,73317,73317,GBR,GBR,112649,112649,3BAD2FF4-2870-441B-B986-6242C959E930,3bad2ff4-2870-441b-b986-6242c959e930,MemberFor RenewalOne,MemberFor RenewalOne,null,null,null,null,null,null,null,null,MemberFor RenewalOne,MemberFor RenewalOne,null,null,null,null,null,null,113064,113064,MemberFor RenewalOne AddName,MemberFor RenewalOne AddName,MemberFor RenewalOne L1,MemberFor RenewalOne L1,MemberFor RenewalOne L2,MemberFor RenewalOne L2,null,null,Birmingham,Birmingham,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case Passed
