SQL_memberId,API_Party_memberId,SQL_memberReference,API_Party_memberReference,SQL_partyId,API_Party_partyId,SQL_crmIdentifier,API_Party_crmIdentifier,SQL_organisationName,API_Party_organisationName,SQL_salutation,API_Party_salutation,SQL_firstName,API_Party_firstName,SQL_middleName,API_Party_middleName,SQL_lastName,API_Party_lastName,SQL_emailAddress,API_Party_emailAddress,SQL_telephone,API_Party_telephone,SQL_fax,API_Party_fax,SQL_AddressId,API_AddressId,SQL_AddressName,API_Party_AddressName,SQL_Line1,API_Party_Line1,SQL_Line2,API_Party_Line2,SQL_Line3,API_Party_Line3,SQL_City,API_Party_City,SQL_StateOrProvince,API_Party_StateOrProvince,SQL_CountryName,API_Party_CountryName,SQL_Postcode,API_Party_Postcode,Status
44895,44895,73319,73319,112654,112654,FD951E27-7E32-4A5B-8E56-78B4EA459007,FD951E27-7E32-4A5B-8E56-78B4EA459007,REVISEDMEMBER NAME1044630,REVISEDMEMBER NAME1044630,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113069,null,STARTMEMBER NAME1044630 ADDNAME,STARTMEMBER NAME1044630 ADDNAME,STARTMEMBER NAME1044630 L1,STARTMEMBER NAME1044630 L1,STARTMEMBER NAME1044630 L2,STARTMEMBER NAME1044630 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,2134342,2134342,Test case passed
44894,44894,73318,73318,112652,112652,6E0367F3-6D15-4687-94C3-D7771E456BCC,6E0367F3-6D15-4687-94C3-D7771E456BCC,UPDATED MEMBER NAME,UPDATED MEMBER NAME,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113067,null,MEMBER FORMTARENEWALS ADDNAME,MEMBER FORMTARENEWALS ADDNAME,MEMBER FORMTARENEWALS L1,MEMBER FORMTARENEWALS L1,MEMBER FORMTARENEWALS L2,MEMBER FORMTARENEWALS L2,null,NULL,BIRMINGHAM,BIRMINGHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44893,44893,73317,73317,112649,112649,3BAD2FF4-2870-441B-B986-6242C959E930,3BAD2FF4-2870-441B-B986-6242C959E930,MEMBERFOR RENEWALONE,MEMBERFOR RENEWALONE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113064,null,MEMBERFOR RENEWALONE ADDNAME,MEMBERFOR RENEWALONE ADDNAME,MEMBERFOR RENEWALONE L1,MEMBERFOR RENEWALONE L1,MEMBERFOR RENEWALONE L2,MEMBERFOR RENEWALONE L2,null,NULL,BIRMINGHAM,BIRMINGHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44892,44892,73316,73316,112645,112645,5271874F-2CCC-41B0-B735-DEB5F7E5E4DE,5271874F-2CCC-41B0-B735-DEB5F7E5E4DE,MEMBER FOR1044616 ,MEMBER FOR1044616 ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113060,null,MEMBER FOR1044616  ADDNAME,MEMBER FOR1044616  ADDNAME,MEMBER FOR1044616 L1,MEMBER FOR1044616 L1,MEMBER FOR1044616 L2,MEMBER FOR1044616 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44891,44891,73315,73315,112644,112644,D270456E-3B1F-4736-8900-838BAB8E7A6C,D270456E-3B1F-4736-8900-838BAB8E7A6C,MEMBER FOR1044615,MEMBER FOR1044615,null,null,null,null,null,null,null,null,a.o.com,a.o.com,+44558855226,+44558855226,+44552211885,+44552211885,113059,null,MEMBER FOR1044615ADDNAME,MEMBER FOR1044615ADDNAME,MEMBER FOR1044615 L1`,MEMBER FOR1044615 L1`,MEMBER FOR1044615 L2,MEMBER FOR1044615 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44890,44890,73314,73314,112642,112642,E1162E2B-5634-4EE4-BBCF-5DD5B79329B6,E1162E2B-5634-4EE4-BBCF-5DD5B79329B6,MEMBER FOR1044614,MEMBER FOR1044614,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113057,null,MEMBER FOR1044614 ADDNAME,MEMBER FOR1044614 ADDNAME,MEMBER FOR1044614 L1,MEMBER FOR1044614 L1,MEMBER FOR1044614 L2,MEMBER FOR1044614 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44889,44889,73313,73313,112640,112640,810FBFEB-BF0D-4C04-9351-E768C52EE5A0,810FBFEB-BF0D-4C04-9351-E768C52EE5A0,MEMBER FOR1044613,MEMBER FOR1044613,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113055,null,MEMBER FOR1044613 ADDNAME,MEMBER FOR1044613 ADDNAME,MEMBER FOR1044613 L1,MEMBER FOR1044613 L1,MEMBER FOR1044613 L2,MEMBER FOR1044613 L2,null,NULL,BIRMINHAM,BIRMINHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44888,44888,73312,73312,112634,112634,E99DF00E-315B-4554-909A-233673A06432,E99DF00E-315B-4554-909A-233673A06432,MEMBER FOR155071,MEMBER FOR155071,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113049,null,MEMBER FOR155071 ADDNAME,MEMBER FOR155071 ADDNAME,MEMBER FOR155071 L1,MEMBER FOR155071 L1,MEMBER FOR155071 L2,MEMBER FOR155071 L2,null,NULL,BHAM,BHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44887,44887,73311,73311,112632,112632,DD5458C0-A762-4655-98BF-C29866FB8B02,DD5458C0-A762-4655-98BF-C29866FB8B02,PAULSNEWMEMBER,PAULSNEWMEMBER,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113047,null,3,3,null,NULL,null,NULL,null,NULL,A PLACE,A PLACE,null,NULL,AFGHANISTAN,AFGHANISTAN,NULL,NULL,Test case passed
44886,44886,73310,73310,112630,112630,0264486D-1CBE-4D7E-978F-65FE276542CB,0264486D-1CBE-4D7E-978F-65FE276542CB,PAUL PRODUCTIONS,PAUL PRODUCTIONS,null,null,null,null,null,null,null,null,null,null,087843875785474539,087843875785474539,null,null,113045,null,23 RAINBOW DRIVE,23 RAINBOW DRIVE,SOMEWHERE,SOMEWHERE,OVER THE,OVER THE,RAINBOW,RAINBOW,NOAH CITY,NOAH CITY,Noah State,NOAH STATE,ISRAEL,ISRAEL,NH,NH,Test case passed
44885,44885,73309,73309,112629,112629,9CB6267D-53A5-4A8B-A70B-73DF34761F90,9CB6267D-53A5-4A8B-A70B-73DF34761F90,BOB,BOB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113044,null,23,23,null,NULL,null,NULL,null,NULL,BIRMINGHAM,BIRMINGHAM,null,NULL,ALGERIA,ALGERIA,NULL,NULL,Test case passed
44884,44884,73308,73308,112626,112626,05D73F48-FC40-40C3-9606-FB0464EB4D0A,05D73F48-FC40-40C3-9606-FB0464EB4D0A,FIRSTUPDATE MEMBER,FIRSTUPDATE MEMBER,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113041,null,ORIGINALNAME MEMBER ADD NAME,ORIGINALNAME MEMBER ADD NAME,ORIGINALNAME MEMBER L1,ORIGINALNAME MEMBER L1,ORIGINALNAME MEMBER L2,ORIGINALNAME MEMBER L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,565464,565464,Test case passed
44883,44883,73307,73307,112623,112623,BA8569C0-F2C7-4704-99F0-49054C51CCF2,BA8569C0-F2C7-4704-99F0-49054C51CCF2,NEWMEMBER FOR155070,NEWMEMBER FOR155070,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113038,null,NEWMEMBER FOR155070 ADD NAME,NEWMEMBER FOR155070 ADD NAME,NEWMEMBER FOR155070 L1,NEWMEMBER FOR155070 L1,NEWMEMBER FOR155070 L2,NEWMEMBER FOR155070 L2,null,NULL,BHAM,BHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,324554,324554,Test case passed
44882,44882,73306,73306,112622,112622,620D0B0D-ED19-43F6-8141-5DACD4307C5F,620D0B0D-ED19-43F6-8141-5DACD4307C5F,NEWMEMBER FORAPI,NEWMEMBER FORAPI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113037,null,NEWMEMBER FORAPI ADDNAME,NEWMEMBER FORAPI ADDNAME,NEWMEMBER FORAPI L1,NEWMEMBER FORAPI L1,NEWMEMBER FORAPI L2,NEWMEMBER FORAPI L2,null,NULL,BHAM,BHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44881,44881,73305,73305,112620,112620,D1782C2F-4877-4C8E-B317-17E15AA48079,D1782C2F-4877-4C8E-B317-17E15AA48079,NEW MEMBERFINAL,NEW MEMBERFINAL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113035,null,NEW MEMBERWORK ADD NAME,NEW MEMBERWORK ADD NAME,NEW MEMBERWORK L1,NEW MEMBERWORK L1,NEW MEMBERWORK L2,NEW MEMBERWORK L2,null,NULL,BHAM,BHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44880,44880,73304,73304,112618,112618,02F16FF0-9987-4B6E-84CE-5E022CD3BD29,02F16FF0-9987-4B6E-84CE-5E022CD3BD29,NEW4 SAFETY,NEW4 SAFETY,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113033,null,NEW4 SAFETY ADD NAME,NEW4 SAFETY ADD NAME,NEW4 SAFETY L1,NEW4 SAFETY L1,NEW4 SAFETY L2,NEW4 SAFETY L2,null,NULL,BHAM,BHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44879,44879,73303,73303,112616,112616,5D880F95-44FE-461E-BC1F-ABB80AD6E839,5D880F95-44FE-461E-BC1F-ABB80AD6E839,DAY0_MEMBERBYREF,DAY0_MEMBERBYREF,null,null,null,null,null,null,null,null,daywise@memberbyref.com,daywise@memberbyref.com,+19839829829,+19839829829,null,null,113031,null,LPK 201,LPK 201,E STREET,E STREET,GRETA ROAD,GRETA ROAD,EASTERN SITE,EASTERN SITE,NY,NY,NYC,NYC,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,9029,9029,Test case passed
44878,44878,73302,73302,112614,112614,5DB82152-590B-41F0-92FB-33DF77097668,5DB82152-590B-41F0-92FB-33DF77097668,DAY3_MEMBER,DAY3_MEMBER,null,null,null,null,null,null,null,null,day0@day0.com,day0@day0.com,900000000,900000000,800000000,800000000,113029,null,DAY0_ADDRESSNAME,DAY0_ADDRESSNAME,DAY0_LINE1,DAY0_LINE1,DAY0_LINE2,DAY0_LINE2,DAY0_LINE3,DAY0_LINE3,DAY0_CITY,DAY0_CITY,Day0_State,DAY0_STATE,INDIA,INDIA,100000,100000,Test case passed
44877,44877,73301,73301,112613,112613,CB62B85D-EC5E-4330-A182-F042A8E75AC6,CB62B85D-EC5E-4330-A182-F042A8E75AC6,NORISKMEMBER,NORISKMEMBER,null,null,null,null,null,null,null,null,NoRiskMember@NoRiskMember.com,NoRiskMember@NoRiskMember.com,908765789,908765789,908765789,908765789,113028,null,NORISKMEMBERADDRESS,NORISKMEMBERADDRESS,NORISKMEMBERL1,NORISKMEMBERL1,NORISKMEMBERL2,NORISKMEMBERL2,NORISKMEMBERL3,NORISKMEMBERL3,NORISKMEMBERCITY,NORISKMEMBERCITY,NoRiskMemberState,NORISKMEMBERSTATE,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,87655789,87655789,Test case passed
44876,44876,73300,73300,112612,112612,9B330E04-9640-4C4A-B795-4E89E72160B6,9B330E04-9640-4C4A-B795-4E89E72160B6,DAY3APIMEMBER,DAY3APIMEMBER,null,null,null,null,null,null,null,null,Day3apimember@api.com,Day3apimember@api.com,7000000003,7000000003,8000000003,8000000003,113027,null,DAY3NAME,DAY3NAME,DAY3APILINE1,DAY3APILINE1,DAY3APILINE2,DAY3APILINE2,DAY3APILINE3,DAY3APILINE3,DAY3APICITY,DAY3APICITY,Day3APICountryState,DAY3APICOUNTRYSTATE,INDIA,INDIA,900003,900003,Test case passed
44875,44875,73299,73299,112605,112605,B7D56988-B75A-418B-8DEB-B3C7CA004E3D,B7D56988-B75A-418B-8DEB-B3C7CA004E3D,MEMBER 07SEPT1150,MEMBER 07SEPT1150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113020,null,MEMBER 07SEPT1150 ADDNAME,MEMBER 07SEPT1150 ADDNAME,MEMBER 07SEPT1150L1,MEMBER 07SEPT1150L1,MEMBER 07SEPT1150L2,MEMBER 07SEPT1150L2,null,NULL,LANCASTER,LANCASTER,null,NULL,UNITED KINGDOM,UNITED KINGDOM,LA1 1LA,LA1 1LA,Test case passed
44874,44874,73298,73298,112604,112604,D9420890-3EBF-4DBA-94A6-82212B26EFD7,D9420890-3EBF-4DBA-94A6-82212B26EFD7,DAY3TESTMEMBER,DAY3TESTMEMBER,null,null,null,null,null,null,null,null,Test3@Test3.com,Test3@Test3.com,7000000003,7000000003,8000000003,8000000003,113019,null,DAY3NAME,DAY3NAME,DAY3LINE1,DAY3LINE1,DAY3LINE2,DAY3LINE2,DAY3LINE3,DAY3LINE3,DAY3CITY,DAY3CITY,Day3Country,DAY3COUNTRY,INDIA,INDIA,900003,900003,Test case passed
44873,44873,73297,73297,112603,112603,C18DE539-04F7-44AD-B4DA-DD0F25F6C874,C18DE539-04F7-44AD-B4DA-DD0F25F6C874,MEMBER 02SEP1450,MEMBER 02SEP1450,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113018,null,MEMBER 02SEP1450 ADDNAME,MEMBER 02SEP1450 ADDNAME,MEMBER 02SEP1450 L1,MEMBER 02SEP1450 L1,MEMBER 02SEP1450 L2,MEMBER 02SEP1450 L2,null,NULL,RIPON,RIPON,North Yorkshire,NORTH YORKSHIRE,UNITED KINGDOM,UNITED KINGDOM,Y1 1YY,Y1 1YY,Test case passed
44872,44872,73296,73296,112602,112602,ACA2E5FA-7A30-4DAB-95CF-A1D43229F979,ACA2E5FA-7A30-4DAB-95CF-A1D43229F979,MEMBER 01SEP1033,MEMBER 01SEP1033,null,null,null,null,null,null,null,null,Joe@MEssing.com,Joe@MEssing.com,+445588556,+445588556,+44557788996,+44557788996,113017,null,MEMBER 01SEP1033ADDNAME,MEMBER 01SEP1033ADDNAME,MEMBER 01SEP1033L1,MEMBER 01SEP1033L1,MEMBER 01SEP1033L2,MEMBER 01SEP1033L2,null,NULL,EDINBURGH,EDINBURGH,Fife,FIFE,UNITED KINGDOM,UNITED KINGDOM,E1 1EE,E1 1EE,Test case passed
44871,44871,73295,73295,112599,112599,D0903A1B-7698-4D69-B53D-AB7DA152C792,D0903A1B-7698-4D69-B53D-AB7DA152C792,MYMEMBER,MYMEMBER,null,null,null,null,null,null,null,null,MyMember@MyMember.com,MyMember@MyMember.com,8989898989,8989898989,987889786,987889786,113014,null,MYMEMBERADDRESSNAME,MYMEMBERADDRESSNAME,MYMEMBER_LINE1,MYMEMBER_LINE1,MYMEMBER_LINE2,MYMEMBER_LINE2,MYMEMBER_LINE3,MYMEMBER_LINE3,MYMEMBER_CITY,MYMEMBER_CITY,MyMember_State,MYMEMBER_STATE,INDIA,INDIA,909090,909090,Test case passed
44870,44870,73294,73294,112598,112598,D2813AB6-FB95-44FD-8B1E-8D486AFF7A95,D2813AB6-FB95-44FD-8B1E-8D486AFF7A95,NEWMEM 27AUG1415,NEWMEM 27AUG1415,null,null,null,null,null,null,null,null,There@elsewhere.com,There@elsewhere.com,+445511225,+445511225,+4488554226,+4488554226,113013,null,NEWMEM 27AUG1415 ADDNAME,NEWMEM 27AUG1415 ADDNAME,NEWMEM 27AUG1415 L1,NEWMEM 27AUG1415 L1,NEWMEM 27AUG1415 L2,NEWMEM 27AUG1415 L2,null,NULL,LEEDS,LEEDS,West Yorkshore,WEST YORKSHORE,UNITED KINGDOM,UNITED KINGDOM,L1 LSA,L1 LSA,Test case passed
44869,44869,73293,73293,112595,112595,2982C290-6FA3-4844-ABEC-1ADA50E5F828,2982C290-6FA3-4844-ABEC-1ADA50E5F828,MEMCREATED 26AUG1421,MEMCREATED 26AUG1421,null,null,null,null,null,null,null,null,there@here.com,there@here.com,+445588996,+445588996,+44115577885,+44115577885,113010,null,MEMCREATED 26AUG1421 ADDNAME,MEMCREATED 26AUG1421 ADDNAME,MEMCREATED 26AUG1421 L1,MEMCREATED 26AUG1421 L1,MEMCREATED 26AUG1421 L2,MEMCREATED 26AUG1421 L2,null,NULL,DERBY,DERBY,Derbyshire,DERBYSHIRE,UNITED KINGDOM,UNITED KINGDOM,D1 1DD,D1 1DD,Test case passed
44868,44868,73292,73292,112594,112594,FFFEBB30-296F-439F-A803-3DFE14B95F68,FFFEBB30-296F-439F-A803-3DFE14B95F68,MEM 26 AUG 1259,MEM 26 AUG 1259,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113009,null,MEM 26 AUG 1259 AN,MEM 26 AUG 1259 AN,MEM 26 AUG 1259 L1,MEM 26 AUG 1259 L1,MEM 26 AUG 1259 L2,MEM 26 AUG 1259 L2,null,NULL,BHAM,BHAM,null,NULL,UNITED KINGDOM,UNITED KINGDOM,B37 7 HG,B37 7 HG,Test case passed
44867,44867,73291,73291,112593,112593,B4A64FE8-4119-40E5-8C20-CF787CA71948,B4A64FE8-4119-40E5-8C20-CF787CA71948,MEMBER 26AUG1154,MEMBER 26AUG1154,null,null,null,null,null,null,null,null,ai@o.com,ai@o.com,+44771144558,+44771144558,+44558899662,+44558899662,113008,null,MEMBER 26AUG1154 ADDNAME,MEMBER 26AUG1154 ADDNAME,MEMBER 26AUG1154 L1,MEMBER 26AUG1154 L1,MEMBER 26AUG1154 L2,MEMBER 26AUG1154 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,West Mids,WEST MIDS,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test case passed
44866,44866,73290,73290,112591,112591,56D45452-B8E3-451A-A226-932086EB47A5,56D45452-B8E3-451A-A226-932086EB47A5,SURAJ MEMBER,SURAJ MEMBER,null,null,null,null,null,null,null,null,test1@adro1.com,test1@adro1.com,9089090909,9089090909,null,null,113006,null,MTAADDRESSNAME,MTAADDRESSNAME,MTALINE1,MTALINE1,MTALINE2,MTALINE2,MTALINE3,MTALINE3,MTACITY,MTACITY,MTAState,MTASTATE,INDIA,INDIA,411033,411033,Test case passed
44865,44865,73289,73289,112590,112590,745BA2F0-509E-4D87-9F89-5C5076950F2D,745BA2F0-509E-4D87-9F89-5C5076950F2D,DAY3_MEMBERFORRISKNAME,DAY3_MEMBERFORRISKNAME,null,null,null,null,null,null,null,null,day2@email.com,day2@email.com,9000000002,9000000002,2000000002,2000000002,113005,null,DAY2_ADDESSNAME,DAY2_ADDESSNAME,DAY2_LINE1,DAY2_LINE1,DAY2_LINE2,DAY2_LINE2,DAY2_LINE3,DAY2_LINE3,DAY2_CITY,DAY2_CITY,Day2_State,DAY2_STATE,INDIA,INDIA,200000,200000,Test case passed
44864,44864,73288,73288,112392,112392,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,AMP TEST BROKER,AMP TEST BROKER,null,null,null,null,null,null,null,null,null,null,null,null,null,null,112807,null,10 WHITECHAPEL,10 WHITECHAPEL,null,NULL,null,NULL,null,NULL,LONDON,LONDON,null,NULL,UNITED KINGDOM,UNITED KINGDOM,NULL,NULL,Test case passed
44863,44863,73287,73287,112588,112588,91F58FCC-7621-42CD-AB14-2F5EDCBC66D2,91F58FCC-7621-42CD-AB14-2F5EDCBC66D2,UPDATEDMEMBER_27082020,UPDATEDMEMBER_27082020,null,null,null,null,null,null,null,null,mem@mem.mem,mem@mem.mem,452-125,452-125,333-444,333-444,113003,null,AUTOMATION NEW MEMBER,AUTOMATION NEW MEMBER,ADR LINE 1,ADR LINE 1,ADR LINE 2,ADR LINE 2,null,NULL,LONDON,LONDON,null,NULL,UNITED KINGDOM,UNITED KINGDOM,34A PD,34A PD,Test case passed
